,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,6,None,uniform,0.015625,ok,0.08436050801537931
1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,47.0,auto,15.0,35.0,None,None,None,None,0.130859375,ok,2.2258311579935253
2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,46.0,log2,14.0,9.0,None,None,None,None,0.544921875,ok,3.946341881994158
3,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,nnClassifier,identity,None,29.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,0.982421875,ok,5.97121666604653
4,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,nnClassifier,identity,None,14.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.98828125,ok,9.74380434001796
5,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,33,None,None,None,None,None,None,9,None,distance,0.015625,ok,9.789849467109889
6,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,16,None,None,None,None,None,None,5,None,distance,0.013671875,ok,9.833002533996478
7,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,25.0,auto,6.0,9.0,None,None,None,None,0.123046875,ok,12.699938557110727
8,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,12,None,None,None,None,None,None,8,None,distance,0.013671875,ok,12.780209037009627
9,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,nnClassifier,identity,None,26.0,None,None,constant,None,None,None,None,3.0,None,adam,None,0.990234375,ok,15.637492367997766
10,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,nnClassifier,identity,None,26.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,0.990234375,ok,23.065538509050384
11,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,nnClassifier,logistic,None,22.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.9921875,ok,24.75977530120872
12,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,26.0,sqrt,7.0,32.0,None,None,None,None,0.041015625,ok,27.645003395155072
13,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,13,None,None,None,None,None,None,3,None,distance,0.017578125,ok,27.709179545985535
14,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,2,None,uniform,0.0078125,ok,27.74996396410279
15,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,6,None,uniform,0.01953125,ok,27.801221150206402
16,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,25,None,None,None,None,None,None,4,None,distance,0.005859375,ok,27.844110351987183
