,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,26,None,None,None,None,None,None,2,None,distance,0.4207436399217221,ok,0.047968968050554395
1,0,1,1,0,0,1,1,nnClassifier,logistic,None,26.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.0,ok,11.043378256028518
2,1,0,1,0,1,1,1,nnClassifier,relu,None,19.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.040117416829745595,ok,34.89108652784489
3,1,0,1,1,1,0,1,nnClassifier,tanh,None,8.0,None,None,constant,None,None,None,None,9.0,None,adam,None,0.04598825831702544,ok,98.0988174858503
4,1,0,1,1,1,1,0,nnClassifier,identity,None,9.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.009784735812133072,ok,100.32775148795918
5,1,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,9,None,distance,0.3473581213307241,ok,100.49747190088965
6,0,1,0,0,0,1,1,nnClassifier,relu,None,8.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.0,ok,150.92282444704324
7,1,0,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,14.0,sqrt,12.0,23.0,None,None,None,None,0.512720156555773,ok,151.7289634058252
8,1,0,1,0,0,1,0,nnClassifier,tanh,None,8.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.00684931506849315,ok,159.14586665388197
9,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,10.0,sqrt,7.0,30.0,None,None,None,None,0.6448140900195695,ok,159.9899858830031
10,1,1,1,0,1,1,0,nnClassifier,logistic,None,18.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.018590998043052837,ok,165.624995887978
11,0,0,1,1,1,1,1,nnClassifier,tanh,None,11.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.06653620352250489,ok,213.83828944782726
12,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,17.0,sqrt,19.0,2.0,None,None,None,None,0.5714285714285714,ok,214.77304688002914
13,0,0,0,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,29,None,None,None,None,None,None,2,None,uniform,0.20156555772994128,ok,214.8204336508643
14,0,1,0,1,1,1,0,nnClassifier,logistic,None,25.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.0009784735812133072,ok,233.97671361197717
15,0,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,71.0,auto,12.0,19.0,None,None,None,None,0.3904109589041096,ok,234.61798291187733
16,1,0,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,14,None,None,None,None,None,None,5,None,distance,0.7348336594911937,ok,234.64667000598274
17,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,31.0,log2,16.0,5.0,None,None,None,None,0.5929549902152642,ok,235.473154154839
