,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,23,None,None,None,None,None,None,9,None,distance,0.22407045009784735,ok,0.061869428027421236
1,1,0,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,23,None,None,None,None,None,None,8,None,uniform,0.49510763209393344,ok,0.26687177014537156
2,1,0,1,1,0,0,1,nnClassifier,relu,None,30.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.036203522504892366,ok,19.931079817004502
3,1,0,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,40.0,auto,13.0,13.0,None,None,None,None,0.4863013698630137,ok,20.734333807136863
4,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,85.0,sqrt,15.0,18.0,None,None,None,None,0.6487279843444227,ok,21.8556188151706
5,0,1,1,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,32,None,None,None,None,None,None,2,None,uniform,0.5587084148727984,ok,21.906555155990645
6,1,0,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,20,None,None,None,None,None,None,6,None,uniform,0.5048923679060665,ok,21.960924324113876
7,1,0,1,0,0,1,1,nnClassifier,tanh,None,26.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.043052837573385516,ok,29.421837113099173
8,0,1,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,6,None,None,None,None,None,None,9,None,uniform,0.2876712328767123,ok,29.61542843701318
9,1,0,1,0,1,0,0,nnClassifier,identity,None,9.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.005870841487279843,ok,45.11434560501948
10,0,1,0,1,0,0,1,nnClassifier,identity,None,30.0,None,None,constant,None,None,None,None,5.0,None,sgd,None,0.0009784735812133072,ok,53.116022491129115
11,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,70.0,log2,12.0,11.0,None,None,None,None,0.2553816046966732,ok,53.63692455808632
12,1,0,1,1,0,1,0,nnClassifier,relu,None,15.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.043052837573385516,ok,57.74293837998994
13,0,0,1,0,1,1,1,nnClassifier,identity,None,15.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.005870841487279843,ok,82.2279077921994
14,1,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,4,None,uniform,0.5792563600782779,ok,82.29160374519415
15,1,1,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,54.0,sqrt,20.0,24.0,None,None,None,None,0.5821917808219178,ok,83.167168765096
16,1,0,0,1,0,1,1,nnClassifier,identity,None,28.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.00684931506849315,ok,85.29776104609482
17,1,1,0,0,0,0,0,nnClassifier,logistic,None,31.0,None,None,invscaling,None,None,None,None,5.0,None,sgd,None,0.0,ok,101.16632754309103
18,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,13,None,None,None,None,None,None,7,None,distance,0.8786692759295499,ok,101.2030127781909
19,0,0,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,12,None,None,None,None,None,None,2,None,distance,0.7553816046966731,ok,101.22684909915552
20,0,0,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,13,None,None,None,None,None,None,1,None,distance,0.8542074363992173,ok,101.35979840205982
21,0,0,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,14,None,None,None,None,None,None,6,None,distance,0.850293542074364,ok,101.39994320319965
22,0,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,7,None,distance,0.863013698630137,ok,101.44722236203961
23,0,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,7,None,distance,0.863013698630137,ok,101.50849500414915
24,0,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,3,None,None,None,None,None,None,4,None,distance,0.8649706457925636,ok,101.60261670220643
25,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,18,None,None,None,None,None,None,4,None,distance,0.8698630136986302,ok,101.68869927711785
26,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,30,None,None,None,None,None,None,4,None,distance,0.8698630136986302,ok,101.77105008112267
27,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,18,None,None,None,None,None,None,5,None,distance,0.8747553816046967,ok,101.85961202112958
28,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,5,None,distance,0.8747553816046967,ok,101.93088179919869
29,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,3.0,auto,3.0,37.0,None,None,None,None,0.32093933463796476,ok,102.650489712134
30,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,38,None,None,None,None,None,None,7,None,distance,0.8786692759295499,ok,102.69989598309621
31,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,40,None,None,None,None,None,None,10,None,distance,0.8816046966731899,ok,102.74951706919819
32,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40,None,None,None,None,None,None,9,None,distance,0.8806262230919765,ok,102.93632085015997
33,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,6.0,log2,2.0,37.0,None,None,None,None,0.4471624266144814,ok,103.66932885721326
34,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,10,None,distance,0.8816046966731899,ok,103.85972907207906
