,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
41,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,log2,15.0,11.0,None,None,None,None,0.6105675146771037,ok,153.97036089096218
42,0,1,1,1,1,0,1,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,8.0,None,distance,0.8835616438356164,ok,154.16010419488885
43,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,32.0,None,None,None,None,None,None,10.0,None,distance,0.8718199608610567,ok,154.3563475359697
44,1,1,1,1,1,0,0,nnClassifier,tanh,None,32,None,None,adaptive,None,None,None,None,5,None,lbfgs,None,0.0675146771037182,ok,162.07556918892078
45,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,81.0,sqrt,2.0,30.0,None,None,None,None,0.6448140900195695,ok,163.1357558479067
46,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,22.0,None,None,None,None,None,None,6.0,None,distance,0.7818003913894325,ok,163.32033814489841
47,0,1,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,17.0,None,None,None,None,None,None,10.0,None,distance,0.8473581213307241,ok,163.5074024980422
48,0,0,1,1,1,1,0,nnClassifier,logistic,None,10,None,None,adaptive,None,None,None,None,1,None,adam,None,0.0,ok,210.38804098591208
49,1,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,9.0,None,distance,0.8845401174168297,ok,210.57505168905482
50,1,1,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,27.0,log2,8.0,39.0,None,None,None,None,0.6575342465753424,ok,211.74307950399816
51,0,0,1,1,1,1,0,nnClassifier,tanh,None,8,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.026418786692759294,ok,219.42062881099992
52,0,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,26.0,None,None,None,None,None,None,8.0,None,distance,0.8845401174168297,ok,219.60952366306446
53,0,1,1,1,1,0,1,kneighborsClassifier,None,brute,None,None,32.0,None,None,None,None,None,None,7.0,None,uniform,0.5743639921722113,ok,219.82011375389993
54,1,1,1,0,0,1,0,nnClassifier,tanh,None,29,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,0.012720156555772993,ok,227.43165036500432
55,0,0,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,26.0,None,None,None,None,None,None,10.0,None,distance,0.860078277886497,ok,227.6267736069858
56,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,74.0,sqrt,17.0,10.0,None,None,None,None,0.5244618395303327,ok,228.58502070605755
57,0,1,1,1,1,0,0,kneighborsClassifier,None,auto,None,None,9.0,None,None,None,None,None,None,3.0,None,distance,0.7524461839530333,ok,228.63659611786716
58,0,0,1,1,1,1,1,nnClassifier,logistic,None,13,None,None,invscaling,None,None,None,None,4,None,adam,None,0.03913894324853229,ok,267.7009053840302
59,0,1,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,3.0,None,distance,0.8424657534246576,ok,267.75173412193544
60,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,5.0,None,None,None,None,None,None,5.0,None,distance,0.8845401174168297,ok,267.81153230788186
61,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,37.0,None,None,None,None,None,None,6.0,None,distance,0.7915851272015656,ok,267.86435615085065
