,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,1,1,0,kneighborsClassifier,None,auto,None,None,39,None,None,None,None,None,None,2,None,uniform,0.589041095890411,ok,0.06705208099447191
1,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,49.0,auto,8.0,5.0,None,None,None,None,0.6477495107632094,ok,0.9267076628748327
2,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,15.0,auto,14.0,9.0,None,None,None,None,0.6203522504892368,ok,1.68634417001158
3,1,0,0,0,0,1,1,nnClassifier,tanh,None,30.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,0.011741682974559686,ok,22.102671096799895
4,0,0,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,95.0,sqrt,10.0,17.0,None,None,None,None,0.5117416829745597,ok,23.13688247394748
5,1,1,1,0,1,0,0,nnClassifier,tanh,None,30.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.0,ok,40.61153929797001
6,0,0,0,1,0,0,1,nnClassifier,tanh,None,13.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.003913894324853229,ok,79.76317128399387
7,0,0,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,72.0,log2,8.0,12.0,None,None,None,None,0.1761252446183953,ok,80.20681121991947
8,0,1,1,1,1,1,1,nnClassifier,tanh,None,25.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,0.04500978473581213,ok,104.5525242628064
9,0,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,52.0,log2,7.0,32.0,None,None,None,None,0.37573385518590996,ok,105.21657572686672
10,1,1,1,0,0,1,0,nnClassifier,tanh,None,15.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.019569471624266144,ok,112.89682068489492
11,1,0,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,9,None,distance,0.8992172211350293,ok,112.94398986687884
12,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,87.0,log2,17.0,16.0,None,None,None,None,0.5733855185909981,ok,113.78074246598408
13,1,0,1,0,1,1,0,nnClassifier,logistic,None,8.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.029354207436399216,ok,119.59085339587182
14,1,1,0,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,26,None,None,None,None,None,None,3,None,distance,0.5665362035225049,ok,119.62183011882007
