,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,10,None,None,None,None,None,None,4,None,distance,0.7495107632093934,ok,0.05009798984974623
1,0,1,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,5,None,distance,0.4197651663405088,ok,0.08614901686087251
2,1,1,1,1,0,0,1,kneighborsClassifier,None,brute,None,None,27,None,None,None,None,None,None,6,None,distance,0.8590998043052838,ok,0.26353822788223624
3,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,17,None,None,None,None,None,None,8,None,uniform,0.5841487279843445,ok,0.32229376886971295
4,1,0,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,34,None,None,None,None,None,None,3,None,distance,0.7407045009784736,ok,0.34735646890476346
5,0,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,52.0,log2,10.0,34.0,None,None,None,None,0.5313111545988258,ok,1.2869108289014548
6,1,1,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,26,None,None,None,None,None,None,3,None,uniform,0.5694716242661448,ok,1.3555242468137294
7,0,1,0,1,0,1,1,nnClassifier,tanh,None,9.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.010763209393346379,ok,8.518315702909604
8,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,67.0,log2,14.0,25.0,None,None,None,None,0.4726027397260274,ok,9.275958518963307
9,1,1,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,40,None,None,None,None,None,None,6,None,uniform,0.5499021526418787,ok,9.329517863923684
10,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,74.0,sqrt,18.0,17.0,None,None,None,None,0.5714285714285714,ok,10.648620849009603
11,1,1,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,7,None,None,None,None,None,None,6,None,distance,0.8003913894324853,ok,10.828103517880663
12,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,60.0,log2,15.0,25.0,None,None,None,None,0.33072407045009783,ok,11.489860127912834
13,1,0,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,19,None,None,None,None,None,None,8,None,distance,0.7847358121330724,ok,11.521672027884051
14,0,0,1,0,0,0,0,nnClassifier,tanh,None,16.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.0,ok,26.70405292697251
15,0,0,1,1,1,0,1,nnClassifier,tanh,None,23.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.015655577299412915,ok,33.464597520884126
16,1,1,1,0,1,0,1,nnClassifier,relu,None,22.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.03522504892367906,ok,37.936035439837724
17,0,0,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,25,None,None,None,None,None,None,3,None,distance,0.863013698630137,ok,37.96162350685336
18,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,8,None,distance,0.9001956947162426,ok,38.00789698190056
19,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,33.0,log2,16.0,39.0,None,None,None,None,0.6526418786692759,ok,38.850528839975595
20,0,0,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,38,None,None,None,None,None,None,10,None,distance,0.7504892367906066,ok,38.95665668696165
21,0,0,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,1,None,distance,0.7681017612524462,ok,38.99292481597513
22,1,0,0,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,14,None,None,None,None,None,None,1,None,distance,0.8512720156555773,ok,39.03211409994401
23,0,0,0,0,1,1,1,kneighborsClassifier,None,auto,None,None,23,None,None,None,None,None,None,8,None,distance,0.8405088062622309,ok,39.07178912102245
24,0,0,0,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,33,None,None,None,None,None,None,10,None,distance,0.7485322896281801,ok,39.11520127998665
25,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,2,None,distance,0.9070450097847358,ok,39.16797045082785
26,1,1,0,0,1,1,1,nnClassifier,identity,None,30.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.0,ok,52.03245447599329
27,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,39,None,None,None,None,None,None,9,None,uniform,0.5391389432485323,ok,52.11602336191572
28,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,31,None,None,None,None,None,None,7,None,distance,0.8992172211350293,ok,52.17245708289556
29,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,2,None,distance,0.9070450097847358,ok,52.22727673687041
30,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,2,None,uniform,0.6908023483365949,ok,52.329383098986
31,1,1,0,0,1,1,1,nnClassifier,logistic,None,8.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.033268101761252444,ok,111.23493375699036
32,1,1,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,30,None,None,None,None,None,None,2,None,distance,0.786692759295499,ok,111.34431195794605
33,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,1.0,auto,3.0,2.0,None,None,None,None,0.7710371819960861,ok,112.93505851598457
34,1,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,35,None,None,None,None,None,None,2,None,distance,0.9070450097847358,ok,112.99236477888189
35,1,1,0,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,36,None,None,None,None,None,None,4,None,distance,0.8806262230919765,ok,113.04552683699876
36,1,1,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,30,None,None,None,None,None,None,1,None,uniform,0.7847358121330724,ok,113.11707281693816
37,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,97.0,auto,2.0,2.0,None,None,None,None,0.7729941291585127,ok,114.93748885183595
38,1,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,40,None,None,None,None,None,None,4,None,distance,0.9060665362035225,ok,115.12702885689214
39,1,1,0,0,0,1,1,nnClassifier,relu,None,31.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.0,ok,124.74838404799812
40,1,1,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,22,None,None,None,None,None,None,2,None,distance,0.8023483365949119,ok,124.80353592382744
41,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,1.0,sqrt,7.0,14.0,None,None,None,None,0.7084148727984344,ok,126.17469831602648
42,1,1,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,36,None,None,None,None,None,None,5,None,distance,0.6125244618395304,ok,126.23060589889064
