activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,16,gini,1,1,1,1,1,1,1,1,15,constant,49,auto,6,21,nnClassifier,4,10,adam,distance,0.8131868131868132,385.0785116478801
relu,auto,15,gini,1,1,1,1,1,1,1,1,18,constant,25,auto,6,25,nnClassifier,4,9,adam,distance,0.5433455433455433,1344.0441678129137
relu,auto,15,gini,1,1,1,1,1,1,1,1,12,constant,56,auto,7,14,nnClassifier,5,6,adam,distance,0.5567765567765568,1344.044241671916
relu,auto,14,gini,1,1,1,1,1,1,1,1,20,constant,88,auto,8,35,nnClassifier,5,9,adam,distance,0.5299145299145299,1344.0442804610357
relu,auto,22,gini,1,1,1,1,1,1,1,1,13,constant,22,auto,11,28,nnClassifier,6,10,adam,distance,0.5286935286935287,1344.0443178899586
relu,auto,15,gini,1,1,1,1,1,1,1,1,16,constant,53,auto,7,34,nnClassifier,5,10,adam,distance,0.5470085470085471,1344.0443561288994
relu,auto,17,gini,1,1,1,1,1,1,1,1,6,constant,67,auto,8,32,nnClassifier,7,10,adam,distance,0.536019536019536,1344.0443936279044
relu,auto,19,gini,1,1,1,1,1,1,1,1,13,constant,33,auto,6,34,nnClassifier,5,10,adam,distance,0.5286935286935287,1344.044431576971
relu,auto,16,gini,1,1,1,1,1,1,1,1,3,constant,62,auto,7,17,nnClassifier,5,10,adam,distance,0.5299145299145299,1344.0444690159056
relu,auto,13,gini,1,1,1,1,1,1,1,1,6,constant,65,auto,5,27,nnClassifier,5,10,adam,distance,0.5372405372405372,1344.044505815953
relu,auto,18,gini,1,1,1,1,1,1,1,1,20,constant,54,auto,6,32,nnClassifier,7,9,adam,distance,0.5506715506715507,1344.0445428248495
relu,auto,15,gini,1,1,1,1,1,1,1,1,11,constant,55,auto,5,31,nnClassifier,3,10,adam,distance,0.5470085470085471,1344.0445796540007
