activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,26,gini,0,1,1,1,1,1,1,1,18,constant,42,sqrt,5,14,randomForestClassifier,4,6,sgd,distance,0.684981684981685,67.91166229709052
relu,kd_tree,25,gini,0,1,1,1,0,1,0,1,34,constant,51,sqrt,12,12,kneighborsClassifier,7,7,adam,distance,0.7826617826617827,67.91172083606943
relu,auto,14,gini,1,1,1,1,1,0,0,1,16,constant,57,sqrt,11,35,kneighborsClassifier,5,6,sgd,uniform,0.5824175824175825,67.911759236129
relu,auto,23,gini,0,1,1,1,0,1,0,1,22,constant,35,sqrt,13,11,randomForestClassifier,9,6,adam,uniform,0.503052503052503,67.91179665504023
relu,kd_tree,18,gini,1,1,1,1,0,1,0,1,8,invscaling,35,sqrt,12,16,kneighborsClassifier,5,1,adam,distance,0.7557997557997558,67.91183327510953
relu,auto,24,gini,0,1,1,1,0,1,0,1,30,invscaling,51,sqrt,14,31,randomForestClassifier,5,6,sgd,distance,0.4981684981684982,67.9118699640967
relu,kd_tree,32,gini,1,1,1,1,1,1,1,1,23,constant,37,sqrt,11,17,nnClassifier,5,5,sgd,distance,0.5201465201465202,67.91190636414103
relu,kd_tree,32,gini,1,1,1,1,1,0,0,1,7,constant,81,auto,6,11,randomForestClassifier,5,8,adam,distance,0.5409035409035409,67.91194233298302
relu,kd_tree,31,gini,1,1,1,1,0,0,0,1,17,invscaling,59,sqrt,6,8,randomForestClassifier,5,5,adam,uniform,0.8241758241758241,67.91197866317816
relu,ball_tree,17,gini,1,1,1,1,1,1,0,1,23,invscaling,31,sqrt,12,35,randomForestClassifier,5,7,sgd,distance,0.6825396825396826,67.91201465204358
relu,kd_tree,29,gini,1,1,1,1,1,1,1,1,18,invscaling,74,sqrt,5,23,randomForestClassifier,6,6,adam,distance,0.4932844932844933,67.91205063206144
relu,kd_tree,9,gini,1,1,1,1,0,0,0,1,19,invscaling,41,sqrt,15,13,randomForestClassifier,5,4,sgd,uniform,0.6715506715506715,67.91208715201356
