activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,28,entropy,1,1,1,1,1,1,1,1,29,constant,83,auto,18,6,kneighborsClassifier,7,5,adam,distance,0.6239316239316239,101.42922330810688
identity,ball_tree,29,entropy,0,1,1,1,1,1,1,0,16,constant,32,auto,6,14,randomForestClassifier,4,6,adam,distance,0.48717948717948717,101.42927589803003
identity,ball_tree,26,gini,1,1,1,1,1,1,1,0,38,invscaling,7,auto,9,18,nnClassifier,4,5,sgd,distance,0.5201465201465202,101.4293155670166
tanh,ball_tree,13,entropy,1,1,1,1,1,1,1,0,40,invscaling,71,auto,19,12,kneighborsClassifier,3,4,sgd,uniform,0.8168498168498168,101.4293536960613
relu,ball_tree,20,gini,1,1,1,1,1,1,1,1,22,invscaling,60,auto,8,7,nnClassifier,5,4,sgd,uniform,0.5274725274725275,101.42939231614582
logistic,ball_tree,29,entropy,0,1,1,1,1,1,1,0,40,invscaling,91,auto,19,13,randomForestClassifier,4,4,sgd,uniform,0.8424908424908425,101.42943463521078
relu,ball_tree,27,gini,0,1,1,1,1,1,1,1,25,invscaling,18,auto,8,11,nnClassifier,7,4,adam,distance,0.5006105006105006,101.4294730850961
identity,ball_tree,28,gini,1,1,1,1,1,1,1,0,40,constant,27,auto,9,18,randomForestClassifier,4,3,sgd,distance,0.5103785103785103,101.42951023415662
identity,ball_tree,29,entropy,1,1,1,1,1,1,1,0,32,invscaling,36,auto,17,11,randomForestClassifier,3,5,sgd,distance,0.6605616605616605,101.42954756412655
tanh,ball_tree,13,entropy,0,1,1,1,1,1,1,1,6,invscaling,23,auto,18,36,kneighborsClassifier,4,3,sgd,uniform,0.5567765567765568,101.42958452319726
relu,auto,15,gini,0,1,1,1,1,1,1,0,9,invscaling,14,auto,19,9,kneighborsClassifier,4,5,sgd,distance,0.6239316239316239,101.42962136212736
logistic,auto,28,entropy,0,1,1,1,1,1,1,1,38,constant,96,auto,15,14,nnClassifier,5,4,adam,distance,0.5115995115995116,101.4296578920912
identity,ball_tree,13,gini,0,1,1,1,1,1,1,1,7,invscaling,13,auto,19,36,nnClassifier,6,4,adam,uniform,0.5201465201465202,101.42969420109876
logistic,ball_tree,29,entropy,1,1,1,1,1,1,1,1,33,invscaling,97,auto,10,24,randomForestClassifier,5,4,sgd,uniform,0.6727716727716728,101.42973083117977
tanh,ball_tree,16,gini,0,1,1,1,1,1,1,1,31,invscaling,51,auto,7,14,nnClassifier,3,5,adam,uniform,0.5213675213675214,101.42976736021228
logistic,auto,26,gini,1,1,1,1,1,1,1,1,40,invscaling,86,auto,6,9,randomForestClassifier,4,2,sgd,distance,0.8376068376068376,101.42980376002379
identity,ball_tree,28,entropy,1,1,1,1,1,1,1,1,13,constant,13,auto,19,14,nnClassifier,7,5,sgd,distance,0.5177045177045178,101.42984016914852
identity,ball_tree,28,gini,1,1,1,1,1,1,1,1,7,invscaling,8,auto,8,31,nnClassifier,2,4,sgd,uniform,0.5152625152625152,101.42987628909759
logistic,auto,22,gini,0,1,1,1,1,1,1,0,8,invscaling,11,auto,18,12,randomForestClassifier,5,3,adam,uniform,0.8388278388278388,101.4299124982208
tanh,ball_tree,25,gini,1,1,1,1,1,1,1,0,32,invscaling,47,auto,20,31,kneighborsClassifier,3,5,sgd,distance,0.5128205128205128,101.42994914809242
relu,auto,30,gini,1,1,1,1,1,1,1,1,33,constant,79,auto,16,10,nnClassifier,3,1,adam,distance,0.8058608058608059,289.5744855660014
relu,auto,29,gini,1,1,1,1,1,1,1,1,19,constant,30,auto,10,14,nnClassifier,5,3,adam,distance,0.8327228327228328,289.57454004511237
relu,auto,29,gini,1,1,1,1,1,1,1,1,40,constant,11,auto,10,16,nnClassifier,3,1,adam,distance,0.525030525030525,289.57457828405313
relu,auto,14,gini,1,1,1,1,1,1,1,1,40,constant,67,auto,15,16,nnClassifier,7,8,adam,distance,0.7948717948717948,289.57461599400267
relu,auto,24,gini,1,1,1,1,1,1,1,1,26,constant,56,auto,7,9,nnClassifier,3,2,adam,distance,0.4981684981684982,289.5746535931248
relu,auto,29,gini,1,1,1,1,1,1,1,1,40,constant,87,auto,15,16,nnClassifier,4,3,adam,distance,0.8424908424908425,289.5746919931844
relu,auto,27,gini,1,1,1,1,1,1,1,1,29,constant,22,auto,6,7,nnClassifier,7,4,adam,distance,0.5006105006105006,289.57472911220975
relu,auto,29,gini,1,1,1,1,1,1,1,1,40,constant,29,auto,11,17,nnClassifier,3,1,adam,distance,0.8449328449328449,289.5747659020126
relu,auto,27,gini,1,1,1,1,1,1,1,1,36,constant,32,auto,13,15,nnClassifier,5,4,adam,distance,0.833943833943834,289.5748026210349
relu,auto,17,gini,1,1,1,1,1,1,1,1,10,constant,27,auto,14,32,nnClassifier,4,4,adam,distance,0.8205128205128205,289.57483878103085
relu,auto,17,gini,1,1,1,1,1,1,1,1,13,constant,18,auto,15,13,nnClassifier,2,4,adam,distance,0.8266178266178266,289.57487517013215
