activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,22,gini,1,1,1,1,0,0,1,1,9,constant,64,log2,11,27,randomForestClassifier,1,8,adam,distance,0.8412698412698413,204.46736767399125
tanh,auto,14,gini,1,1,1,1,1,1,1,1,23,constant,12,sqrt,16,34,kneighborsClassifier,5,10,lbfgs,distance,0.6617826617826618,204.46742340293713
tanh,auto,9,gini,1,1,1,1,0,0,1,0,15,constant,80,log2,9,27,nnClassifier,2,7,sgd,uniform,0.4810744810744811,204.46746196295135
relu,auto,14,gini,1,1,1,1,1,0,1,1,17,constant,71,sqrt,4,26,nnClassifier,1,7,sgd,uniform,0.5018315018315018,204.46749991201796
tanh,auto,10,gini,1,1,1,1,0,0,1,0,12,constant,34,log2,16,27,randomForestClassifier,1,10,lbfgs,uniform,0.8498168498168498,204.46754269092344
relu,auto,13,gini,1,1,1,1,1,0,1,1,16,constant,80,auto,10,27,kneighborsClassifier,5,10,adam,uniform,0.8083028083028083,204.46757994103245
tanh,auto,10,gini,1,1,1,1,0,1,1,0,15,constant,52,log2,11,15,randomForestClassifier,5,9,lbfgs,distance,0.7032967032967034,204.46761619998142
tanh,auto,12,gini,1,1,1,1,1,0,1,0,18,constant,93,auto,13,28,nnClassifier,1,10,lbfgs,distance,0.4468864468864469,204.46765279909596
tanh,auto,20,gini,1,1,1,1,1,1,1,0,35,constant,6,log2,10,10,nnClassifier,1,10,lbfgs,uniform,0.48717948717948717,204.46768965898082
tanh,auto,18,gini,1,1,1,1,1,1,1,0,13,constant,19,sqrt,8,23,kneighborsClassifier,1,10,lbfgs,distance,0.6837606837606838,204.4677265479695
tanh,auto,23,gini,1,1,1,1,0,1,1,1,12,constant,53,log2,17,30,nnClassifier,4,10,sgd,distance,0.49572649572649574,204.46776319807395
relu,auto,27,gini,1,1,1,1,1,1,1,0,24,constant,16,auto,13,26,nnClassifier,1,10,sgd,uniform,0.4908424908424908,204.4677992069628
tanh,auto,19,gini,1,1,1,1,1,1,1,1,27,constant,91,log2,16,11,nnClassifier,2,6,lbfgs,distance,0.4993894993894994,204.4678349760361
relu,auto,19,gini,1,1,1,1,0,0,1,0,24,constant,70,log2,10,14,kneighborsClassifier,5,5,sgd,uniform,0.5714285714285714,204.4678704959806
relu,auto,24,gini,1,1,1,1,0,1,1,1,12,constant,59,log2,16,15,nnClassifier,10,10,adam,distance,0.503052503052503,204.46790632489137
tanh,auto,22,gini,1,1,1,1,1,1,1,1,15,constant,90,auto,19,27,nnClassifier,1,10,lbfgs,uniform,0.4908424908424908,204.46794185508043
tanh,auto,10,gini,1,1,1,1,1,0,1,0,24,constant,74,log2,9,24,nnClassifier,1,8,adam,distance,0.48595848595848595,204.4679774940014
relu,auto,22,gini,1,1,1,1,0,1,1,1,22,constant,34,log2,16,7,nnClassifier,6,6,lbfgs,distance,0.5079365079365079,204.468013292877
tanh,auto,9,gini,1,1,1,1,0,1,1,1,15,constant,58,auto,12,20,kneighborsClassifier,6,10,sgd,uniform,0.8241758241758241,204.46804895298555
tanh,auto,26,gini,1,1,1,1,0,1,1,0,19,constant,63,auto,8,30,randomForestClassifier,1,9,sgd,distance,0.6935286935286935,204.4680850619916
relu,auto,18,gini,1,1,1,1,1,1,1,1,13,constant,60,auto,15,29,nnClassifier,1,10,adam,distance,0.8473748473748474,520.7847404999193
relu,auto,10,gini,1,1,1,1,1,1,1,1,19,constant,16,auto,16,34,nnClassifier,1,10,adam,distance,0.8241758241758241,520.7847935890313
relu,auto,9,gini,1,1,1,1,1,1,1,1,11,constant,76,auto,13,28,nnClassifier,1,9,adam,distance,0.4908424908424908,520.7848310580011
relu,auto,10,gini,1,1,1,1,1,1,1,1,13,constant,67,auto,8,24,nnClassifier,1,9,adam,distance,0.4896214896214896,520.784868137911
relu,auto,10,gini,1,1,1,1,1,1,1,1,12,constant,34,auto,16,27,nnClassifier,1,10,adam,distance,0.8498168498168498,520.7849055170082
relu,auto,17,gini,1,1,1,1,1,1,1,1,18,constant,76,auto,11,26,nnClassifier,3,10,adam,distance,0.8083028083028083,520.7849422870204
relu,auto,8,gini,1,1,1,1,1,1,1,1,11,constant,48,auto,15,19,nnClassifier,1,10,adam,distance,0.8424908424908425,520.7849782060366
relu,auto,9,gini,1,1,1,1,1,1,1,1,14,constant,89,auto,14,25,nnClassifier,1,10,adam,distance,0.4835164835164835,520.7850144749973
relu,auto,17,gini,1,1,1,1,1,1,1,1,31,constant,10,auto,14,14,nnClassifier,1,10,adam,distance,0.5006105006105006,520.7850506349932
relu,auto,14,gini,1,1,1,1,1,1,1,1,12,constant,23,auto,12,27,nnClassifier,1,10,adam,distance,0.8192918192918193,520.7850866341032
relu,auto,19,gini,1,1,1,1,1,1,1,1,10,constant,49,auto,16,27,nnClassifier,2,10,adam,distance,0.4932844932844933,520.7851224939805
relu,auto,23,gini,1,1,1,1,1,1,1,1,20,constant,15,auto,13,26,nnClassifier,1,7,adam,distance,0.4884004884004884,520.7851588129997
relu,auto,16,gini,1,1,1,1,1,1,1,1,25,constant,87,auto,17,9,nnClassifier,1,4,adam,distance,0.49694749694749696,520.7852028720081
relu,auto,15,gini,1,1,1,1,1,1,1,1,20,constant,66,auto,13,18,nnClassifier,1,9,adam,distance,0.8083028083028083,520.7852394420188
relu,auto,20,gini,1,1,1,1,1,1,1,1,10,constant,55,auto,17,19,nnClassifier,6,10,adam,distance,0.5103785103785103,520.7852757410146
relu,auto,18,gini,1,1,1,1,1,1,1,1,11,constant,86,auto,15,26,nnClassifier,1,10,adam,distance,0.5091575091575091,520.7853116299957
relu,auto,10,gini,1,1,1,1,1,1,1,1,20,constant,70,auto,12,26,nnClassifier,1,10,adam,distance,0.5042735042735043,520.7853476800956
