activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,29,poisson,0,0,1,1,0,1,0,1,1,0,0,0,35,adaptive,77,log2,16,3,kneighborsRegressor,5,1,lbfgs,uniform,0.41261439849584824
identity,kd_tree,11,mae,1,1,0,1,0,0,1,1,0,1,0,1,26,constant,30,auto,6,12,nnRegressor,6,4,sgd,distance,0.07475526268583799
tanh,brute,31,mae,1,1,0,1,0,0,0,1,1,1,1,0,32,adaptive,86,auto,16,30,nnRegressor,3,5,lbfgs,distance,0.510501723274869
relu,kd_tree,26,poisson,0,0,1,0,1,1,0,1,0,0,0,0,28,invscaling,81,auto,19,16,nnRegressor,6,7,adam,uniform,0.9997186715045661
identity,auto,13,mse,1,1,0,1,1,0,0,1,1,1,1,0,25,constant,57,log2,19,25,randomForestRegressor,5,9,sgd,distance,0.7540607319874815
tanh,brute,19,poisson,1,0,1,1,1,1,0,0,0,1,1,1,27,adaptive,77,auto,5,11,nnRegressor,2,10,lbfgs,uniform,0.9995925983150176
tanh,brute,22,mae,0,1,0,0,0,0,0,0,0,1,0,1,39,constant,67,sqrt,2,28,kneighborsRegressor,9,3,sgd,distance,0.07274438247926462
logistic,auto,17,poisson,0,1,1,0,1,0,1,1,1,0,1,0,39,constant,38,auto,2,17,randomForestRegressor,1,4,adam,uniform,0.09349084828527476
relu,brute,11,mae,1,1,0,0,0,0,1,0,1,1,1,1,34,invscaling,92,log2,3,21,nnRegressor,1,10,sgd,uniform,-2.5468914028881073e-06
tanh,ball_tree,16,poisson,0,0,1,1,1,1,0,1,1,0,0,1,37,adaptive,1,sqrt,10,16,kneighborsRegressor,5,9,lbfgs,uniform,0.6434772201900131
tanh,brute,32,mae,1,0,0,1,1,1,1,1,1,0,0,1,35,constant,13,auto,17,7,randomForestRegressor,6,10,adam,distance,0.7788606365232649
identity,brute,31,mae,0,0,1,1,1,1,0,0,1,0,0,0,26,invscaling,43,auto,12,6,nnRegressor,6,2,lbfgs,distance,0.999999947690965
