activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,27,mse,1,1,0,1,1,1,1,1,0,0,1,0,15,invscaling,96,sqrt,15,20,nnRegressor,3,10,adam,distance,0.5059890201038286
relu,brute,9,mse,0,0,1,1,0,0,1,0,0,1,1,1,31,adaptive,25,sqrt,10,27,kneighborsRegressor,8,4,sgd,distance,0.3225018278600419
logistic,ball_tree,20,mae,0,1,0,0,0,1,0,0,0,0,0,1,19,constant,30,log2,10,7,nnRegressor,4,7,adam,uniform,0.32505820912711647
relu,kd_tree,23,poisson,1,1,0,0,0,0,1,1,0,0,1,1,20,invscaling,75,auto,6,6,randomForestRegressor,10,2,lbfgs,uniform,0.5784997693510907
relu,brute,11,mae,0,1,0,1,1,0,1,1,0,0,0,0,35,adaptive,12,log2,7,2,nnRegressor,1,6,adam,uniform,0.5157563505806398
logistic,ball_tree,23,poisson,1,0,1,1,0,1,0,1,0,1,0,1,19,constant,38,sqrt,7,6,kneighborsRegressor,4,3,lbfgs,uniform,0.6005450886865882
logistic,brute,13,mae,1,1,0,1,0,0,1,1,1,0,0,0,18,constant,73,log2,12,21,kneighborsRegressor,4,10,sgd,uniform,0.47289037608923723
relu,brute,10,mae,1,1,1,1,1,1,1,1,0,1,1,1,2,adaptive,88,sqrt,15,27,kneighborsRegressor,9,5,sgd,distance,0.5690533693252973
identity,brute,18,mae,1,1,0,1,1,0,0,0,1,0,1,1,19,adaptive,35,log2,3,39,kneighborsRegressor,3,9,adam,distance,0.49678236502382156
identity,brute,13,mse,1,0,0,0,1,0,0,1,0,1,0,1,19,adaptive,51,sqrt,15,33,randomForestRegressor,2,10,adam,uniform,0.6992021289057866
tanh,kd_tree,32,mse,0,1,0,0,0,1,1,1,1,1,0,1,16,constant,90,log2,18,26,randomForestRegressor,6,2,sgd,uniform,0.7142550845031419
relu,auto,18,mae,0,0,0,1,0,1,1,1,0,1,0,1,27,invscaling,87,auto,6,11,kneighborsRegressor,6,9,lbfgs,uniform,0.6324548652759232
tanh,kd_tree,15,mse,0,0,0,1,1,0,1,1,0,0,0,0,17,adaptive,16,auto,8,15,kneighborsRegressor,7,4,adam,distance,0.5205036818067104
identity,auto,31,poisson,1,1,0,1,1,0,1,0,0,1,1,1,21,invscaling,29,sqrt,5,12,randomForestRegressor,9,7,adam,uniform,0.6016103798975859
identity,ball_tree,11,poisson,0,1,1,1,1,0,1,1,0,1,0,1,23,adaptive,9,auto,19,29,nnRegressor,9,6,adam,distance,0.999999152986078
identity,brute,30,poisson,1,0,0,0,1,1,1,0,0,1,0,0,29,constant,25,log2,14,15,kneighborsRegressor,6,7,adam,uniform,0.6176216832811425
logistic,brute,24,mse,1,0,1,0,0,0,1,1,1,1,0,1,15,adaptive,25,sqrt,3,18,randomForestRegressor,3,9,adam,uniform,0.9923409573920632
tanh,auto,29,poisson,0,1,1,1,0,1,0,1,0,1,0,0,36,adaptive,91,log2,3,15,kneighborsRegressor,6,9,adam,uniform,0.5237699863674254
logistic,kd_tree,27,mse,0,0,1,1,0,0,0,0,1,1,0,0,7,constant,3,auto,7,14,nnRegressor,8,8,lbfgs,distance,0.9994263604679278
tanh,auto,8,mse,1,1,0,1,0,1,1,1,0,1,0,0,15,constant,54,sqrt,6,32,randomForestRegressor,4,8,lbfgs,distance,0.7801581306998305
identity,brute,22,poisson,0,0,0,0,1,0,0,1,0,0,0,1,3,invscaling,4,auto,7,23,randomForestRegressor,2,1,sgd,distance,0.04343738836484401
tanh,ball_tree,15,poisson,0,0,1,0,1,1,0,0,1,0,0,0,29,invscaling,65,log2,4,13,randomForestRegressor,6,6,lbfgs,uniform,0.6637463291319914
identity,auto,15,poisson,0,0,1,0,0,1,0,1,0,0,0,1,26,constant,76,log2,19,28,nnRegressor,5,7,adam,uniform,0.9999992192302612
logistic,auto,16,mae,0,1,0,1,0,1,0,0,1,0,0,1,36,constant,71,log2,9,8,randomForestRegressor,9,7,adam,distance,0.7259529659422382
tanh,ball_tree,19,mse,0,0,0,1,1,1,1,1,0,0,1,0,20,invscaling,92,sqrt,11,24,kneighborsRegressor,6,3,sgd,distance,0.5210389250023549
relu,kd_tree,13,mae,1,1,0,1,0,1,1,1,1,1,0,0,22,adaptive,62,sqrt,12,29,nnRegressor,3,5,adam,distance,0.5997839441478858
relu,brute,29,mae,1,0,0,1,1,1,1,0,0,0,0,0,10,invscaling,2,auto,3,6,kneighborsRegressor,7,8,lbfgs,uniform,0.548321441819052
identity,brute,15,mae,1,0,0,1,1,1,1,0,0,1,1,1,23,adaptive,16,log2,19,14,nnRegressor,9,4,adam,distance,0.06923643855190853
identity,brute,19,mae,1,1,1,0,0,1,0,1,0,0,0,0,22,adaptive,27,log2,17,33,kneighborsRegressor,9,1,adam,uniform,0.14622883053395064
tanh,ball_tree,18,poisson,1,1,0,0,0,1,0,1,1,1,0,1,38,invscaling,78,log2,16,38,kneighborsRegressor,6,5,sgd,distance,0.5108191057955602
relu,auto,8,mse,0,0,0,1,1,0,1,0,1,0,0,1,32,adaptive,47,log2,2,25,kneighborsRegressor,3,7,adam,distance,0.5700828712562915
tanh,auto,11,mae,1,1,0,1,1,1,1,0,0,1,1,1,11,constant,26,sqrt,15,24,nnRegressor,10,2,lbfgs,uniform,0.5503919156152031
identity,kd_tree,26,mse,0,0,0,1,0,0,0,0,0,0,0,1,31,adaptive,3,sqrt,17,37,randomForestRegressor,5,4,sgd,uniform,0.38875397058593886
relu,auto,27,poisson,1,0,1,0,0,1,0,0,1,1,1,1,8,invscaling,4,sqrt,14,26,kneighborsRegressor,9,7,lbfgs,distance,0.4960408469347999
identity,auto,25,mse,0,1,0,1,1,1,1,1,1,0,1,0,27,adaptive,98,log2,14,31,kneighborsRegressor,3,2,lbfgs,uniform,0.5095114632947648
identity,ball_tree,32,poisson,1,1,0,0,0,0,0,1,0,1,0,0,12,constant,91,sqrt,10,20,nnRegressor,2,4,lbfgs,distance,0.06461404988983566
logistic,kd_tree,15,poisson,1,1,0,1,1,1,0,1,0,1,0,1,22,invscaling,70,log2,15,36,kneighborsRegressor,6,1,sgd,distance,0.38521961847550734
logistic,ball_tree,12,poisson,0,1,0,0,1,0,1,0,1,0,1,1,4,constant,60,auto,3,8,nnRegressor,3,6,lbfgs,uniform,0.409429805925111
tanh,brute,31,poisson,1,1,0,1,1,1,1,1,1,0,0,0,30,invscaling,97,sqrt,17,18,randomForestRegressor,2,1,lbfgs,distance,0.6558744511958892
relu,kd_tree,10,mse,1,1,0,1,0,0,0,0,0,1,1,0,29,constant,65,auto,14,10,randomForestRegressor,3,3,adam,uniform,0.6693600345974999
relu,brute,13,mae,1,1,0,0,0,0,0,0,0,0,0,0,33,adaptive,45,sqrt,4,3,nnRegressor,7,4,sgd,uniform,0.12346527094912207
logistic,brute,25,mae,0,1,0,0,1,1,1,0,1,1,0,1,22,constant,78,auto,6,32,nnRegressor,1,1,adam,distance,0.3780306533646062
identity,brute,23,mse,0,0,1,1,1,1,0,1,1,1,0,0,30,invscaling,20,log2,10,26,nnRegressor,4,6,sgd,distance,0.9999635603377824
logistic,ball_tree,10,poisson,0,0,1,0,1,1,1,1,0,1,1,0,9,constant,14,log2,13,8,kneighborsRegressor,5,4,adam,uniform,0.6632450777495695
identity,auto,18,mae,1,1,0,1,1,1,0,0,1,0,1,1,30,constant,44,log2,8,7,kneighborsRegressor,4,6,adam,uniform,0.4989117676702173
logistic,kd_tree,28,mae,1,1,0,1,1,1,0,1,0,1,1,1,36,adaptive,84,auto,18,6,nnRegressor,7,8,sgd,uniform,0.26268302403501687
logistic,brute,15,poisson,1,0,1,1,1,0,1,0,1,1,0,1,2,constant,83,auto,2,33,randomForestRegressor,5,7,lbfgs,distance,0.3703381089521367
relu,brute,24,mae,0,0,0,0,1,0,1,0,1,0,1,0,15,adaptive,61,log2,2,36,nnRegressor,4,5,adam,distance,0.3921513834200565
tanh,ball_tree,28,mse,0,0,0,1,0,1,1,0,0,1,0,1,11,adaptive,82,auto,6,18,kneighborsRegressor,3,10,lbfgs,uniform,0.559268149471808
tanh,ball_tree,28,poisson,0,0,0,1,1,1,0,0,0,0,0,1,22,constant,72,sqrt,8,22,nnRegressor,4,10,lbfgs,uniform,0.44473301705028434
identity,kd_tree,14,mse,0,0,1,0,1,0,1,0,0,1,1,1,28,invscaling,65,sqrt,7,29,nnRegressor,8,10,adam,uniform,0.9999995574199302
identity,kd_tree,8,poisson,0,0,1,0,1,1,1,1,0,0,0,1,34,constant,1,sqrt,7,32,randomForestRegressor,4,3,adam,uniform,0.8657116664944599
identity,brute,25,mse,0,1,0,0,0,0,0,0,1,0,0,1,24,invscaling,21,auto,18,2,nnRegressor,2,2,lbfgs,distance,0.07877468917960517
identity,auto,30,mae,1,0,1,0,1,0,1,1,1,1,1,1,3,constant,61,auto,19,23,kneighborsRegressor,10,9,lbfgs,uniform,0.519670496159649
relu,kd_tree,32,mae,1,1,0,1,1,1,1,0,0,0,1,0,11,constant,96,sqrt,8,22,randomForestRegressor,9,2,adam,uniform,0.7586888364932556
logistic,kd_tree,15,mae,0,1,0,1,0,0,1,1,0,1,0,1,23,invscaling,88,auto,15,30,nnRegressor,6,2,adam,uniform,0.46268208584403625
identity,auto,25,mse,1,1,0,1,1,1,0,1,0,1,0,0,22,constant,62,auto,10,17,nnRegressor,7,8,lbfgs,uniform,0.07670278596205782
logistic,ball_tree,31,mse,1,0,0,0,0,1,0,1,1,0,0,1,10,adaptive,56,sqrt,18,4,nnRegressor,6,2,adam,uniform,0.4561646578313733
logistic,ball_tree,15,poisson,1,0,0,1,1,1,1,1,0,0,0,0,35,constant,94,log2,18,33,randomForestRegressor,4,5,adam,distance,0.5633673009860536
tanh,kd_tree,9,poisson,0,1,1,0,1,0,1,1,0,0,0,1,40,constant,4,log2,14,22,kneighborsRegressor,7,7,adam,distance,0.501899986010247
relu,ball_tree,22,mae,1,0,0,1,0,0,1,1,0,0,1,1,17,invscaling,61,log2,10,31,nnRegressor,8,6,sgd,uniform,0.20392193732416253
relu,brute,8,mae,0,1,0,1,1,1,1,0,1,1,0,0,32,constant,95,auto,3,40,kneighborsRegressor,3,10,adam,distance,0.563974460844469
tanh,brute,23,mse,0,1,0,0,1,0,0,0,0,1,0,0,18,invscaling,17,sqrt,2,7,randomForestRegressor,9,1,lbfgs,distance,0.6594254177352836
tanh,ball_tree,15,mae,1,1,1,0,1,0,1,0,1,0,1,1,20,adaptive,63,auto,13,27,randomForestRegressor,10,9,sgd,uniform,0.9999773057034106
identity,brute,27,poisson,1,0,1,0,0,1,1,1,0,0,0,0,17,invscaling,18,log2,18,6,randomForestRegressor,4,4,lbfgs,distance,0.5058831688590606
tanh,ball_tree,17,mae,1,0,0,1,0,0,0,0,1,1,1,0,10,constant,70,log2,19,27,kneighborsRegressor,8,1,sgd,uniform,0.18904950835702627
tanh,auto,29,poisson,1,0,1,1,1,1,1,0,1,1,1,0,26,invscaling,5,auto,15,4,randomForestRegressor,10,10,sgd,distance,0.07848661473038043
