activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,8,mse,0,0,0,0,0,0,0,1,0,1,0,1,34,invscaling,64,sqrt,14,23,kneighborsRegressor,10,4,lbfgs,distance,0.2601850527362284
relu,brute,12,mae,1,1,0,1,1,0,1,0,1,1,1,1,7,adaptive,25,log2,3,34,kneighborsRegressor,5,4,adam,distance,0.5600017065767698
tanh,ball_tree,18,mae,1,1,1,1,1,0,0,0,0,1,0,0,11,adaptive,18,sqrt,7,19,randomForestRegressor,9,9,adam,distance,0.9919661455803334
relu,brute,25,mse,1,1,1,0,0,1,1,1,1,1,0,1,7,adaptive,39,log2,6,36,nnRegressor,1,7,lbfgs,uniform,-1.4647220409891304e-06
relu,ball_tree,31,poisson,1,0,1,1,1,0,0,1,1,0,0,1,10,adaptive,89,auto,17,30,randomForestRegressor,8,1,lbfgs,distance,0.8843975038577297
logistic,brute,11,poisson,0,0,0,1,1,0,1,0,0,1,1,0,26,constant,49,auto,7,19,kneighborsRegressor,1,7,adam,uniform,0.5281485239374109
identity,kd_tree,9,poisson,1,1,0,1,0,1,1,0,1,1,0,0,12,invscaling,98,auto,11,9,kneighborsRegressor,8,1,lbfgs,distance,0.37682515989049314
logistic,auto,18,mse,1,0,0,0,0,1,0,1,0,0,1,0,16,constant,99,log2,14,16,nnRegressor,8,1,sgd,distance,0.18465824375581397
identity,brute,28,poisson,1,0,1,1,0,1,0,1,1,0,0,0,28,adaptive,3,sqrt,10,28,nnRegressor,10,2,lbfgs,uniform,0.9999999717987718
logistic,kd_tree,21,poisson,1,0,0,1,1,0,0,0,0,1,1,0,19,constant,74,log2,8,19,randomForestRegressor,2,3,lbfgs,distance,0.4962656664241558
identity,ball_tree,27,poisson,0,1,0,1,0,0,1,0,1,1,1,1,13,invscaling,94,sqrt,16,6,randomForestRegressor,9,5,lbfgs,uniform,0.601043594842802
relu,brute,28,poisson,1,1,1,0,0,0,0,1,1,1,1,0,21,adaptive,59,log2,15,34,kneighborsRegressor,3,2,lbfgs,distance,0.35523153860780643
tanh,kd_tree,19,poisson,0,0,0,0,1,1,0,1,1,1,1,1,3,adaptive,91,sqrt,2,15,kneighborsRegressor,3,8,sgd,uniform,0.6425564798408075
logistic,ball_tree,17,poisson,0,1,0,1,1,0,0,0,0,1,0,0,16,constant,4,log2,18,3,nnRegressor,5,4,lbfgs,uniform,0.48649974323824796
logistic,kd_tree,20,mse,1,1,0,0,0,0,1,0,1,0,0,0,39,invscaling,66,log2,3,36,nnRegressor,9,3,adam,uniform,0.45837834265395583
tanh,kd_tree,26,mae,0,0,1,0,1,0,1,0,0,0,1,1,35,adaptive,6,sqrt,3,6,kneighborsRegressor,9,8,adam,distance,0.40345427008550305
logistic,ball_tree,14,mae,1,0,0,0,0,1,0,1,0,0,1,0,15,constant,76,log2,17,23,kneighborsRegressor,1,10,lbfgs,uniform,0.38183626739326004
relu,brute,27,mae,1,1,0,0,0,0,0,0,1,0,0,0,23,adaptive,30,auto,8,33,nnRegressor,7,2,adam,distance,0.4689588141597485
tanh,brute,32,mae,0,1,0,0,0,1,1,0,0,0,1,0,32,constant,25,auto,3,20,randomForestRegressor,2,9,lbfgs,uniform,0.6153580464203772
identity,ball_tree,32,mae,0,1,1,1,1,1,0,1,1,0,1,1,21,adaptive,46,sqrt,3,14,kneighborsRegressor,6,8,lbfgs,uniform,0.5543620697429666
logistic,brute,14,poisson,1,0,1,1,0,0,0,0,0,0,0,1,38,adaptive,49,auto,10,29,nnRegressor,9,4,adam,uniform,0.9998762522292574
identity,kd_tree,14,poisson,1,1,0,1,1,1,0,0,0,1,1,1,30,invscaling,60,auto,7,39,randomForestRegressor,6,1,lbfgs,uniform,0.5849984949789573
tanh,brute,10,mae,1,0,1,1,1,0,0,1,0,1,0,1,18,invscaling,9,log2,10,7,nnRegressor,8,1,adam,uniform,0.9995245727222063
tanh,brute,11,poisson,1,1,1,1,1,0,1,0,1,0,0,1,9,adaptive,91,auto,5,16,randomForestRegressor,3,5,adam,distance,0.6778763313100526
identity,auto,32,mse,1,0,0,0,1,1,0,0,0,0,0,0,37,invscaling,59,log2,2,21,nnRegressor,7,7,adam,distance,0.05186837334605254
identity,auto,22,poisson,1,1,1,1,1,1,0,0,1,0,0,0,24,adaptive,9,sqrt,13,34,randomForestRegressor,8,4,sgd,uniform,0.305846492254886
identity,ball_tree,21,mae,0,0,1,0,1,1,0,0,1,1,1,1,3,invscaling,15,log2,3,31,nnRegressor,8,3,adam,distance,0.9999964876500241
logistic,kd_tree,22,mae,1,0,0,1,0,0,1,0,0,1,1,1,30,constant,66,sqrt,14,25,kneighborsRegressor,6,3,sgd,distance,0.33136819857485333
tanh,kd_tree,11,mse,1,1,1,0,1,1,0,1,0,0,0,1,20,adaptive,27,sqrt,6,28,nnRegressor,10,8,adam,distance,0.9989124933219691
logistic,kd_tree,28,mae,0,0,1,1,1,0,0,0,1,0,1,1,2,adaptive,95,sqrt,8,30,randomForestRegressor,2,4,adam,uniform,0.9867818393402277
identity,brute,29,mae,0,0,1,0,0,0,1,0,1,0,1,1,39,adaptive,54,log2,2,23,randomForestRegressor,2,10,sgd,uniform,0.9959299591631899
relu,brute,27,poisson,0,1,0,0,1,1,1,1,0,0,1,1,24,adaptive,43,auto,18,40,nnRegressor,3,8,sgd,uniform,0.5612233752328206
identity,auto,16,poisson,0,1,0,1,0,1,1,0,0,0,0,1,29,adaptive,12,sqrt,17,31,kneighborsRegressor,2,8,sgd,uniform,0.49423806803593406
logistic,kd_tree,19,mae,1,1,0,0,1,1,0,1,1,0,0,1,24,invscaling,56,sqrt,7,18,randomForestRegressor,5,1,lbfgs,distance,0.8035174641386501
tanh,auto,28,poisson,1,0,1,0,0,0,0,1,0,1,1,1,19,invscaling,80,auto,13,36,nnRegressor,3,1,lbfgs,distance,0.9991225646665919
relu,brute,24,poisson,1,1,0,0,0,0,0,1,1,0,1,1,17,invscaling,16,sqrt,17,37,kneighborsRegressor,6,5,adam,uniform,0.5046396625783409
logistic,brute,21,mae,0,0,0,0,0,0,1,1,0,1,1,0,34,adaptive,32,sqrt,3,32,nnRegressor,7,6,lbfgs,distance,0.38769425031879945
identity,auto,13,mse,0,0,0,0,0,0,1,1,1,0,0,0,4,constant,23,auto,16,19,nnRegressor,4,4,sgd,distance,0.013302694784426583
relu,auto,10,poisson,0,0,0,1,0,0,1,0,1,1,0,1,34,adaptive,44,log2,4,10,kneighborsRegressor,8,6,lbfgs,uniform,0.5366086328618638
identity,ball_tree,25,mae,1,1,1,0,0,0,1,1,0,0,0,1,39,adaptive,78,auto,5,7,randomForestRegressor,7,9,lbfgs,uniform,0.999996898585145
tanh,kd_tree,29,mae,1,1,1,0,0,0,1,1,0,1,1,1,7,adaptive,63,auto,10,3,randomForestRegressor,8,5,adam,uniform,0.9999611611897423
tanh,kd_tree,28,poisson,0,1,0,0,0,0,1,0,1,0,0,0,4,adaptive,37,log2,9,13,nnRegressor,2,6,sgd,distance,0.34056241066413084
logistic,ball_tree,17,mae,0,1,0,1,0,0,0,0,1,0,0,0,4,adaptive,78,sqrt,12,18,kneighborsRegressor,5,3,adam,uniform,0.38485707312754214
relu,brute,25,poisson,0,0,0,1,1,1,0,1,0,0,0,1,34,constant,84,sqrt,2,38,randomForestRegressor,2,4,lbfgs,uniform,0.5701502981240323
relu,brute,15,mae,1,1,1,0,1,0,0,1,0,1,0,0,18,constant,62,sqrt,16,24,randomForestRegressor,1,10,lbfgs,distance,0.9867115413712905
identity,kd_tree,15,mse,0,0,1,1,0,1,1,1,1,1,0,0,18,invscaling,38,auto,12,6,kneighborsRegressor,7,10,lbfgs,uniform,0.6232089253227941
logistic,auto,9,mse,1,1,1,0,1,0,1,0,0,0,0,0,31,adaptive,66,sqrt,14,36,nnRegressor,2,6,adam,distance,0.9994630514261882
relu,brute,22,mse,1,1,0,1,1,0,0,1,0,1,1,0,10,invscaling,93,log2,17,38,randomForestRegressor,3,3,lbfgs,distance,0.7403019770618148
relu,kd_tree,13,mae,1,0,1,1,0,1,0,0,1,0,0,1,12,invscaling,53,auto,5,39,kneighborsRegressor,7,6,adam,distance,0.5607488681377242
relu,brute,32,mse,0,1,0,1,0,0,1,0,1,0,1,1,9,adaptive,40,log2,6,26,randomForestRegressor,7,8,adam,uniform,0.6831527286144252
relu,kd_tree,28,poisson,0,0,0,0,0,1,0,1,0,1,0,0,31,constant,85,sqrt,20,36,randomForestRegressor,6,2,sgd,uniform,0.4219889046774664
identity,auto,8,mse,0,0,0,0,1,1,0,0,0,0,1,0,37,invscaling,62,log2,19,6,nnRegressor,7,8,sgd,uniform,0.04218816991978325
logistic,ball_tree,20,mae,0,1,0,1,1,1,0,0,0,0,0,0,33,constant,28,log2,12,7,nnRegressor,6,5,lbfgs,distance,0.45599610497400667
identity,kd_tree,8,mae,0,1,1,0,0,1,0,1,1,1,1,1,15,invscaling,97,log2,2,3,nnRegressor,5,3,sgd,distance,0.999652108399377
tanh,kd_tree,32,mae,1,1,0,1,0,1,1,1,1,1,1,0,37,invscaling,43,auto,2,6,randomForestRegressor,9,10,sgd,distance,0.8448360319540138
relu,kd_tree,13,poisson,0,0,1,0,0,0,0,0,0,0,1,0,34,invscaling,44,sqrt,13,39,nnRegressor,6,10,sgd,distance,0.9918504338559041
identity,kd_tree,15,poisson,0,0,0,1,0,1,0,1,0,1,0,0,3,adaptive,51,sqrt,17,10,kneighborsRegressor,9,4,sgd,distance,0.6116465722882944
logistic,kd_tree,14,mae,1,0,1,0,1,0,1,0,0,1,0,1,21,constant,90,sqrt,12,40,nnRegressor,10,6,sgd,distance,0.9980016762216366
relu,kd_tree,18,poisson,0,0,0,1,1,1,0,1,0,0,1,1,18,adaptive,22,sqrt,9,2,kneighborsRegressor,7,7,sgd,uniform,0.5441311961908022
logistic,auto,12,mae,1,1,1,0,1,0,1,0,1,0,1,0,11,adaptive,27,auto,3,39,nnRegressor,10,5,sgd,distance,0.9979752555996103
identity,auto,25,poisson,1,0,0,0,0,1,1,0,0,0,0,0,34,adaptive,16,sqrt,11,33,randomForestRegressor,1,9,sgd,distance,0.31929337839165794
logistic,auto,8,poisson,0,0,0,1,0,0,1,1,0,0,1,1,22,adaptive,45,sqrt,11,36,kneighborsRegressor,1,8,adam,uniform,0.42781498340337076
identity,kd_tree,23,mse,1,0,0,1,0,0,1,1,1,0,0,0,20,invscaling,10,sqrt,3,7,nnRegressor,8,5,lbfgs,uniform,0.04750014391713897
