activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.7025440313111546
logistic,auto,31,entropy,1,0,1,1,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,6,sgd,uniform,0.6771037181996086
tanh,kd_tree,22,entropy,1,1,1,1,0,0,0,14,adaptive,46,sqrt,9,36,randomForestClassifier,9,4,sgd,uniform,0.5724070450097848
relu,ball_tree,21,entropy,0,0,0,1,1,1,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.7240704500978473
logistic,auto,31,entropy,0,1,0,0,1,1,0,3,constant,4,log2,3,11,randomForestClassifier,1,10,sgd,uniform,0.34442270058708413
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
tanh,brute,28,gini,1,1,0,0,1,1,1,13,constant,38,auto,5,33,nnClassifier,2,2,lbfgs,distance,0.0
logistic,kd_tree,32,gini,0,1,0,0,1,0,0,14,invscaling,57,log2,7,9,randomForestClassifier,1,1,lbfgs,uniform,0.37377690802348335
tanh,auto,27,entropy,0,0,1,1,0,0,1,21,constant,79,sqrt,16,5,nnClassifier,2,9,adam,uniform,0.0
identity,kd_tree,21,gini,0,0,0,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8561643835616438
tanh,auto,11,entropy,1,1,0,0,1,1,1,39,adaptive,52,log2,19,23,nnClassifier,2,4,adam,uniform,0.03131115459882583
tanh,brute,9,entropy,0,0,1,0,0,0,0,4,invscaling,100,log2,3,2,randomForestClassifier,3,8,sgd,distance,0.20058708414872797
logistic,brute,11,gini,1,1,0,0,1,0,1,26,adaptive,89,sqrt,14,34,randomForestClassifier,1,2,lbfgs,distance,0.6056751467710372
relu,kd_tree,14,entropy,1,0,1,1,1,0,0,26,constant,52,log2,10,5,randomForestClassifier,5,10,lbfgs,uniform,0.6027397260273972
logistic,kd_tree,24,gini,1,1,1,0,1,1,1,7,invscaling,26,sqrt,13,25,kneighborsClassifier,2,6,lbfgs,uniform,0.5998043052837574
relu,brute,28,entropy,1,1,0,0,0,1,0,40,invscaling,57,auto,19,39,kneighborsClassifier,1,4,sgd,uniform,0.46966731898238745
relu,brute,8,gini,1,1,0,0,1,0,0,6,invscaling,80,log2,18,35,randomForestClassifier,1,10,sgd,uniform,0.4931506849315068
relu,brute,17,entropy,0,1,0,1,1,1,0,34,adaptive,61,sqrt,6,30,kneighborsClassifier,8,2,adam,uniform,0.5958904109589042
identity,brute,12,entropy,1,1,1,0,1,0,0,25,adaptive,48,sqrt,10,23,kneighborsClassifier,9,6,adam,uniform,0.6007827788649707
relu,auto,14,entropy,0,1,0,0,0,1,0,23,invscaling,98,sqrt,17,35,kneighborsClassifier,7,9,lbfgs,uniform,0.32974559686888455
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
identity,kd_tree,21,gini,0,0,0,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8561643835616438
relu,ball_tree,21,entropy,0,0,0,1,1,1,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.7240704500978473
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.7025440313111546
logistic,auto,31,entropy,1,0,1,1,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,6,sgd,uniform,0.6771037181996086
logistic,brute,11,gini,1,1,0,0,1,0,1,26,adaptive,89,sqrt,14,34,randomForestClassifier,1,2,lbfgs,distance,0.6056751467710372
relu,kd_tree,14,entropy,1,0,1,1,1,0,0,26,constant,52,log2,10,5,randomForestClassifier,5,10,lbfgs,uniform,0.6027397260273972
identity,brute,12,entropy,1,1,1,0,1,0,0,25,adaptive,48,sqrt,10,23,kneighborsClassifier,9,6,adam,uniform,0.6007827788649707
logistic,kd_tree,24,gini,1,1,1,0,1,1,1,7,invscaling,26,sqrt,13,25,kneighborsClassifier,2,6,lbfgs,uniform,0.5998043052837574
relu,brute,17,entropy,0,1,0,1,1,1,0,34,adaptive,61,sqrt,6,30,kneighborsClassifier,8,2,adam,uniform,0.5958904109589042
identity,brute,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8953033268101761
identity,kd_tree,21,gini,0,0,0,1,1,0,0,8,adaptive,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.4383561643835616
relu,ball_tree,21,entropy,0,0,1,1,1,1,1,31,constant,33,auto,8,27,randomForestClassifier,5,4,lbfgs,distance,0.636986301369863
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,8,sgd,uniform,0.6731898238747553
logistic,auto,31,entropy,1,0,1,1,1,1,1,26,adaptive,89,sqrt,14,34,randomForestClassifier,7,2,lbfgs,distance,0.6594911937377691
logistic,brute,11,gini,1,1,0,0,1,0,0,26,constant,52,log2,10,24,kneighborsClassifier,5,10,lbfgs,distance,0.5714285714285714
relu,kd_tree,14,entropy,1,0,1,1,1,0,0,25,adaptive,48,sqrt,10,22,kneighborsClassifier,9,6,adam,uniform,0.5665362035225049
identity,ball_tree,12,entropy,1,1,1,0,1,0,1,7,invscaling,26,sqrt,13,25,kneighborsClassifier,2,6,lbfgs,uniform,0.6086105675146771
logistic,kd_tree,22,gini,1,1,1,0,1,1,0,34,adaptive,61,sqrt,6,30,kneighborsClassifier,8,2,adam,uniform,0.6800391389432485
relu,brute,17,entropy,0,1,0,1,1,1,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8894324853228963
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
identity,brute,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8953033268101761
relu,brute,17,entropy,0,1,0,1,1,1,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8894324853228963
identity,kd_tree,21,gini,0,0,0,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8561643835616438
relu,ball_tree,21,entropy,0,0,0,1,1,1,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.7240704500978473
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.7025440313111546
logistic,kd_tree,22,gini,1,1,1,0,1,1,0,34,adaptive,61,sqrt,6,30,kneighborsClassifier,8,2,adam,uniform,0.6800391389432485
logistic,auto,31,entropy,1,0,1,1,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,6,sgd,uniform,0.6771037181996086
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,8,sgd,uniform,0.6731898238747553
logistic,auto,31,entropy,1,0,1,1,1,1,1,26,adaptive,89,sqrt,14,34,randomForestClassifier,7,2,lbfgs,distance,0.6594911937377691
identity,auto,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,7,sgd,distance,0.8864970645792564
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,5,14,kneighborsClassifier,5,1,adam,uniform,0.9099804305283757
relu,brute,17,entropy,0,1,0,1,1,1,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8767123287671232
identity,kd_tree,21,gini,0,0,0,1,1,0,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.4383561643835616
relu,ball_tree,21,entropy,0,0,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.6223091976516634
logistic,ball_tree,31,entropy,1,1,0,1,1,1,0,34,adaptive,61,sqrt,6,30,kneighborsClassifier,8,2,adam,uniform,0.6526418786692759
logistic,kd_tree,22,gini,1,1,1,0,1,1,1,11,adaptive,83,auto,10,32,randomForestClassifier,7,6,lbfgs,uniform,0.6731898238747553
logistic,auto,31,entropy,1,0,1,1,1,1,1,11,adaptive,91,auto,10,32,randomForestClassifier,7,8,sgd,uniform,0.6771037181996086
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,26,adaptive,89,sqrt,14,34,randomForestClassifier,7,2,lbfgs,distance,0.6692759295499021
logistic,auto,31,entropy,1,0,1,1,1,1,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9050880626223092
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,5,14,kneighborsClassifier,5,1,adam,uniform,0.9099804305283757
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
logistic,auto,31,entropy,1,0,1,1,1,1,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9050880626223092
identity,brute,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8953033268101761
relu,brute,17,entropy,0,1,0,1,1,1,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8894324853228963
identity,auto,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,7,sgd,distance,0.8864970645792564
relu,brute,17,entropy,0,1,0,1,1,1,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8767123287671232
identity,kd_tree,21,gini,0,0,0,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8561643835616438
relu,ball_tree,21,entropy,0,0,0,1,1,1,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.7240704500978473
logistic,ball_tree,31,entropy,1,1,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.7025440313111546
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9099804305283757
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
logistic,auto,31,entropy,1,0,1,1,1,1,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8933463796477495
identity,brute,25,entropy,0,0,1,1,1,0,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8992172211350293
relu,brute,17,entropy,0,1,0,1,1,1,1,9,constant,73,log2,11,29,kneighborsClassifier,9,7,sgd,distance,0.8806262230919765
identity,auto,25,gini,1,0,1,1,1,0,1,9,constant,31,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8943248532289628
relu,brute,17,entropy,0,1,0,1,1,1,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8767123287671232
identity,kd_tree,21,gini,0,0,0,1,1,0,0,8,invscaling,7,log2,18,28,kneighborsClassifier,9,4,adam,distance,0.4383561643835616
relu,ball_tree,21,entropy,0,1,0,1,1,1,1,5,constant,33,auto,8,11,randomForestClassifier,5,4,lbfgs,distance,0.6673189823874756
logistic,ball_tree,31,entropy,1,1,0,1,1,1,0,13,constant,63,auto,5,14,kneighborsClassifier,5,1,adam,uniform,0.7925636007827789
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,5,14,kneighborsClassifier,5,1,adam,uniform,0.9099804305283757
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9099804305283757
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
logistic,auto,31,entropy,1,0,1,1,1,1,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9050880626223092
identity,brute,25,entropy,0,0,1,1,1,0,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8992172211350293
identity,brute,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8953033268101761
identity,auto,25,gini,1,0,1,1,1,0,1,9,constant,31,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8943248532289628
logistic,auto,31,entropy,1,0,1,1,1,1,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8933463796477495
relu,brute,17,entropy,0,1,0,1,1,1,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.8894324853228963
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9099804305283757
identity,brute,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9099804305283757
identity,auto,25,gini,1,1,1,1,1,0,1,29,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9060665362035225
identity,auto,25,gini,1,0,1,1,1,0,1,13,constant,63,auto,15,6,kneighborsClassifier,10,1,adam,uniform,0.9080234833659491
logistic,auto,31,entropy,1,0,1,1,1,1,1,13,constant,63,auto,5,6,randomForestClassifier,10,1,adam,uniform,0.7495107632093934
identity,brute,25,entropy,0,0,1,1,0,0,1,9,constant,45,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.7788649706457925
identity,brute,25,gini,1,0,1,1,1,0,1,9,constant,31,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8953033268101761
identity,auto,25,gini,1,0,1,1,1,0,1,9,constant,73,log2,16,29,kneighborsClassifier,9,3,sgd,distance,0.8943248532289628
logistic,auto,31,entropy,1,0,1,1,1,1,1,13,constant,63,auto,5,6,kneighborsClassifier,10,1,adam,uniform,0.9050880626223092
relu,brute,17,entropy,0,1,0,1,1,1,1,13,constant,63,auto,5,14,kneighborsClassifier,5,1,adam,uniform,0.8894324853228963
