activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,25,gini,0,0,1,0,0,0,1,15,invscaling,73,sqrt,6,10,randomForestClassifier,3,5,sgd,distance,0.49021526418786693
relu,brute,12,entropy,1,1,1,0,0,1,0,29,invscaling,26,auto,9,5,nnClassifier,5,3,lbfgs,uniform,0.019569471624266144
relu,auto,24,entropy,1,0,1,0,1,0,1,33,invscaling,99,sqrt,15,31,kneighborsClassifier,3,1,lbfgs,distance,0.8845401174168297
identity,auto,20,entropy,1,0,1,1,0,0,0,16,adaptive,71,log2,15,28,nnClassifier,2,7,adam,uniform,0.0
logistic,brute,29,gini,1,0,1,0,0,0,1,40,adaptive,36,auto,9,9,kneighborsClassifier,4,1,adam,distance,0.7661448140900196
relu,brute,30,gini,0,0,0,1,0,1,1,35,constant,100,log2,16,14,randomForestClassifier,1,1,lbfgs,distance,0.4598825831702544
logistic,brute,21,entropy,0,1,1,0,1,1,0,23,adaptive,98,log2,6,10,nnClassifier,7,7,sgd,distance,0.0019569471624266144
relu,brute,13,entropy,1,0,1,1,1,1,0,7,adaptive,63,sqrt,18,26,nnClassifier,9,10,lbfgs,distance,0.026418786692759294
logistic,ball_tree,29,gini,1,0,1,1,0,1,0,13,adaptive,78,auto,11,10,kneighborsClassifier,8,3,sgd,uniform,0.5401174168297456
identity,ball_tree,27,entropy,0,0,0,1,0,0,0,16,invscaling,77,sqrt,14,36,randomForestClassifier,7,6,lbfgs,uniform,0.18786692759295498
tanh,auto,18,gini,1,1,0,0,0,1,0,5,invscaling,40,sqrt,15,9,kneighborsClassifier,6,6,lbfgs,uniform,0.449119373776908
logistic,brute,10,gini,1,0,0,0,0,1,1,8,constant,40,auto,14,12,nnClassifier,10,3,lbfgs,uniform,0.010763209393346379
tanh,kd_tree,15,gini,0,1,1,1,0,1,0,14,adaptive,50,log2,14,6,randomForestClassifier,7,3,sgd,uniform,0.48336594911937375
logistic,kd_tree,11,gini,1,0,1,0,1,0,1,2,adaptive,36,log2,17,30,randomForestClassifier,4,4,sgd,uniform,0.6193737769080235
identity,kd_tree,12,gini,1,1,1,1,0,1,0,33,adaptive,43,auto,9,5,nnClassifier,4,6,adam,uniform,0.007827788649706457
tanh,brute,15,entropy,0,1,1,0,1,0,1,36,invscaling,85,log2,10,21,nnClassifier,4,10,adam,uniform,0.025440313111545987
relu,ball_tree,22,gini,1,0,0,1,1,1,0,37,invscaling,84,log2,4,40,kneighborsClassifier,7,8,adam,uniform,0.5577299412915852
relu,kd_tree,20,entropy,0,0,1,0,0,1,0,28,adaptive,8,sqrt,20,11,kneighborsClassifier,2,8,lbfgs,distance,0.547945205479452
