activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,8,gini,0,0,1,0,1,0,1,22,invscaling,27,sqrt,10,6,kneighborsClassifier,8,5,adam,uniform,0.5205479452054794
identity,ball_tree,19,gini,0,0,0,1,1,1,1,16,invscaling,90,log2,3,27,randomForestClassifier,6,7,lbfgs,uniform,0.6115459882583171
logistic,auto,21,entropy,0,1,0,1,0,0,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.7162426614481409
logistic,auto,17,gini,0,1,0,0,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8708414872798435
relu,brute,25,entropy,1,1,0,0,1,1,0,25,adaptive,39,log2,2,33,kneighborsClassifier,5,5,sgd,distance,0.7514677103718199
logistic,auto,12,entropy,0,1,1,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.7475538160469667
logistic,auto,21,entropy,0,1,0,1,0,0,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.7162426614481409
relu,ball_tree,24,entropy,1,1,0,1,1,1,1,30,constant,66,sqrt,13,12,randomForestClassifier,8,7,sgd,uniform,0.6839530332681018
logistic,auto,12,entropy,0,1,1,0,1,1,1,2,invscaling,89,log2,10,12,kneighborsClassifier,3,2,sgd,uniform,0.6790606653620352
identity,brute,8,entropy,0,1,1,0,0,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.6741682974559687
identity,ball_tree,16,gini,1,0,0,1,0,1,1,3,adaptive,84,log2,6,12,randomForestClassifier,10,4,adam,distance,0.6467710371819961
relu,brute,25,entropy,1,1,0,0,1,1,0,2,constant,38,auto,5,18,randomForestClassifier,3,9,adam,distance,0.6183953033268101
identity,ball_tree,19,gini,0,0,0,1,1,1,1,16,invscaling,90,log2,3,27,randomForestClassifier,6,7,lbfgs,uniform,0.6115459882583171
logistic,auto,17,gini,0,1,0,0,1,1,0,25,adaptive,39,log2,2,33,randomForestClassifier,5,5,sgd,distance,0.5
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,distance,0.761252446183953
logistic,auto,12,entropy,0,1,1,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8904109589041096
logistic,auto,21,entropy,0,1,0,1,0,0,1,30,constant,66,sqrt,5,12,randomForestClassifier,8,7,sgd,uniform,0.48238747553816047
relu,ball_tree,24,entropy,1,1,0,1,1,1,1,2,invscaling,93,log2,10,12,kneighborsClassifier,3,2,sgd,distance,0.8923679060665362
logistic,auto,12,entropy,0,1,1,0,1,1,0,10,invscaling,95,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.7475538160469667
identity,brute,8,entropy,0,1,1,1,0,1,1,3,adaptive,84,log2,6,12,randomForestClassifier,10,4,adam,distance,0.6800391389432485
identity,ball_tree,16,gini,1,0,0,1,0,1,0,2,constant,38,auto,5,38,randomForestClassifier,3,9,adam,distance,0.48043052837573386
relu,brute,25,entropy,1,1,0,0,1,1,1,16,invscaling,90,log2,3,13,randomForestClassifier,6,7,lbfgs,uniform,0.7348336594911937
identity,ball_tree,19,gini,0,0,0,1,1,1,1,16,constant,100,log2,4,33,kneighborsClassifier,6,7,adam,distance,0.8786692759295499
relu,ball_tree,24,entropy,1,1,0,1,1,1,1,2,invscaling,93,log2,10,12,kneighborsClassifier,3,2,sgd,distance,0.8923679060665362
logistic,auto,12,entropy,0,1,1,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8904109589041096
identity,ball_tree,19,gini,0,0,0,1,1,1,1,16,constant,100,log2,4,33,kneighborsClassifier,6,7,adam,distance,0.8786692759295499
logistic,auto,17,gini,0,1,0,0,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8708414872798435
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,distance,0.761252446183953
relu,brute,25,entropy,1,1,0,0,1,1,0,25,adaptive,39,log2,2,33,kneighborsClassifier,5,5,sgd,distance,0.7514677103718199
logistic,auto,12,entropy,0,1,1,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.7475538160469667
logistic,auto,12,entropy,0,1,1,0,1,1,0,10,invscaling,95,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.7475538160469667
relu,brute,25,entropy,1,1,0,0,1,1,1,16,invscaling,90,log2,3,13,randomForestClassifier,6,7,lbfgs,uniform,0.7348336594911937
logistic,auto,21,entropy,0,1,0,1,0,0,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.7162426614481409
relu,ball_tree,24,entropy,1,1,0,1,0,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8737769080234834
tanh,auto,12,entropy,0,1,1,0,1,1,1,16,adaptive,100,log2,5,33,kneighborsClassifier,6,7,adam,distance,0.8904109589041096
identity,ball_tree,19,gini,0,1,0,1,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8816046966731899
logistic,auto,17,gini,0,1,0,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,distance,0.7318982387475538
relu,brute,25,entropy,1,1,0,0,1,1,0,25,adaptive,39,log2,2,33,kneighborsClassifier,5,5,sgd,distance,0.7514677103718199
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,sqrt,18,21,kneighborsClassifier,9,1,lbfgs,uniform,0.761252446183953
logistic,auto,21,entropy,0,1,1,0,1,0,0,10,invscaling,95,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.6565557729941291
logistic,auto,12,entropy,0,1,1,0,1,1,1,16,invscaling,90,sqrt,3,13,randomForestClassifier,6,7,lbfgs,uniform,0.7123287671232876
relu,brute,25,entropy,1,1,0,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8835616438356164
logistic,auto,21,entropy,0,0,0,1,0,0,1,2,invscaling,93,log2,10,12,kneighborsClassifier,3,2,sgd,distance,0.6947162426614482
relu,ball_tree,24,entropy,1,1,0,1,1,1,1,2,invscaling,93,log2,10,12,kneighborsClassifier,3,2,sgd,distance,0.8923679060665362
logistic,auto,12,entropy,0,1,1,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8904109589041096
tanh,auto,12,entropy,0,1,1,0,1,1,1,16,adaptive,100,log2,5,33,kneighborsClassifier,6,7,adam,distance,0.8904109589041096
relu,brute,25,entropy,1,1,0,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8835616438356164
identity,ball_tree,19,gini,0,1,0,1,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8816046966731899
identity,ball_tree,19,gini,0,0,0,1,1,1,1,16,constant,100,log2,4,33,kneighborsClassifier,6,7,adam,distance,0.8786692759295499
relu,ball_tree,24,entropy,1,1,0,1,0,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8737769080234834
logistic,auto,17,gini,0,1,0,0,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8708414872798435
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,distance,0.761252446183953
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,sqrt,18,21,kneighborsClassifier,9,1,lbfgs,uniform,0.761252446183953
relu,ball_tree,24,entropy,1,1,0,1,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8884540117416829
logistic,auto,12,entropy,0,1,1,0,1,1,1,16,adaptive,100,log2,5,33,kneighborsClassifier,6,10,adam,distance,0.8816046966731899
tanh,auto,12,entropy,0,1,1,0,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,sgd,distance,0.8904109589041096
relu,brute,25,entropy,1,0,0,0,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8737769080234834
identity,ball_tree,19,gini,0,1,0,1,1,1,1,16,constant,100,log2,4,33,kneighborsClassifier,6,7,adam,distance,0.8816046966731899
identity,ball_tree,25,gini,0,0,1,1,1,1,1,16,constant,100,auto,3,4,kneighborsClassifier,6,7,adam,distance,0.8796477495107632
relu,ball_tree,24,entropy,1,1,0,1,0,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8737769080234834
logistic,auto,17,gini,0,1,0,0,1,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,distance,0.7318982387475538
relu,brute,25,entropy,1,1,0,0,1,1,0,10,invscaling,18,auto,18,21,kneighborsClassifier,8,1,lbfgs,uniform,0.761252446183953
relu,brute,25,entropy,1,1,0,0,1,1,1,2,invscaling,93,log2,10,12,kneighborsClassifier,3,2,sgd,distance,0.8894324853228963
