activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,20,gini,0,0,1,1,0,1,1,24,adaptive,52,log2,13,23,nnClassifier,8,7,adam,distance,0.026418786692759294
identity,brute,17,entropy,1,0,0,0,0,0,0,40,constant,11,log2,16,9,nnClassifier,8,9,sgd,distance,0.0
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
logistic,auto,10,entropy,0,1,1,1,1,1,1,37,invscaling,66,auto,6,8,nnClassifier,3,2,sgd,distance,0.0
logistic,kd_tree,29,gini,0,0,0,0,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8405088062622309
relu,auto,13,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
logistic,auto,15,gini,1,0,0,0,1,1,1,27,constant,60,log2,9,7,randomForestClassifier,4,10,lbfgs,uniform,0.6467710371819961
tanh,brute,16,gini,0,1,0,0,1,0,1,27,adaptive,49,auto,13,38,randomForestClassifier,1,6,lbfgs,uniform,0.48238747553816047
identity,ball_tree,14,entropy,1,0,1,1,0,1,1,16,constant,94,log2,3,40,randomForestClassifier,5,10,lbfgs,distance,0.6448140900195695
tanh,ball_tree,12,gini,0,1,1,1,1,0,1,28,invscaling,47,sqrt,14,14,nnClassifier,8,2,lbfgs,uniform,0.04794520547945205
identity,ball_tree,30,entropy,0,1,0,1,1,0,0,3,constant,33,auto,19,28,kneighborsClassifier,7,1,sgd,distance,0.5802348336594912
relu,auto,31,gini,1,0,0,1,0,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.6311154598825832
tanh,ball_tree,10,entropy,0,0,1,0,1,1,1,6,invscaling,88,log2,10,35,randomForestClassifier,9,9,sgd,distance,0.6007827788649707
identity,auto,21,entropy,0,0,0,1,1,1,1,22,constant,44,auto,14,37,nnClassifier,3,3,lbfgs,distance,0.0019569471624266144
tanh,auto,13,gini,1,1,0,0,1,0,1,5,constant,63,sqrt,18,40,randomForestClassifier,8,6,sgd,uniform,0.6154598825831703
relu,brute,30,entropy,1,0,1,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.7808219178082192
relu,auto,10,gini,0,1,0,1,1,1,0,29,invscaling,31,log2,11,26,randomForestClassifier,3,10,sgd,uniform,0.5078277886497065
tanh,auto,23,gini,1,0,1,0,1,0,0,10,adaptive,28,log2,19,17,nnClassifier,5,3,sgd,uniform,0.03718199608610567
logistic,kd_tree,26,entropy,0,0,0,0,0,1,0,6,adaptive,29,log2,18,6,kneighborsClassifier,10,9,sgd,distance,0.23776908023483365
tanh,auto,15,gini,0,0,0,1,1,0,0,30,constant,7,auto,4,30,randomForestClassifier,2,5,adam,distance,0.337573385518591
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
logistic,kd_tree,29,gini,0,0,0,0,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8405088062622309
relu,brute,30,entropy,1,0,1,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.7808219178082192
relu,auto,13,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
logistic,auto,15,gini,1,0,0,0,1,1,1,27,constant,60,log2,9,7,randomForestClassifier,4,10,lbfgs,uniform,0.6467710371819961
identity,ball_tree,14,entropy,1,0,1,1,0,1,1,16,constant,94,log2,3,40,randomForestClassifier,5,10,lbfgs,distance,0.6448140900195695
relu,auto,31,gini,1,0,0,1,0,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.6311154598825832
tanh,auto,13,gini,1,1,0,0,1,0,1,5,constant,63,sqrt,18,40,randomForestClassifier,8,6,sgd,uniform,0.6154598825831703
