activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,26,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,36,constant,90,auto,5,8,nnClassifier,7,7,sgd,distance,0.497737556561086,368.32813678099774
tanh,brute,27,entropy,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,10,constant,71,auto,3,8,kneighborsClassifier,7,9,sgd,distance,0.9402714932126697,368.3282195809297
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,5,constant,30,auto,13,26,nnClassifier,4,6,sgd,distance,0.5058823529411764,368.32828454999253
tanh,ball_tree,20,entropy,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,12,constant,81,auto,15,8,kneighborsClassifier,6,6,adam,distance,0.9158371040723982,368.3283481989056
tanh,auto,13,entropy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,24,constant,34,auto,3,6,nnClassifier,5,7,sgd,distance,0.5411764705882353,368.32841166784056
tanh,ball_tree,25,entropy,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,29,constant,48,auto,10,10,kneighborsClassifier,7,10,adam,distance,0.8850678733031674,368.3284745379351
relu,kd_tree,13,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,31,constant,90,auto,3,9,nnClassifier,7,8,sgd,distance,0.49230769230769234,368.32853691698983
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,12,constant,13,auto,7,17,nnClassifier,7,4,sgd,distance,0.5067873303167421,368.3286183059681
tanh,brute,17,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,7,constant,64,auto,3,34,kneighborsClassifier,10,4,adam,distance,0.9375565610859729,368.32868099492043
tanh,kd_tree,23,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,72,auto,6,8,nnClassifier,5,8,sgd,distance,0.5085972850678733,368.3287442638539
tanh,auto,27,entropy,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,10,constant,58,auto,12,12,kneighborsClassifier,9,5,sgd,distance,0.9266968325791856,368.3288066438399
tanh,kd_tree,12,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,25,constant,78,auto,3,12,nnClassifier,7,7,adam,distance,0.4986425339366516,368.32886878284626
relu,auto,19,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,19,constant,45,auto,4,18,nnClassifier,9,9,sgd,distance,0.502262443438914,368.32893106201664
relu,brute,15,entropy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,17,constant,23,auto,13,13,kneighborsClassifier,7,9,sgd,distance,0.930316742081448,368.3289927819278
tanh,ball_tree,26,entropy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,26,constant,22,auto,4,33,nnClassifier,2,8,sgd,distance,0.5085972850678733,368.32905469089746
tanh,brute,16,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,10,constant,35,auto,13,9,kneighborsClassifier,5,10,adam,distance,0.885972850678733,368.32911623991095
tanh,auto,26,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,19,constant,75,auto,7,8,kneighborsClassifier,7,7,sgd,distance,0.9149321266968325,368.32917769881897
relu,brute,27,entropy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,27,constant,70,auto,2,29,nnClassifier,8,7,sgd,distance,0.49411764705882355,368.3292396988254
relu,brute,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,9,constant,77,auto,16,23,kneighborsClassifier,5,9,sgd,distance,0.9375565610859729,368.32930141780525
tanh,auto,27,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,12,constant,10,auto,8,5,nnClassifier,5,7,adam,distance,0.5049773755656108,368.32936315680854
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,86,auto,5,12,nnClassifier,10,3,adam,distance,0.4968325791855204,903.1965931018349
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,69,auto,3,12,nnClassifier,10,5,adam,distance,0.9402714932126697,903.1966760309879
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,34,auto,11,30,nnClassifier,8,5,adam,distance,0.502262443438914,903.1967411998194
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,77,auto,11,12,nnClassifier,5,5,adam,distance,0.9457013574660633,903.196804968873
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,38,auto,3,10,nnClassifier,3,3,adam,distance,0.5013574660633484,903.1968680778518
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,52,auto,6,12,nnClassifier,10,6,adam,distance,0.9493212669683257,903.1969314878806
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,86,auto,2,13,nnClassifier,8,4,adam,distance,0.49411764705882355,903.1969949468039
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,17,auto,9,21,nnClassifier,10,4,adam,distance,0.497737556561086,903.1970580758061
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,66,auto,4,32,nnClassifier,10,5,adam,distance,0.9502262443438914,903.1971206259914
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,71,auto,10,12,nnClassifier,4,4,adam,distance,0.49049773755656106,903.1971829249524
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,62,auto,8,16,nnClassifier,9,6,adam,distance,0.9375565610859729,903.1972458539531
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,74,auto,5,16,nnClassifier,8,3,adam,distance,0.49140271493212667,903.197308443021
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,49,auto,5,22,nnClassifier,9,5,adam,distance,0.4995475113122172,903.1973716230132
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,27,auto,9,17,nnClassifier,10,5,adam,distance,0.9429864253393665,903.1974343319889
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,26,auto,2,36,nnClassifier,6,4,adam,distance,0.5031674208144796,903.1974968709983
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,39,auto,9,13,nnClassifier,9,6,adam,distance,0.9312217194570136,903.1975598810241
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,71,auto,4,12,nnClassifier,9,8,adam,distance,0.9466063348416289,903.1976312899496
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,66,auto,3,33,nnClassifier,10,6,adam,distance,0.5013574660633484,903.197693208931
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,73,auto,12,27,nnClassifier,9,5,adam,distance,0.9502262443438914,903.1977555579506
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,14,auto,6,9,nnClassifier,7,3,adam,distance,0.49321266968325794,903.1978172578383
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,82,auto,9,16,nnClassifier,10,2,adam,distance,0.49230769230769234,1633.6246402559336
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,68,auto,3,16,nnClassifier,10,9,adam,distance,0.49321266968325794,1633.6247290449683
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,38,auto,7,34,nnClassifier,7,4,adam,distance,0.4995475113122172,1633.6247942049522
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,76,auto,7,8,nnClassifier,9,4,adam,distance,0.4986425339366516,1633.6248582438566
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,42,auto,3,14,nnClassifier,6,6,adam,distance,0.49592760180995477,1633.6249223628547
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,56,auto,6,16,nnClassifier,10,3,adam,distance,0.49592760180995477,1633.624996441882
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,82,auto,2,17,nnClassifier,9,2,adam,distance,0.4995475113122172,1633.625060721999
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,21,auto,7,25,nnClassifier,8,1,adam,distance,0.49592760180995477,1633.6251241709106
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,62,auto,2,36,nnClassifier,10,2,adam,distance,0.497737556561086,1633.6251877599861
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,67,auto,6,16,nnClassifier,3,2,adam,distance,0.49230769230769234,1633.6252513388172
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,66,auto,5,20,nnClassifier,10,3,adam,distance,0.497737556561086,1633.6253147388343
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,70,auto,2,20,nnClassifier,10,3,adam,distance,0.4995475113122172,1633.625377557939
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,53,auto,6,26,nnClassifier,10,9,adam,distance,0.49230769230769234,1633.625440726988
