activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,23,entropy,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,25,constant,15,sqrt,17,9,kneighborsClassifier,6,7,sgd,distance,0.9212669683257918,44.447912390809506
tanh,auto,24,gini,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,22,constant,44,sqrt,6,8,kneighborsClassifier,6,8,sgd,distance,0.8986425339366516,44.44800680899061
relu,auto,25,gini,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,25,constant,62,sqrt,16,28,kneighborsClassifier,6,8,sgd,distance,0.9239819004524887,44.448075267951936
relu,auto,24,entropy,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,28,constant,21,sqrt,17,28,kneighborsClassifier,8,9,adam,distance,0.5773755656108597,44.4481412358582
relu,auto,25,entropy,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,18,constant,19,auto,13,33,kneighborsClassifier,7,9,sgd,distance,0.8778280542986425,44.4482073248364
tanh,auto,19,entropy,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,28,constant,12,sqrt,15,28,kneighborsClassifier,5,3,sgd,distance,0.746606334841629,44.44827234279364
relu,auto,19,gini,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,12,constant,52,sqrt,15,35,nnClassifier,9,8,sgd,distance,0.5049773755656108,44.448336771922186
relu,auto,25,entropy,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,19,constant,31,sqrt,7,21,kneighborsClassifier,6,8,sgd,distance,0.8190045248868778,44.44840123085305
relu,auto,27,gini,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,13,constant,75,sqrt,12,13,kneighborsClassifier,7,3,adam,distance,0.8171945701357466,44.44848324893974
tanh,auto,26,gini,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,17,constant,48,auto,16,10,kneighborsClassifier,6,8,sgd,distance,0.9031674208144796,44.44854768784717
tanh,auto,24,gini,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,7,constant,76,auto,9,13,kneighborsClassifier,5,5,sgd,distance,0.9221719457013575,44.44861051579937
relu,auto,20,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,19,constant,81,sqrt,15,18,kneighborsClassifier,6,8,sgd,distance,0.9357466063348416,44.448673584964126
tanh,auto,25,entropy,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,7,constant,55,sqrt,16,11,nnClassifier,8,9,sgd,distance,0.5104072398190045,44.448736033868045
tanh,auto,28,entropy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,12,constant,90,sqrt,10,17,kneighborsClassifier,3,6,adam,distance,0.8380090497737557,44.44880035193637
tanh,auto,25,entropy,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,8,constant,30,sqrt,16,10,kneighborsClassifier,8,8,sgd,distance,0.9402714932126697,44.44886312098242
tanh,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,14,constant,21,sqrt,12,11,nnClassifier,9,9,adam,distance,0.5085972850678733,44.44892609980889
