activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,28,gini,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,33,constant,12,auto,4,13,nnClassifier,8,6,adam,distance,0.5239819004524887,168.76377585506998
relu,auto,22,gini,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,20,constant,50,auto,12,32,nnClassifier,6,4,adam,distance,0.5230769230769231,168.7638573439326
relu,ball_tree,22,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,22,constant,77,auto,4,11,kneighborsClassifier,2,8,adam,distance,0.8081447963800905,168.7639219230041
relu,brute,23,gini,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,16,constant,47,auto,15,31,kneighborsClassifier,9,5,adam,distance,0.9040723981900453,168.76398507202975
relu,kd_tree,24,gini,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,6,constant,93,auto,15,32,kneighborsClassifier,9,7,adam,distance,0.9285067873303168,168.76404860103503
relu,kd_tree,21,gini,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,14,constant,74,auto,5,8,kneighborsClassifier,9,7,adam,distance,0.8850678733031674,168.76411184994504
relu,brute,22,gini,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,13,constant,21,auto,6,32,kneighborsClassifier,9,8,adam,distance,0.893212669683258,168.76417476893403
relu,brute,23,gini,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,14,constant,35,auto,5,32,kneighborsClassifier,9,7,adam,distance,0.9466063348416289,168.7642373680137
relu,auto,13,gini,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,36,constant,34,auto,5,23,kneighborsClassifier,5,6,adam,distance,0.9104072398190045,168.76429944694974
relu,brute,22,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,27,constant,56,auto,5,6,kneighborsClassifier,4,7,adam,distance,0.8144796380090498,168.7643612860702
relu,auto,23,gini,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,7,constant,69,auto,14,19,nnClassifier,8,7,adam,distance,0.5040723981900452,168.76442300505005
relu,auto,18,gini,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,16,constant,72,auto,11,7,kneighborsClassifier,6,7,adam,distance,0.8986425339366516,168.7644849838689
relu,auto,17,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,14,constant,16,auto,8,36,kneighborsClassifier,5,8,adam,distance,0.9122171945701357,168.76455531292595
relu,brute,27,gini,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,12,constant,24,auto,12,14,nnClassifier,10,6,adam,distance,0.5185520361990951,168.76461797300726
relu,auto,20,gini,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,11,constant,36,auto,6,9,kneighborsClassifier,6,7,adam,distance,0.9285067873303168,168.76468057208695
relu,auto,21,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,34,constant,18,auto,6,28,nnClassifier,8,7,adam,distance,0.5466063348416289,168.76474270108156
relu,ball_tree,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,9,constant,81,auto,11,20,kneighborsClassifier,9,8,adam,distance,0.9266968325791856,168.7648049700074
relu,kd_tree,24,gini,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,9,constant,53,auto,8,35,kneighborsClassifier,9,6,adam,distance,0.8461538461538461,168.76486734906211
relu,kd_tree,22,gini,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,13,constant,58,auto,9,36,kneighborsClassifier,10,7,adam,distance,0.9067873303167421,168.76492998795584
relu,kd_tree,24,gini,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,13,constant,83,auto,12,19,kneighborsClassifier,9,5,adam,distance,0.8334841628959276,168.7649920869153
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,16,auto,8,17,nnClassifier,4,6,adam,distance,0.5212669683257919,340.0337489999365
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,50,auto,8,35,nnClassifier,10,8,adam,distance,0.5257918552036199,340.0338310590014
