activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,73,auto,9,23,nnClassifier,8,7,adam,distance,0.48868778280542985,730.8411843259819
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,91,auto,2,25,nnClassifier,10,5,adam,distance,0.9321266968325792,730.8412451050244
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,48,auto,2,30,nnClassifier,8,4,adam,distance,0.9266968325791856,730.8413054340053
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,74,auto,10,15,nnClassifier,10,6,adam,distance,0.934841628959276,730.8413654440083
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,27,auto,2,26,nnClassifier,8,6,adam,distance,0.9321266968325792,730.8414255629759
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,26,auto,10,16,nnClassifier,8,7,adam,distance,0.502262443438914,730.8414856519084
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,27,auto,3,25,nnClassifier,3,6,adam,distance,0.497737556561086,730.8415453708731
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,41,auto,11,26,nnClassifier,9,7,adam,distance,0.9493212669683257,730.8416056400165
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,43,auto,5,30,nnClassifier,9,6,adam,distance,0.5049773755656108,730.8416658488568
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,69,auto,13,18,nnClassifier,8,8,adam,distance,0.9330316742081448,730.8417258078698
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,23,auto,7,28,nnClassifier,10,7,adam,distance,0.9194570135746606,730.8417858269531
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,78,auto,2,19,nnClassifier,7,5,adam,distance,0.5004524886877828,730.8418575760443
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,47,auto,4,28,nnClassifier,9,5,adam,distance,0.9484162895927601,730.8419175059535
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,20,auto,2,10,nnClassifier,10,6,adam,distance,0.9538461538461539,730.8419774149079
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,24,auto,13,31,nnClassifier,8,7,adam,distance,0.497737556561086,730.8420413839631
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,38,auto,5,11,nnClassifier,8,6,adam,distance,0.9384615384615385,730.8421028528828
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,22,auto,5,25,nnClassifier,10,4,adam,distance,0.5031674208144796,1315.5676503139548
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,25,auto,2,27,nnClassifier,8,4,adam,distance,0.5031674208144796,1315.567738082027
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,23,auto,2,22,nnClassifier,8,6,adam,distance,0.5085972850678733,1315.5678137610666
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,67,auto,2,23,nnClassifier,9,5,adam,distance,0.5058823529411764,1315.567876531044
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,69,auto,5,23,nnClassifier,8,4,adam,distance,0.5058823529411764,1315.5679387499113
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,87,auto,2,26,nnClassifier,9,9,adam,distance,0.5040723981900452,1315.5680152890272
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,44,auto,2,26,nnClassifier,8,6,adam,distance,0.5031674208144796,1315.5680781879928
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,70,auto,6,12,nnClassifier,9,5,adam,distance,0.4995475113122172,1315.5681404969655
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,24,auto,2,24,nnClassifier,8,7,adam,distance,0.5040723981900452,1315.568202925846
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,24,auto,8,20,nnClassifier,8,7,adam,distance,0.5058823529411764,1315.5682645849884
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,26,auto,2,23,nnClassifier,1,3,adam,distance,0.5040723981900452,1315.568326863926
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,37,auto,7,23,nnClassifier,5,6,adam,distance,0.5076923076923077,1315.5683879330754
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,39,auto,2,26,nnClassifier,10,4,adam,distance,0.5067873303167421,1315.5684493230656
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,65,auto,10,22,nnClassifier,8,7,adam,distance,0.5058823529411764,1315.5685104220174
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,25,auto,9,25,nnClassifier,7,6,adam,distance,0.5040723981900452,1315.568571640877
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,74,auto,2,23,nnClassifier,4,5,adam,distance,0.5031674208144796,1315.5686326799914
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,43,auto,3,24,nnClassifier,7,5,adam,distance,0.5067873303167421,1315.5688617269043
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,24,auto,2,14,nnClassifier,9,7,adam,distance,0.5031674208144796,1315.5689227660187
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,22,auto,10,27,nnClassifier,8,6,adam,distance,0.5058823529411764,1315.5689835450612
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,34,auto,2,8,nnClassifier,7,6,adam,distance,0.5040723981900452,1315.5690442940686
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,21,auto,3,23,nnClassifier,8,7,adam,distance,0.502262443438914,1965.6696998688858
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,22,auto,2,31,nnClassifier,5,8,adam,distance,0.5067873303167421,1965.6697831279598
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,25,auto,2,24,nnClassifier,8,6,adam,distance,0.5031674208144796,1965.6698557669297
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,63,auto,2,23,nnClassifier,8,5,adam,distance,0.5067873303167421,1965.669917465886
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,73,auto,9,19,nnClassifier,8,7,adam,distance,0.5013574660633484,1965.6699781259522
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,83,auto,4,22,nnClassifier,5,10,adam,distance,0.5067873303167421,1965.6700390249025
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,40,auto,2,29,nnClassifier,4,7,adam,distance,0.5085972850678733,1965.6700999238528
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,66,auto,2,16,nnClassifier,8,6,adam,distance,0.5058823529411764,1965.670160682872
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,28,auto,2,28,nnClassifier,8,7,adam,distance,0.5076923076923077,1965.670221841894
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,25,auto,4,24,nnClassifier,8,6,adam,distance,0.5031674208144796,1965.6702823808882
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,26,auto,2,24,nnClassifier,5,7,adam,distance,0.5040723981900452,1965.6703426109161
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,33,auto,10,24,nnClassifier,9,10,adam,distance,0.5040723981900452,1965.670403599972
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,35,auto,4,27,nnClassifier,10,5,adam,distance,0.502262443438914,1965.670463809045
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,61,auto,6,18,nnClassifier,8,4,adam,distance,0.5049773755656108,1965.6705241878517
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,25,auto,5,24,nnClassifier,7,7,adam,distance,0.5040723981900452,1965.6705842369702
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,72,auto,2,19,nnClassifier,2,8,adam,distance,0.5040723981900452,1965.6706446069293
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,39,auto,3,28,nnClassifier,8,4,adam,distance,0.5076923076923077,1965.6707044858485
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,25,auto,2,18,nnClassifier,5,7,adam,distance,0.5049773755656108,1965.6707647950388
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,26,auto,6,23,nnClassifier,8,6,adam,distance,0.5067873303167421,1965.670837244019
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,30,auto,5,12,nnClassifier,8,6,adam,distance,0.5049773755656108,1965.6708977429662
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,20,auto,5,27,nnClassifier,10,7,adam,distance,0.5031674208144796,2600.829915839946
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,26,auto,6,31,nnClassifier,8,7,adam,distance,0.5067873303167421,2600.829994608881
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,26,auto,2,25,nnClassifier,8,6,adam,distance,0.502262443438914,2600.8300560479984
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,59,auto,2,25,nnClassifier,8,7,adam,distance,0.5031674208144796,2600.8301172279753
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,69,auto,12,20,nnClassifier,8,7,adam,distance,0.502262443438914,2600.8301775469445
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,79,auto,2,21,nnClassifier,6,8,adam,distance,0.5031674208144796,2600.8302379059605
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,44,auto,2,29,nnClassifier,8,6,adam,distance,0.5067873303167421,2600.830297735054
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,62,auto,6,19,nnClassifier,9,10,adam,distance,0.5040723981900452,2600.830357664032
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,28,auto,2,28,nnClassifier,8,7,adam,distance,0.5067873303167421,2600.8304176439997
