activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,29,invscaling,33,log2,9,16,kneighborsClassifier,6,5,adam,distance,0.853393665158371,301.6424296780024
relu,auto,20,entropy,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,7,invscaling,76,sqrt,8,12,kneighborsClassifier,7,4,sgd,distance,0.902262443438914,301.642514196923
relu,auto,21,gini,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,11,adaptive,33,auto,13,15,kneighborsClassifier,7,5,sgd,distance,0.9221719457013575,301.64257762604393
relu,auto,21,gini,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,21,adaptive,5,auto,14,33,nnClassifier,2,4,sgd,distance,0.5031674208144796,301.642640175065
relu,auto,30,gini,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,20,invscaling,46,log2,11,6,randomForestClassifier,5,4,sgd,distance,0.8914027149321267,301.6427025140729
relu,auto,13,gini,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,12,invscaling,51,log2,15,36,nnClassifier,5,5,adam,distance,0.4995475113122172,301.64277520310134
relu,auto,17,gini,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,14,invscaling,90,auto,10,13,randomForestClassifier,2,3,adam,distance,0.930316742081448,301.6428384310566
relu,auto,23,gini,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,20,constant,6,log2,15,23,randomForestClassifier,9,4,adam,distance,0.746606334841629,301.6429000799544
relu,auto,30,gini,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,11,invscaling,88,sqrt,6,20,nnClassifier,6,5,sgd,distance,0.5447963800904977,301.6429616389796
relu,auto,27,entropy,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,27,constant,17,auto,16,22,nnClassifier,6,4,sgd,distance,0.497737556561086,301.6430232480634
relu,auto,26,gini,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,10,constant,61,sqrt,10,37,nnClassifier,8,4,sgd,distance,0.5031674208144796,301.64308546693064
relu,auto,28,entropy,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,28,adaptive,57,auto,8,11,nnClassifier,6,4,sgd,distance,0.5140271493212669,301.6431473561097
