activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,10,gini,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,constant,78,sqrt,18,31,kneighborsClassifier,5,10,adam,distance,0.443327239488117
logistic,ball_tree,32,gini,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,39,invscaling,81,sqrt,11,13,kneighborsClassifier,2,1,sgd,distance,0.43875685557586835
tanh,brute,22,gini,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,19,invscaling,68,auto,2,36,randomForestClassifier,6,10,adam,distance,0.6316270566727605
tanh,brute,21,entropy,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,37,invscaling,90,sqrt,20,24,kneighborsClassifier,8,10,sgd,uniform,0.41042047531992687
identity,kd_tree,9,gini,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,11,constant,40,sqrt,9,21,kneighborsClassifier,5,8,adam,uniform,0.39488117001828155
identity,kd_tree,8,entropy,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,31,constant,46,sqrt,12,6,kneighborsClassifier,8,1,sgd,distance,0.4405850091407678
logistic,auto,25,entropy,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,28,adaptive,6,log2,9,30,randomForestClassifier,5,1,sgd,uniform,0.47714808043875684
relu,brute,12,gini,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,36,invscaling,91,log2,13,8,kneighborsClassifier,3,10,sgd,uniform,0.4195612431444241
identity,kd_tree,8,entropy,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,6,adaptive,19,log2,15,35,nnClassifier,8,10,adam,distance,0.08135283363802559
tanh,ball_tree,13,entropy,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,9,adaptive,83,auto,17,32,nnClassifier,8,3,sgd,uniform,0.22394881170018283
logistic,kd_tree,13,gini,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,34,constant,59,auto,13,15,nnClassifier,7,6,adam,distance,0.12522851919561243
logistic,ball_tree,27,entropy,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,21,constant,46,log2,2,16,nnClassifier,6,2,sgd,distance,0.048446069469835464
identity,kd_tree,26,gini,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,36,invscaling,98,log2,11,12,kneighborsClassifier,3,10,lbfgs,uniform,0.3976234003656307
tanh,kd_tree,31,entropy,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,40,constant,2,log2,11,7,randomForestClassifier,6,9,lbfgs,distance,0.4460694698354662
logistic,brute,16,gini,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,28,adaptive,86,auto,18,8,nnClassifier,3,5,lbfgs,uniform,0.10054844606946983
tanh,auto,30,gini,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,15,invscaling,54,auto,18,7,kneighborsClassifier,6,4,adam,distance,0.4616087751371115
identity,ball_tree,24,entropy,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,18,invscaling,96,sqrt,17,8,kneighborsClassifier,1,5,adam,distance,0.5338208409506399
tanh,kd_tree,26,gini,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,10,adaptive,64,sqrt,12,32,kneighborsClassifier,3,2,lbfgs,uniform,0.4643510054844607
logistic,auto,30,entropy,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,22,constant,72,log2,18,21,nnClassifier,8,3,sgd,uniform,0.06672760511882998
logistic,kd_tree,25,gini,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,22,adaptive,55,auto,6,13,kneighborsClassifier,2,3,lbfgs,uniform,0.4716636197440585
logistic,brute,20,gini,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,18,adaptive,90,auto,4,6,kneighborsClassifier,6,6,sgd,uniform,0.46617915904936014
identity,auto,32,entropy,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,19,invscaling,58,sqrt,17,21,kneighborsClassifier,10,4,sgd,distance,0.4680073126142596
tanh,auto,28,entropy,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,9,constant,5,log2,20,6,randomForestClassifier,9,6,sgd,distance,0.5155393053016454
identity,auto,26,gini,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,38,adaptive,56,sqrt,14,6,kneighborsClassifier,6,2,lbfgs,uniform,0.48720292504570384
identity,brute,23,gini,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,32,constant,60,sqrt,16,28,kneighborsClassifier,1,3,adam,uniform,0.42138939670932357
identity,auto,17,gini,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,10,adaptive,46,log2,14,30,nnClassifier,4,2,adam,uniform,0.06489945155393052
identity,kd_tree,11,gini,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,16,adaptive,80,auto,15,40,nnClassifier,5,4,adam,uniform,0.05941499085923217
identity,ball_tree,12,gini,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,8,adaptive,63,sqrt,12,29,kneighborsClassifier,4,9,adam,distance,0.4890310786106033
tanh,brute,22,entropy,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,21,invscaling,56,log2,17,18,nnClassifier,2,1,sgd,uniform,0.004570383912248629
identity,kd_tree,18,entropy,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,32,adaptive,25,sqrt,5,13,nnClassifier,5,2,adam,distance,0.06764168190127971
identity,brute,22,gini,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,25,invscaling,56,auto,17,22,nnClassifier,6,2,adam,distance,0.0283363802559415
relu,ball_tree,10,entropy,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,27,adaptive,55,sqrt,9,19,randomForestClassifier,9,5,sgd,distance,0.5548446069469836
identity,kd_tree,11,entropy,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,constant,86,sqrt,13,40,kneighborsClassifier,7,8,sgd,uniform,0.40676416819012795
identity,brute,17,entropy,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,4,constant,12,sqrt,2,28,kneighborsClassifier,3,3,adam,distance,0.4287020109689214
tanh,brute,12,entropy,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,40,constant,15,sqrt,14,31,kneighborsClassifier,1,1,adam,distance,0.5374771480804388
identity,auto,20,gini,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,5,adaptive,16,auto,9,20,kneighborsClassifier,2,10,sgd,uniform,0.5338208409506399
logistic,brute,14,gini,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,38,invscaling,54,auto,10,15,kneighborsClassifier,3,6,adam,uniform,0.46983546617915906
logistic,kd_tree,14,gini,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,7,constant,50,auto,18,37,kneighborsClassifier,6,6,lbfgs,uniform,0.40676416819012795
