activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,16,gini,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,adaptive,71,log2,3,32,nnClassifier,7,10,lbfgs,distance,0.015539305301645339
relu,ball_tree,20,entropy,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,adaptive,26,log2,20,32,nnClassifier,10,2,adam,uniform,0.18738574040219377
logistic,auto,15,gini,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,21,adaptive,74,auto,19,3,kneighborsClassifier,10,3,sgd,distance,0.39945155393053017
identity,ball_tree,11,gini,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,18,invscaling,46,auto,2,20,kneighborsClassifier,6,1,lbfgs,uniform,0.4259597806215722
tanh,kd_tree,15,gini,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,17,constant,29,log2,17,19,randomForestClassifier,6,4,adam,uniform,0.5658135283363802
relu,ball_tree,8,gini,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,4,invscaling,37,log2,3,11,nnClassifier,8,3,lbfgs,uniform,0.2522851919561243
logistic,kd_tree,21,entropy,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,29,constant,83,sqrt,14,24,nnClassifier,1,4,sgd,distance,0.031992687385740404
relu,kd_tree,13,gini,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,19,adaptive,19,sqrt,19,23,nnClassifier,6,9,adam,distance,0.24223034734917734
tanh,brute,30,gini,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,12,adaptive,43,auto,18,21,nnClassifier,1,5,lbfgs,uniform,0.08409506398537477
logistic,kd_tree,29,entropy,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,36,invscaling,51,sqrt,10,32,nnClassifier,8,1,adam,uniform,0.25502742230347347
identity,brute,18,gini,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,35,adaptive,31,log2,9,31,randomForestClassifier,3,4,sgd,uniform,0.5758683729433273
identity,brute,16,gini,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,33,invscaling,81,auto,6,15,kneighborsClassifier,6,1,adam,uniform,0.4287020109689214
logistic,ball_tree,12,gini,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,5,adaptive,19,sqrt,17,7,kneighborsClassifier,10,1,adam,uniform,0.43144424131627057
identity,ball_tree,24,entropy,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,32,invscaling,16,log2,7,16,nnClassifier,3,1,lbfgs,uniform,0.06764168190127971
identity,auto,13,entropy,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,6,invscaling,98,auto,10,30,kneighborsClassifier,9,8,sgd,uniform,0.46617915904936014
logistic,ball_tree,23,gini,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,15,invscaling,11,auto,16,30,randomForestClassifier,8,10,sgd,distance,0.5539305301645339
identity,auto,8,gini,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,8,adaptive,100,auto,8,9,kneighborsClassifier,1,1,adam,distance,0.5740402193784278
relu,brute,19,entropy,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,28,adaptive,49,sqrt,3,12,kneighborsClassifier,4,7,sgd,uniform,0.46983546617915906
identity,auto,8,gini,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,constant,18,log2,10,28,randomForestClassifier,8,1,adam,distance,0.5036563071297989
tanh,auto,30,gini,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,11,constant,35,auto,6,2,nnClassifier,2,3,adam,uniform,0.24223034734917734
logistic,ball_tree,17,entropy,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,39,adaptive,1,auto,20,22,randomForestClassifier,4,7,adam,distance,0.5447897623400365
relu,brute,28,gini,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,34,invscaling,90,log2,6,12,nnClassifier,2,1,lbfgs,distance,0.12340036563071298
identity,ball_tree,13,gini,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,4,invscaling,79,auto,9,36,randomForestClassifier,8,7,adam,uniform,0.6197440585009141
logistic,ball_tree,25,gini,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,18,constant,86,auto,6,17,nnClassifier,7,2,lbfgs,uniform,0.09049360146252285
identity,kd_tree,12,entropy,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,22,constant,54,sqrt,3,23,kneighborsClassifier,6,6,adam,distance,0.4524680073126143
logistic,kd_tree,11,entropy,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,37,invscaling,39,auto,5,32,randomForestClassifier,4,1,lbfgs,uniform,0.5219378427787934
logistic,auto,28,gini,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,39,constant,42,log2,16,15,nnClassifier,1,5,sgd,uniform,0.0
identity,ball_tree,30,gini,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,31,adaptive,50,sqrt,14,9,kneighborsClassifier,3,7,sgd,uniform,0.40219378427787933
relu,auto,13,gini,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,14,adaptive,6,auto,5,25,kneighborsClassifier,6,7,lbfgs,uniform,0.4789762340036563
tanh,auto,29,gini,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,10,adaptive,69,log2,8,13,kneighborsClassifier,2,10,sgd,uniform,0.443327239488117
tanh,auto,9,entropy,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,36,constant,25,log2,18,25,randomForestClassifier,5,4,adam,uniform,0.5283363802559415
identity,ball_tree,16,gini,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,14,invscaling,72,sqrt,11,9,kneighborsClassifier,7,4,sgd,distance,0.4405850091407678
relu,brute,22,gini,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,24,adaptive,81,log2,6,34,kneighborsClassifier,3,8,sgd,uniform,0.41590493601462525
identity,auto,24,entropy,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,30,adaptive,89,auto,16,2,randomForestClassifier,2,6,lbfgs,uniform,0.5813528336380256
tanh,kd_tree,30,entropy,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,26,invscaling,22,auto,5,15,kneighborsClassifier,4,10,lbfgs,distance,0.49725776965265084
relu,auto,9,gini,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,7,invscaling,93,log2,12,19,kneighborsClassifier,6,7,lbfgs,uniform,0.47623400365630714
tanh,kd_tree,26,entropy,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,3,constant,93,sqrt,17,27,kneighborsClassifier,1,4,adam,distance,0.42687385740402195
relu,ball_tree,17,gini,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,31,constant,36,auto,13,17,kneighborsClassifier,8,3,adam,uniform,0.48628884826325414
tanh,ball_tree,13,entropy,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,5,constant,96,sqrt,14,14,kneighborsClassifier,1,5,sgd,uniform,0.3930530164533821
identity,kd_tree,25,entropy,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,40,constant,31,auto,2,13,kneighborsClassifier,7,4,lbfgs,uniform,0.48080438756855576
logistic,brute,29,gini,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,14,invscaling,5,sqrt,5,5,randomForestClassifier,3,10,adam,distance,0.5
tanh,auto,15,entropy,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,10,adaptive,22,auto,3,10,kneighborsClassifier,7,9,lbfgs,distance,0.41590493601462525
relu,auto,13,entropy,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,12,adaptive,47,auto,11,36,randomForestClassifier,5,10,sgd,distance,0.5347349177330896
relu,kd_tree,28,entropy,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,7,invscaling,54,log2,2,31,nnClassifier,6,9,adam,distance,0.2202925045703839
logistic,brute,12,entropy,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,18,adaptive,87,sqrt,15,21,nnClassifier,2,10,adam,uniform,0.22120658135283364
relu,brute,19,gini,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,9,adaptive,93,log2,19,3,randomForestClassifier,1,9,lbfgs,distance,0.5210237659963437
identity,ball_tree,28,gini,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,33,constant,93,auto,14,12,nnClassifier,4,10,sgd,uniform,0.0740402193784278
relu,kd_tree,28,entropy,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,12,constant,41,auto,7,15,kneighborsClassifier,1,9,adam,uniform,0.3939670932358318
tanh,ball_tree,24,gini,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,19,adaptive,36,log2,9,36,kneighborsClassifier,2,6,adam,distance,0.5347349177330896
relu,auto,27,gini,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,21,adaptive,49,auto,10,38,nnClassifier,10,4,lbfgs,uniform,0.28244972577696525
