activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,28,entropy,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,14,constant,12,log2,5,2,nnClassifier,5,1,adam,uniform,0.27787934186471663
tanh,auto,24,gini,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,31,constant,61,sqrt,9,9,nnClassifier,7,1,sgd,uniform,0.2230347349177331
tanh,brute,13,entropy,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,36,adaptive,20,log2,17,18,nnClassifier,4,2,sgd,uniform,0.25502742230347347
identity,auto,27,gini,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,30,adaptive,9,auto,8,36,randomForestClassifier,10,8,sgd,distance,0.5484460694698354
logistic,brute,27,gini,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,23,adaptive,92,log2,18,18,nnClassifier,6,7,sgd,distance,0.09963436928702012
tanh,ball_tree,9,entropy,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,23,adaptive,2,log2,7,18,kneighborsClassifier,1,3,adam,distance,0.3903107861060329
tanh,brute,8,gini,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,6,constant,18,sqrt,4,20,kneighborsClassifier,4,3,lbfgs,uniform,0.46526508226691043
identity,kd_tree,10,entropy,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,38,adaptive,73,auto,12,35,nnClassifier,3,3,lbfgs,distance,0.044789762340036565
identity,kd_tree,21,entropy,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,26,adaptive,54,log2,11,34,nnClassifier,5,8,lbfgs,distance,0.02376599634369287
identity,brute,14,entropy,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,33,adaptive,49,log2,8,40,randomForestClassifier,5,2,lbfgs,uniform,0.5036563071297989
