activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,27,gini,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,35,invscaling,1,log2,16,26,kneighborsClassifier,4,2,lbfgs,uniform,0.44881170018281535
logistic,ball_tree,15,gini,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,2,invscaling,61,log2,12,29,nnClassifier,3,8,sgd,uniform,0.0
relu,kd_tree,12,gini,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,28,invscaling,53,log2,9,38,nnClassifier,1,6,lbfgs,uniform,0.0
identity,kd_tree,17,entropy,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,19,constant,87,auto,13,34,kneighborsClassifier,4,10,adam,distance,0.5073126142595978
relu,ball_tree,21,gini,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,19,invscaling,22,sqrt,17,27,nnClassifier,1,7,lbfgs,uniform,0.0
relu,kd_tree,17,gini,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,11,invscaling,63,log2,13,38,randomForestClassifier,4,4,sgd,uniform,0.5987202925045704
tanh,brute,15,entropy,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,5,constant,38,sqrt,20,30,randomForestClassifier,4,3,sgd,distance,0.5658135283363802
tanh,kd_tree,27,gini,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,12,constant,20,sqrt,10,20,randomForestClassifier,1,6,adam,distance,0.5475319926873857
tanh,auto,31,entropy,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,7,constant,54,auto,7,7,nnClassifier,4,6,lbfgs,uniform,0.16727605118829983
tanh,kd_tree,11,gini,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,26,adaptive,4,auto,12,15,kneighborsClassifier,9,1,adam,uniform,0.5018281535648994
logistic,auto,25,gini,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,18,constant,97,sqrt,12,31,randomForestClassifier,5,5,lbfgs,distance,0.6325411334552102
