activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,29,entropy,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,2,constant,5,auto,16,28,randomForestClassifier,8,9,lbfgs,distance,0.5137111517367459
identity,auto,8,gini,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,35,constant,48,sqrt,12,23,randomForestClassifier,2,4,adam,distance,0.5045703839122486
logistic,kd_tree,19,gini,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,32,invscaling,13,sqrt,18,36,randomForestClassifier,1,4,lbfgs,uniform,0.5548446069469836
tanh,ball_tree,30,entropy,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,20,invscaling,13,sqrt,13,24,randomForestClassifier,10,10,sgd,distance,0.5283363802559415
logistic,brute,9,entropy,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,19,constant,84,sqrt,6,35,randomForestClassifier,4,1,sgd,uniform,0.5219378427787934
identity,auto,13,entropy,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,24,constant,81,auto,9,27,nnClassifier,9,2,adam,distance,0.11060329067641682
logistic,ball_tree,31,entropy,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,35,constant,50,log2,4,37,randomForestClassifier,5,2,sgd,distance,0.5082266910420475
identity,brute,8,gini,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,2,invscaling,13,auto,15,2,randomForestClassifier,10,4,adam,uniform,0.5850091407678245
logistic,auto,11,gini,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,7,constant,88,auto,16,4,randomForestClassifier,5,8,lbfgs,uniform,0.5904936014625228
tanh,ball_tree,20,entropy,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,3,constant,61,log2,3,12,kneighborsClassifier,4,6,lbfgs,uniform,0.4954296160877514
logistic,brute,14,entropy,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,14,constant,81,sqrt,9,27,randomForestClassifier,2,2,adam,uniform,0.5575868372943327
relu,auto,31,entropy,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,13,adaptive,32,sqrt,18,30,kneighborsClassifier,7,7,lbfgs,distance,0.4670932358318099
relu,ball_tree,25,entropy,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,14,invscaling,49,sqrt,15,36,kneighborsClassifier,7,10,sgd,uniform,0.43875685557586835
relu,brute,18,entropy,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,36,constant,65,sqrt,20,14,kneighborsClassifier,5,7,lbfgs,uniform,0.5118829981718465
tanh,kd_tree,11,gini,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,11,invscaling,3,auto,6,10,nnClassifier,1,6,lbfgs,uniform,0.11517367458866545
tanh,auto,13,entropy,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,30,constant,52,log2,12,18,kneighborsClassifier,7,4,adam,uniform,0.41042047531992687
logistic,kd_tree,10,gini,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,37,invscaling,37,sqrt,3,34,randomForestClassifier,6,8,adam,distance,0.5557586837294333
relu,brute,29,entropy,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,adaptive,27,auto,8,30,nnClassifier,10,5,adam,distance,0.1956124314442413
logistic,ball_tree,13,gini,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,18,invscaling,53,log2,15,15,randomForestClassifier,9,6,sgd,distance,0.5374771480804388
relu,ball_tree,15,entropy,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,constant,12,log2,14,34,randomForestClassifier,10,7,lbfgs,uniform,0.4853747714808044
relu,auto,12,entropy,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,22,invscaling,53,auto,10,15,kneighborsClassifier,10,9,sgd,distance,0.4744058500914077
tanh,ball_tree,10,gini,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,invscaling,68,auto,6,3,randomForestClassifier,6,7,adam,distance,0.44789762340036565
logistic,ball_tree,13,entropy,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,6,constant,25,sqrt,2,39,randomForestClassifier,3,3,lbfgs,uniform,0.6252285191956124
logistic,ball_tree,22,gini,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,34,constant,13,sqrt,15,23,nnClassifier,10,5,lbfgs,distance,0.09140767824497258
