,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,1,1,nnClassifier,relu,None,13,None,None,constant,None,None,None,None,7,None,sgd,None,1.0,ok,4.630007858155295
1,0,1,1,1,1,1,nnClassifier,identity,None,26,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,1.0,ok,4.838513852097094
2,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,20.0,24.0,None,None,None,None,0.9821109123434705,ok,5.448736127000302
3,1,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,14.0,None,None,None,None,None,None,6.0,None,uniform,0.9892665474060823,ok,5.537888668011874
4,1,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,3.0,None,distance,0.9874776386404294,ok,5.6069105479400605
5,1,0,1,1,0,0,kneighborsClassifier,None,auto,None,None,6.0,None,None,None,None,None,None,5.0,None,uniform,0.9821109123434705,ok,5.695200175046921
6,1,1,1,0,0,0,nnClassifier,logistic,None,13,None,None,invscaling,None,None,None,None,3,None,adam,None,1.0,ok,14.266569043044
7,1,0,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,12.0,None,None,None,None,None,None,2.0,None,distance,0.9695885509838998,ok,14.322439721086994
8,0,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,34.0,log2,5.0,21.0,None,None,None,None,0.9874776386404294,ok,14.95778518402949
9,0,1,1,1,1,1,nnClassifier,identity,None,18,None,None,adaptive,None,None,None,None,9,None,lbfgs,None,1.0,ok,15.160595514113083
10,0,1,1,1,1,0,nnClassifier,relu,None,32,None,None,constant,None,None,None,None,6,None,sgd,None,1.0,ok,17.943938808050007
11,0,1,1,1,0,0,nnClassifier,logistic,None,18,None,None,constant,None,None,None,None,6,None,lbfgs,None,1.0,ok,18.365216962993145
12,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,45.0,auto,10.0,18.0,None,None,None,None,0.9919499105545617,ok,19.190105146961287
13,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,14.0,None,None,None,None,None,None,10.0,None,uniform,0.9874776386404294,ok,19.28546582814306
14,0,0,1,1,1,1,nnClassifier,identity,None,10,None,None,constant,None,None,None,None,4,None,sgd,None,1.0,ok,24.20145124895498
15,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,36.0,None,None,None,None,None,None,6.0,None,distance,0.9919499105545617,ok,24.389784174971282
16,0,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,27.0,None,None,None,None,None,None,4.0,None,uniform,0.9865831842576028,ok,24.473684959113598
17,0,0,1,0,0,0,nnClassifier,logistic,None,16,None,None,invscaling,None,None,None,None,5,None,adam,None,1.0,ok,30.65371156297624
18,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,12.0,None,None,None,None,None,None,9.0,None,distance,0.9937388193202147,ok,30.84752281801775
19,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,9.0,None,None,None,None,None,None,8.0,None,uniform,0.9901610017889088,ok,30.94498540996574
20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
22,0,0,0,0,0,1,nnClassifier,logistic,None,22,None,None,invscaling,None,None,None,None,5,None,adam,None,1.0,ok,36.67342473100871
23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
25,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,20.0,3.0,None,None,None,None,0.9901610017889088,ok,37.600425865035504
26,0,1,0,1,1,1,nnClassifier,identity,None,28,None,None,invscaling,None,None,None,None,1,None,lbfgs,None,1.0,ok,37.77200931310654
27,0,0,0,0,0,1,nnClassifier,logistic,None,22,None,None,invscaling,None,None,None,None,7,None,adam,None,1.0,ok,43.11608402314596
28,0,1,0,0,0,1,nnClassifier,relu,None,21,None,None,adaptive,None,None,None,None,5,None,sgd,None,1.0,ok,54.31373412301764
29,0,1,0,1,1,1,nnClassifier,identity,None,32,None,None,constant,None,None,None,None,2,None,lbfgs,None,1.0,ok,54.5049669360742
30,0,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,100.0,auto,3.0,40.0,None,None,None,None,0.9803220035778175,ok,55.11368303396739
31,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,73.0,sqrt,14.0,40.0,None,None,None,None,0.9910554561717353,ok,56.06279999902472
32,0,1,0,1,1,1,nnClassifier,identity,None,26,None,None,constant,None,None,None,None,3,None,lbfgs,None,1.0,ok,56.25087693007663
33,0,1,0,0,1,1,nnClassifier,relu,None,31,None,None,constant,None,None,None,None,8,None,sgd,None,1.0,ok,59.1036365730688
34,1,1,0,1,1,1,nnClassifier,tanh,None,10,None,None,constant,None,None,None,None,2,None,lbfgs,None,1.0,ok,59.68148960405961
35,0,1,0,0,1,1,nnClassifier,relu,None,25,None,None,constant,None,None,None,None,4,None,sgd,None,1.0,ok,62.73961287806742
36,1,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,auto,15.0,3.0,None,None,None,None,0.9803220035778175,ok,63.28067298210226
37,0,0,1,1,1,1,nnClassifier,identity,None,8,None,None,constant,None,None,None,None,4,None,sgd,None,1.0,ok,69.01045978697948
38,1,1,0,0,1,1,nnClassifier,relu,None,24,None,None,constant,None,None,None,None,7,None,sgd,None,1.0,ok,72.375225052936
39,0,1,0,0,1,1,nnClassifier,relu,None,29,None,None,adaptive,None,None,None,None,4,None,sgd,None,1.0,ok,81.16382401902229
40,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,69.0,log2,7.0,32.0,None,None,None,None,0.9919499105545617,ok,81.99948385800235
41,0,0,1,0,0,0,nnClassifier,logistic,None,18,None,None,invscaling,None,None,None,None,8,None,adam,None,1.0,ok,87.24591033812612
42,1,1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,37.0,None,None,None,None,None,None,1.0,None,distance,0.9856887298747764,ok,87.32296829298139
43,0,1,0,0,1,1,nnClassifier,relu,None,30,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,90.03188148001209
44,0,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,20.0,sqrt,17.0,11.0,None,None,None,None,0.9803220035778175,ok,90.5166164690163
45,1,0,1,0,0,0,nnClassifier,logistic,None,19,None,None,invscaling,None,None,None,None,9,None,adam,None,1.0,ok,96.58989844005555
46,0,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,23.0,None,None,None,None,None,None,8.0,None,distance,0.9892665474060823,ok,96.70271551911719
47,0,0,0,0,0,1,nnClassifier,logistic,None,15,None,None,invscaling,None,None,None,None,7,None,adam,None,1.0,ok,102.89166009705514
48,1,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,31.0,None,None,None,None,None,None,1.0,None,uniform,0.9883720930232558,ok,102.9993406990543
