,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,1,0,nnClassifier,relu,None,22,None,None,invscaling,None,None,None,None,4,None,adam,None,1.0,ok,2.679904557997361
1,0,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,45.0,auto,17.0,36.0,None,None,None,None,0.9731663685152058,ok,3.1606901180930436
2,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,23.0,sqrt,20.0,35.0,None,None,None,None,0.981216457960644,ok,4.051132370950654
3,1,0,0,1,1,1,kneighborsClassifier,None,brute,None,None,38.0,None,None,None,None,None,None,5.0,None,uniform,0.981216457960644,ok,4.2782698010560125
4,1,0,1,0,1,0,kneighborsClassifier,None,brute,None,None,11.0,None,None,None,None,None,None,3.0,None,uniform,0.9749552772808586,ok,4.444894499145448
5,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,23.0,None,None,None,None,None,None,7.0,None,distance,0.9838998211091234,ok,4.513151637976989
6,1,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,3.0,None,None,None,None,None,None,5.0,None,uniform,0.983005366726297,ok,4.6266943861264735
7,1,0,1,0,0,0,nnClassifier,identity,None,25,None,None,constant,None,None,None,None,2,None,lbfgs,None,1.0,ok,4.808852029033005
8,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,15.0,auto,2.0,6.0,None,None,None,None,0.9749552772808586,ok,5.727961996104568
9,1,0,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,4.0,None,None,None,None,None,None,5.0,None,uniform,0.981216457960644,ok,5.8368013091385365
10,0,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,35.0,None,None,None,None,None,None,4.0,None,uniform,0.9731663685152058,ok,5.905692631145939
11,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,100.0,auto,4.0,16.0,None,None,None,None,0.981216457960644,ok,6.818467832170427
12,0,1,1,1,0,0,nnClassifier,logistic,None,18,None,None,adaptive,None,None,None,None,1,None,lbfgs,None,1.0,ok,7.229560788953677
13,1,1,1,1,0,1,nnClassifier,logistic,None,11,None,None,constant,None,None,None,None,9,None,lbfgs,None,1.0,ok,7.652087872149423
14,1,1,1,0,0,0,nnClassifier,logistic,None,8,None,None,constant,None,None,None,None,5,None,lbfgs,None,1.0,ok,8.05102702206932
15,1,1,0,1,1,1,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,7,None,lbfgs,None,1.0,ok,8.236861002165824
16,1,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,53.0,sqrt,6.0,6.0,None,None,None,None,0.9722719141323792,ok,8.957693374948576
17,1,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,38.0,None,None,None,None,None,None,6.0,None,distance,0.9785330948121646,ok,9.157348673092201
18,1,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,20.0,None,None,None,None,None,None,4.0,None,uniform,0.9749552772808586,ok,9.23072934197262
19,0,1,1,0,1,0,nnClassifier,tanh,None,27,None,None,invscaling,None,None,None,None,2,None,adam,None,1.0,ok,15.813377105165273
20,1,1,0,1,1,1,nnClassifier,relu,None,20,None,None,adaptive,None,None,None,None,6,None,adam,None,1.0,ok,18.64176253299229
21,1,1,0,1,1,1,nnClassifier,relu,None,22,None,None,invscaling,None,None,None,None,6,None,sgd,None,1.0,ok,21.639556732960045
22,0,0,0,0,1,0,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,3,None,adam,None,1.0,ok,27.053855333011597
23,1,1,0,1,1,1,nnClassifier,relu,None,17,None,None,adaptive,None,None,None,None,4,None,adam,None,1.0,ok,30.080705443164334
24,1,0,0,1,1,1,nnClassifier,relu,None,20,None,None,invscaling,None,None,None,None,8,None,sgd,None,1.0,ok,34.863534291042015
25,0,0,0,0,1,0,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,4,None,adam,None,1.0,ok,39.36134211299941
