,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
53,0,1,0,1,1,1,nnClassifier,tanh,None,25.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,1.0,ok,156.60835363110527
54,0,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,19.0,None,None,None,None,None,None,2.0,None,uniform,0.9856887298747764,ok,156.74407630204223
55,0,1,0,1,1,1,nnClassifier,identity,None,31.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,1.0,ok,158.60985770705156
56,0,1,0,0,1,0,nnClassifier,identity,None,10.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,1.0,ok,163.0605787250679
57,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,46,sqrt,12,40,None,None,None,None,0.9794275491949911,ok,164.0339678430464
58,1,1,1,1,1,1,nnClassifier,relu,None,18.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,1.0,ok,168.67059185216203
59,1,0,0,0,0,1,nnClassifier,identity,None,23.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,168.87369372602552
60,1,0,0,0,0,1,nnClassifier,identity,None,13.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,169.07738145021722
61,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,29.0,None,None,None,None,None,None,5.0,None,distance,0.9660107334525939,ok,169.28593914420344
62,1,0,0,0,0,1,nnClassifier,relu,None,12.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,1.0,ok,173.34441046812572
63,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,25,log2,4,17,None,None,None,None,0.9740608228980322,ok,174.17482412420213
64,0,1,0,1,1,1,nnClassifier,tanh,None,14.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,196.26447273115627
65,0,1,0,1,1,1,nnClassifier,logistic,None,18.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,1.0,ok,202.06565439119004
66,0,1,0,1,1,1,nnClassifier,logistic,None,8.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,1.0,ok,210.34761424106546
67,0,1,0,1,1,1,nnClassifier,logistic,None,8.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,1.0,ok,219.31395461410284
68,0,1,0,1,1,1,nnClassifier,identity,None,25.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,1.0,ok,219.50832806900144
69,1,0,1,0,0,0,nnClassifier,relu,None,20.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,1.0,ok,230.6777216491755
70,1,0,1,0,0,0,nnClassifier,relu,None,10.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,1.0,ok,230.88985881302506
71,0,0,0,0,0,1,nnClassifier,tanh,None,28.0,None,None,constant,None,None,None,None,5.0,None,adam,None,1.0,ok,234.6559724060353
