,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,0,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,6,None,distance,0.9821109123434705,ok,0.2076745571102947
1,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,32.0,auto,9.0,21.0,None,None,None,None,0.9776386404293381,ok,1.0462125740014017
2,0,0,0,1,1,1,nnClassifier,tanh,None,11.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,1.0,ok,9.288494809065014
3,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,97.0,log2,11.0,14.0,None,None,None,None,0.9883720930232558,ok,10.186275222105905
4,1,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,58.0,auto,13.0,9.0,None,None,None,None,0.9803220035778175,ok,10.837939586956054
5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
6,0,1,1,0,1,1,nnClassifier,relu,None,15.0,None,None,constant,None,None,None,None,10.0,None,adam,None,1.0,ok,14.201547007076442
7,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,87.0,sqrt,14.0,3.0,None,None,None,None,0.981216457960644,ok,15.052880962146446
8,0,1,0,0,0,0,nnClassifier,identity,None,31.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,1.0,ok,15.182411588961259
9,1,0,0,1,1,0,nnClassifier,identity,None,14.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,1.0,ok,15.369334951043129
10,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,3,None,uniform,0.9865831842576028,ok,15.461321137147024
11,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,6,None,distance,0.9883720930232558,ok,15.521152246976271
12,0,0,1,0,1,0,nnClassifier,relu,None,14.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,1.0,ok,15.771333994111046
13,1,1,1,0,0,0,nnClassifier,identity,None,12.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,31.29135708604008
14,0,0,0,0,1,0,nnClassifier,relu,None,10.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,1.0,ok,51.92866253294051
15,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,33.0,auto,6.0,23.0,None,None,None,None,0.9821109123434705,ok,52.61157679813914
16,0,1,0,0,0,0,nnClassifier,logistic,None,25.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,1.0,ok,71.61833836114965
17,1,1,0,1,0,1,nnClassifier,relu,None,22.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,1.0,ok,92.5756358220242
18,1,0,1,0,1,0,nnClassifier,logistic,None,9.0,None,None,constant,None,None,None,None,9.0,None,adam,None,1.0,ok,100.94055396900512
19,0,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,15,None,None,None,None,None,None,7,None,distance,0.9865831842576028,ok,101.05314935208298
20,1,0,0,1,0,1,nnClassifier,identity,None,21.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,101.2403347780928
21,1,0,1,1,0,1,nnClassifier,logistic,None,19.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,1.0,ok,106.72073959815316
22,0,0,1,1,0,1,nnClassifier,tanh,None,18.0,None,None,constant,None,None,None,None,8.0,None,adam,None,1.0,ok,111.36080092797056
23,0,0,1,1,0,1,nnClassifier,tanh,None,20.0,None,None,constant,None,None,None,None,6.0,None,adam,None,1.0,ok,116.6781577731017
24,0,0,1,1,0,1,nnClassifier,logistic,None,26.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,1.0,ok,122.65387716796249
25,0,0,1,0,1,0,nnClassifier,tanh,None,17.0,None,None,constant,None,None,None,None,5.0,None,lbfgs,None,1.0,ok,123.18204819294624
26,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,39,None,None,None,None,None,None,10,None,uniform,0.9847942754919499,ok,123.29792656912468
27,1,1,0,0,0,0,nnClassifier,relu,None,24.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,133.3346147290431
28,1,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,5,None,None,None,None,None,None,2,None,uniform,0.9865831842576028,ok,133.44120385800488
29,0,1,0,0,1,0,nnClassifier,logistic,None,28.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,1.0,ok,147.35205360595137
30,1,1,0,0,0,0,nnClassifier,relu,None,32.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,155.25431815302
31,1,1,0,1,0,1,nnClassifier,tanh,None,31.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,1.0,ok,159.13500429294072
32,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,20.0,37.0,None,None,None,None,0.9794275491949911,ok,159.70222538313828
33,0,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,10,None,uniform,0.9794275491949911,ok,159.92324950895272
34,0,1,0,1,0,1,nnClassifier,logistic,None,28.0,None,None,invscaling,None,None,None,None,1.0,None,adam,None,1.0,ok,168.11770456796512
35,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,3.0,log2,3.0,40.0,None,None,None,None,0.9785330948121646,ok,168.71196528803557
36,1,0,1,1,0,1,nnClassifier,relu,None,23.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,1.0,ok,171.11770439101383
37,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,68.0,sqrt,20.0,30.0,None,None,None,None,0.9794275491949911,ok,171.75127803208306
38,0,0,1,0,1,0,nnClassifier,tanh,None,17.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,1.0,ok,172.25611291103996
39,0,0,1,0,1,1,nnClassifier,tanh,None,20.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,172.80550176207907
40,0,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,26.0,sqrt,3.0,32.0,None,None,None,None,0.983005366726297,ok,173.42191645898856
41,1,1,0,1,0,0,kneighborsClassifier,None,auto,None,None,4,None,None,None,None,None,None,4,None,distance,0.9821109123434705,ok,173.51138616912067
42,1,1,0,0,0,0,nnClassifier,identity,None,23.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,1.0,ok,173.69464014912955
43,1,0,1,1,1,1,nnClassifier,logistic,None,18.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,1.0,ok,174.14095715014264
44,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,72.0,log2,17.0,4.0,None,None,None,None,0.9785330948121646,ok,174.83696115203202
45,0,1,0,1,0,1,nnClassifier,tanh,None,29.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,1.0,ok,178.58455609111115
46,0,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,32,None,None,None,None,None,None,8,None,uniform,0.981216457960644,ok,178.68042914010584
47,0,0,1,0,1,0,nnClassifier,tanh,None,16.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,179.19012399204075
48,1,0,1,1,0,1,nnClassifier,logistic,None,19.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,1.0,ok,184.93268141406588
49,0,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,17.0,auto,7.0,27.0,None,None,None,None,0.9821109123434705,ok,185.56634290213697
50,0,1,0,1,0,1,nnClassifier,logistic,None,26.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,1.0,ok,193.35412531206384
51,0,0,1,0,1,0,kneighborsClassifier,None,auto,None,None,9,None,None,None,None,None,None,1,None,distance,0.9713774597495528,ok,193.43232860905118
52,0,0,1,0,1,0,nnClassifier,tanh,None,12.0,None,None,constant,None,None,None,None,5.0,None,lbfgs,None,1.0,ok,193.97992437612265
53,0,0,1,0,1,0,nnClassifier,tanh,None,12.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,1.0,ok,194.49326589214616
54,1,0,0,0,1,0,nnClassifier,identity,None,21.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,1.0,ok,194.67629674915224
55,1,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,49.0,auto,17.0,10.0,None,None,None,None,0.9767441860465116,ok,195.44329790305346
56,1,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,33,None,None,None,None,None,None,9,None,distance,0.9758497316636852,ok,195.51214454998262
57,1,0,0,1,0,1,nnClassifier,identity,None,22.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,1.0,ok,197.8840243080631
