,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,nnRegressor,identity,None,16,None,None,constant,None,None,None,None,5,None,sgd,None,0.2561036409981443,ok,1.4841963239014149
1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,kneighborsRegressor,None,kd_tree,None,None,12.0,None,None,None,None,None,None,4.0,None,uniform,-0.06567816585443365,ok,1.6093988558277488
2,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,kneighborsRegressor,None,kd_tree,None,None,33.0,None,None,None,None,None,None,1.0,None,uniform,-0.3351583459910099,ok,1.6937620409298688
3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,nnRegressor,relu,None,30,None,None,constant,None,None,None,None,7,None,sgd,None,0.23762510518187674,ok,3.131401227787137
4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,kneighborsRegressor,None,ball_tree,None,None,13.0,None,None,None,None,None,None,9.0,None,distance,-0.08057107561817811,ok,3.212749124970287
5,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,kneighborsRegressor,None,brute,None,None,35.0,None,None,None,None,None,None,3.0,None,uniform,0.07012049746421622,ok,3.3045615828596056
6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,nnRegressor,identity,None,16,None,None,constant,None,None,None,None,9,None,sgd,None,0.05941427380263509,ok,4.834713469957933
7,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,nnRegressor,identity,None,27,None,None,adaptive,None,None,None,None,2,None,sgd,None,0.023419355362153005,ok,9.313489459920675
8,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,kneighborsRegressor,None,kd_tree,None,None,16.0,None,None,None,None,None,None,4.0,None,uniform,-0.09807065774517709,ok,9.382692062994465
9,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,nnRegressor,logistic,None,22,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.3606283681521403,ok,10.260003867791966
10,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,kneighborsRegressor,None,auto,None,None,31.0,None,None,None,None,None,None,9.0,None,uniform,0.141718795253426,ok,10.3485548698809
11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,randomForestRegressor,None,None,None,mae,None,None,53.0,auto,3.0,9.0,None,None,None,None,0.10080168822621138,ok,189.54489032388665
12,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,nnRegressor,logistic,None,23,None,None,adaptive,None,None,None,None,7,None,sgd,None,0.038353280336783424,ok,196.14721975079738
13,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,kneighborsRegressor,None,ball_tree,None,None,9.0,None,None,None,None,None,None,4.0,None,distance,0.34340553223544856,ok,196.30974041484296
14,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,kneighborsRegressor,None,brute,None,None,30.0,None,None,None,None,None,None,3.0,None,uniform,0.12052516747515751,ok,196.47597644478083
15,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,24.0,log2,6.0,33.0,None,None,None,None,0.4243961156206265,ok,262.05323455599137
16,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,randomForestRegressor,None,None,None,mae,None,None,39.0,log2,4.0,4.0,None,None,None,None,0.04369483316118494,ok,322.9520332419779
17,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,nnRegressor,identity,None,27,None,None,adaptive,None,None,None,None,7,None,sgd,None,0.09826284797028118,ok,327.6315552878659
18,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,randomForestRegressor,None,None,None,mse,None,None,87.0,auto,4.0,6.0,None,None,None,None,0.14564841482073476,ok,336.0202682388481
19,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,randomForestRegressor,None,None,None,mse,None,None,59.0,log2,9.0,2.0,None,None,None,None,0.45724100700083103,ok,338.0944770188071
20,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,randomForestRegressor,None,None,None,mse,None,None,3.0,log2,13.0,40.0,None,None,None,None,0.2823532861728826,ok,338.9054556938354
21,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,randomForestRegressor,None,None,None,poisson,None,None,41.0,sqrt,9.0,32.0,None,None,None,None,0.07342380109431845,ok,346.39256584388204
