,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,nnRegressor,relu,None,13,None,None,constant,None,None,None,None,5,None,adam,None,-0.06899895697663605,ok,4.4590633269399405
1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,31,None,None,invscaling,None,None,None,None,5,None,adam,None,0.09108302684821368,ok,5.675119362073019
2,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,nnRegressor,tanh,None,17,None,None,invscaling,None,None,None,None,2,None,adam,None,0.5174287288278991,ok,8.805266852956265
3,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,kneighborsRegressor,None,ball_tree,None,None,30.0,None,None,None,None,None,None,7.0,None,distance,-0.035938142397210715,ok,8.901411185972393
4,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,nnRegressor,tanh,None,14,None,None,adaptive,None,None,None,None,1,None,lbfgs,None,-0.21593746888920617,ok,13.909564673900604
5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,nnRegressor,identity,None,23,None,None,constant,None,None,None,None,7,None,adam,None,0.3340465587678817,ok,16.611298938980326
6,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,randomForestRegressor,None,None,None,poisson,None,None,25.0,auto,3.0,32.0,None,None,None,None,0.01845804115806593,ok,42.33145252196118
7,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,kneighborsRegressor,None,ball_tree,None,None,20.0,None,None,None,None,None,None,10.0,None,uniform,0.17297145447952322,ok,42.45706084300764
8,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,randomForestRegressor,None,None,None,mse,None,None,76.0,log2,12.0,13.0,None,None,None,None,0.2095439859144611,ok,44.25628707092255
9,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,2.0,log2,7.0,39.0,None,None,None,None,0.21199620241087835,ok,44.83122092997655
