,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,nnRegressor,logistic,None,15,None,None,invscaling,None,None,None,None,5,None,adam,None,0.2172143594012792,ok,2.2297034699004143
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,randomForestRegressor,None,None,None,mse,None,None,15.0,sqrt,18.0,17.0,None,None,None,None,0.01927219973826555,ok,3.5525241289287806
2,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,77.0,sqrt,16.0,4.0,None,None,None,None,0.10384310313476075,ok,11.607288019964471
3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,randomForestRegressor,None,None,None,mae,None,None,3.0,auto,7.0,25.0,None,None,None,None,0.25133565160738114,ok,153.07533730892465
4,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,kneighborsRegressor,None,ball_tree,None,None,19.0,None,None,None,None,None,None,8.0,None,distance,0.3934342415058004,ok,153.23450769484043
5,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,nnRegressor,identity,None,18,None,None,invscaling,None,None,None,None,2,None,sgd,None,0.14055054527538713,ok,154.63810297078453
6,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,nnRegressor,relu,None,17,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,-0.006984803635783798,ok,155.65001488593407
7,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,randomForestRegressor,None,None,None,poisson,None,None,38.0,auto,13.0,24.0,None,None,None,None,0.21415235152509682,ok,180.85995574994013
8,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,kneighborsRegressor,None,ball_tree,None,None,20.0,None,None,None,None,None,None,8.0,None,distance,0.2919183751735136,ok,180.96059897379018
9,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,nnRegressor,identity,None,9,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.23927381909831436,ok,181.0592865999788
10,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,kneighborsRegressor,None,auto,None,None,5.0,None,None,None,None,None,None,8.0,None,distance,0.024174213219042673,ok,181.17863446683623
11,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,nnRegressor,logistic,None,22,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.3736549467696171,ok,181.68554190383293
12,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,83.0,auto,7.0,34.0,None,None,None,None,0.2069214153040584,ok,225.62289982195944
13,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,kneighborsRegressor,None,kd_tree,None,None,32.0,None,None,None,None,None,None,9.0,None,distance,0.0006689206945615922,ok,225.73474641796201
