,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
81,1,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,19,None,None,None,None,None,None,1,None,distance,0.8934081346423562,ok,133.47296259715222
82,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,14.0,auto,5.0,23.0,None,None,None,None,0.938288920056101,ok,133.99273260915652
83,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,50.0,log2,9.0,24.0,None,None,None,None,0.7798036465638148,ok,134.62355241714977
84,1,0,0,1,0,nnClassifier,logistic,None,8.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.5007012622720898,ok,157.96903121308424
85,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,61.0,log2,7.0,20.0,None,None,None,None,0.9438990182328191,ok,158.49472502502613
86,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,73.0,log2,5.0,4.0,None,None,None,None,0.9368863955119214,ok,159.06154859112576
87,0,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,24,None,None,None,None,None,None,9,None,uniform,0.7601683029453016,ok,159.12033109902404
88,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,23.0,sqrt,14.0,29.0,None,None,None,None,0.9424964936886395,ok,159.8321161661297
89,1,0,0,1,0,nnClassifier,tanh,None,12.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,0.4992987377279102,ok,184.47948073106818
90,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,36.0,log2,9.0,40.0,None,None,None,None,0.9354838709677419,ok,185.00267613795586
91,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,55.0,auto,19.0,8.0,None,None,None,None,0.7896213183730715,ok,185.48464412312023
92,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,6,None,distance,0.9312762973352033,ok,185.5402559300419
93,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,95.0,auto,10.0,22.0,None,None,None,None,0.9438990182328191,ok,186.07916758814827
94,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,11.0,auto,7.0,17.0,None,None,None,None,0.9438990182328191,ok,186.64499700115994
95,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,9.0,sqrt,4.0,34.0,None,None,None,None,0.9368863955119214,ok,187.16849592211656
96,0,0,1,1,1,nnClassifier,tanh,None,23.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.4838709677419355,ok,204.6077945230063
97,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,78.0,auto,17.0,6.0,None,None,None,None,0.94109396914446,ok,205.1424073500093
98,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,34,None,None,None,None,None,None,2,None,uniform,0.8877980364656382,ok,205.20256995293312
99,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,85.0,auto,12.0,39.0,None,None,None,None,0.9354838709677419,ok,205.7182741081342
