,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,36,None,None,None,None,None,None,4,None,uniform,0.9186535764375876,ok,0.06829351908527315
1,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,33,None,None,None,None,None,None,4,None,uniform,0.6563814866760168,ok,0.17498075705952942
2,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,6,None,uniform,0.9453015427769986,ok,0.2279561529867351
3,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,34,None,None,None,None,None,None,7,None,uniform,0.9368863955119214,ok,0.26915362500585616
4,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,16,None,None,None,None,None,None,8,None,distance,0.7643758765778401,ok,0.3702701199799776
5,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,40.0,log2,4.0,16.0,None,None,None,None,0.9453015427769986,ok,0.8745043938979506
6,0,1,1,1,1,nnClassifier,identity,None,22.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.4684431977559607,ok,1.001079634996131
7,0,1,0,1,0,nnClassifier,identity,None,24.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.48807854137447404,ok,3.338480887003243
8,1,1,0,0,0,kneighborsClassifier,None,brute,None,None,18,None,None,None,None,None,None,2,None,uniform,0.8779803646563815,ok,3.41481041489169
9,0,1,0,0,1,nnClassifier,logistic,None,17.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,0.5035063113604488,ok,12.03664034907706
10,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,75.0,sqrt,5.0,15.0,None,None,None,None,0.9396914446002805,ok,12.58702752692625
11,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,9.0,sqrt,17.0,8.0,None,None,None,None,0.7699859747545582,ok,12.978451397968456
12,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,19,None,None,None,None,None,None,1,None,distance,0.541374474053296,ok,13.031808356987312
13,0,1,0,1,0,nnClassifier,identity,None,22.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.4950911640953717,ok,13.125496553024277
14,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,17.0,sqrt,12.0,36.0,None,None,None,None,0.6157082748948106,ok,13.624423858942464
15,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,69.0,log2,12.0,22.0,None,None,None,None,0.9424964936886395,ok,14.11455338797532
16,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,66.0,log2,4.0,23.0,None,None,None,None,0.5049088359046283,ok,14.579895258881152
17,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,34,None,None,None,None,None,None,2,None,distance,0.8962131837307152,ok,14.605429694056511
18,1,1,0,1,0,nnClassifier,logistic,None,15.0,None,None,invscaling,None,None,None,None,1.0,None,lbfgs,None,0.49228611500701264,ok,18.038216434884816
19,1,1,1,0,0,kneighborsClassifier,None,auto,None,None,13,None,None,None,None,None,None,3,None,distance,0.9200561009817672,ok,18.065831264015287
20,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,37.0,auto,2.0,39.0,None,None,None,None,0.9453015427769986,ok,18.726095354883
21,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,37.0,auto,8.0,40.0,None,None,None,None,0.9396914446002805,ok,19.469261199003085
22,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,88.0,auto,18.0,32.0,None,None,None,None,0.94109396914446,ok,20.096780132036656
23,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,97.0,auto,8.0,30.0,None,None,None,None,0.9424964936886395,ok,20.616323658032343
24,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,9,None,uniform,0.9481065918653576,ok,20.68848212901503
25,1,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,9,None,uniform,0.9424964936886395,ok,20.753783599939197
26,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,6,None,uniform,0.9453015427769986,ok,20.819269157014787
27,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,10,None,uniform,0.9467040673211781,ok,20.891594134969637
28,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,9,None,None,None,None,None,None,10,None,uniform,0.9467040673211781,ok,20.96019506896846
29,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,10,None,uniform,0.9467040673211781,ok,21.028155122883618
30,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,9,None,uniform,0.9481065918653576,ok,21.095942149870098
31,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,26,None,None,None,None,None,None,8,None,uniform,0.9438990182328191,ok,21.154652236029506
32,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,7,None,None,None,None,None,None,8,None,uniform,0.9438990182328191,ok,21.21436309395358
33,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,9,None,uniform,0.9481065918653576,ok,21.27418847102672
34,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,9,None,uniform,0.9481065918653576,ok,21.33337242808193
35,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,26,None,None,None,None,None,None,7,None,uniform,0.9481065918653576,ok,21.39237407897599
36,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,29,None,None,None,None,None,None,7,None,distance,0.9438990182328191,ok,21.435306620085612
37,1,0,1,1,1,nnClassifier,tanh,None,8.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.4950911640953717,ok,40.67846143897623
38,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,5,None,uniform,0.9396914446002805,ok,40.7382460529916
