feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,69,sqrt,4,13,None,None,None,None,0.945301542776999,ok,155.21402172395
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,88,sqrt,3,4,None,None,None,None,0.946704067321178,ok,155.799126764061
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,92,sqrt,3,3,None,None,None,None,0.946704067321178,ok,156.384447521996
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,92,sqrt,3,3,None,None,None,None,0.946704067321178,ok,156.970909496071
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,90,sqrt,3,3,None,None,None,None,0.946704067321178,ok,157.560707772151
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,85,log2,3,4,None,None,None,None,0.946704067321178,ok,158.148630479118
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,95,log2,2,2,None,None,None,None,0.948106591865358,ok,158.758482753066
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,94,log2,2,38,None,None,None,None,0.943899018232819,ok,159.326344812987
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,81,log2,6,8,None,None,None,None,0.94109396914446,ok,159.909380607074
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,85,log2,4,2,None,None,None,None,0.943899018232819,ok,160.514288058039
1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,96,log2,2,5,None,None,None,None,0.946704067321178,ok,161.091008895077
0,0,0,1,1,nnClassifier,identity,None,17,None,None,constant,None,None,None,None,2,None,adam,None,0.507713884992987,ok,163.754655851051
1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,97,log2,2,5,None,None,None,None,0.94109396914446,ok,164.304229613161
1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,79,log2,17,8,None,None,None,None,0.938288920056101,ok,164.972281162161
1,0,0,0,1,kneighborsClassifier,None,auto,None,None,23,None,None,None,None,None,None,4,None,uniform,0.927068723702665,ok,165.029237851966
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,92,auto,4,2,None,None,None,None,0.943899018232819,ok,165.609225511085
0,0,0,1,1,nnClassifier,relu,None,24,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.479663394109397,ok,178.565036538057
1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,88,log2,6,4,None,None,None,None,0.938288920056101,ok,179.168777122162
1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,65,log2,4,8,None,None,None,None,0.938288920056101,ok,179.773892431054
1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,31,None,None,None,None,None,None,9,None,uniform,0.938288920056101,ok,179.901258455124
0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,85,log2,7,11,None,None,None,None,0.877980364656382,ok,180.434904981172
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99,auto,3,36,None,None,None,None,0.94249649368864,ok,180.987336370163
1,1,0,1,0,nnClassifier,tanh,None,32,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.489481065918654,ok,192.975577708101
1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,78,sqrt,9,24,None,None,None,None,0.934081346423562,ok,193.548061275156
1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,96,log2,2,5,None,None,None,None,0.946704067321178,ok,194.105013071094
0,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,13,None,None,None,None,None,None,6,None,distance,0.85133239831697,ok,194.153597148135
1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,99,log2,5,30,None,None,None,None,0.936886395511921,ok,194.70952020702
1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,69,sqrt,7,3,None,None,None,None,0.935483870967742,ok,195.29568658513
1,0,0,1,1,nnClassifier,identity,None,10,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.483870967741936,ok,195.415238239104
0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,86,log2,5,15,None,None,None,None,0.873772791023843,ok,195.953405643115
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,83,log2,13,10,None,None,None,None,0.93969144460028,ok,196.493802141165
1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,21,None,None,None,None,None,None,8,None,uniform,0.938288920056101,ok,196.554989793105
1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,72,log2,8,7,None,None,None,None,0.935483870967742,ok,197.137214546092
1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,83,log2,13,10,None,None,None,None,0.93969144460028,ok,198.137214546092
