,feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,1,0,kneighborsClassifier,None,kd_tree,None,None,22,None,None,None,None,None,None,4,None,distance,0.5773584905660377,ok,0.09019742300733924
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
3,0,1,kneighborsClassifier,None,ball_tree,None,None,21,None,None,None,None,None,None,2,None,uniform,0.6660377358490566,ok,0.1632915697991848
4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
5,1,1,randomForestClassifier,None,None,None,entropy,None,None,74,auto,4,39,None,None,None,None,0.9037735849056604,ok,1.477888342924416
6,0,1,nnClassifier,relu,None,12,None,None,constant,None,None,None,None,7,None,lbfgs,None,0.530188679245283,ok,3.9165706927888095
7,0,1,nnClassifier,identity,None,9,None,None,invscaling,None,None,None,None,8,None,lbfgs,None,0.539622641509434,ok,3.9808638468384743
8,1,1,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,2,None,uniform,0.879245283018868,ok,4.014787911903113
9,0,1,nnClassifier,relu,None,15,None,None,constant,None,None,None,None,5,None,sgd,None,0.5150943396226415,ok,12.536740131909028
10,1,1,kneighborsClassifier,None,kd_tree,None,None,5,None,None,None,None,None,None,3,None,distance,0.8754716981132076,ok,12.557208446785808
11,1,0,randomForestClassifier,None,None,None,entropy,None,None,44,log2,13,31,None,None,None,None,0.5943396226415094,ok,13.30277714994736
12,1,0,nnClassifier,relu,None,29,None,None,constant,None,None,None,None,1,None,adam,None,0.539622641509434,ok,16.006813472835347
13,1,1,randomForestClassifier,None,None,None,gini,None,None,95,auto,9,35,None,None,None,None,0.9018867924528302,ok,16.55067079886794
14,1,1,randomForestClassifier,None,None,None,gini,None,None,8,sqrt,7,8,None,None,None,None,0.9056603773584906,ok,17.066459483932704
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
16,0,1,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,4,None,uniform,0.6698113207547169,ok,17.113034466980025
17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
19,1,0,randomForestClassifier,None,None,None,gini,None,None,86,sqrt,10,30,None,None,None,None,0.5962264150943396,ok,17.84686010493897
