,feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,randomForestClassifier,None,None,None,entropy,None,None,58,auto,6,39,None,None,None,None,0.6792452830188679,ok,0.6529951880220324
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
2,1,0,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.5377358490566038,ok,5.524769607000053
3,0,1,kneighborsClassifier,None,kd_tree,None,None,32.0,None,None,None,None,None,None,4.0,None,uniform,0.6471698113207547,ok,5.554259268101305
4,0,1,randomForestClassifier,None,None,None,gini,None,None,40,log2,3,16,None,None,None,None,0.6754716981132075,ok,6.106301237130538
5,1,0,kneighborsClassifier,None,brute,None,None,35.0,None,None,None,None,None,None,6.0,None,uniform,0.560377358490566,ok,6.1822527619078755
6,0,1,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,5.0,None,uniform,0.6584905660377358,ok,6.212045927066356
7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
8,1,0,randomForestClassifier,None,None,None,gini,None,None,7,log2,7,27,None,None,None,None,0.5924528301886792,ok,6.70691327098757
9,1,0,kneighborsClassifier,None,brute,None,None,19.0,None,None,None,None,None,None,10.0,None,distance,0.5584905660377358,ok,6.768659021006897
10,1,0,randomForestClassifier,None,None,None,gini,None,None,82,log2,14,28,None,None,None,None,0.6,ok,7.36682140105404
11,1,0,randomForestClassifier,None,None,None,gini,None,None,44,log2,5,39,None,None,None,None,0.590566037735849,ok,7.99918613396585
12,1,1,randomForestClassifier,None,None,None,gini,None,None,68,sqrt,16,9,None,None,None,None,0.8867924528301887,ok,8.507622174918652
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
14,0,1,nnClassifier,identity,None,31.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.5452830188679245,ok,8.584528103005141
15,1,0,randomForestClassifier,None,None,None,entropy,None,None,47,auto,9,15,None,None,None,None,0.5811320754716981,ok,9.38236254407093
16,1,0,randomForestClassifier,None,None,None,entropy,None,None,30,log2,3,16,None,None,None,None,0.5584905660377358,ok,10.295954728964716
17,1,1,nnClassifier,identity,None,25.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.5037735849056604,ok,12.64353978796862
18,1,0,kneighborsClassifier,None,auto,None,None,30.0,None,None,None,None,None,None,2.0,None,uniform,0.5471698113207547,ok,12.673042189097032
19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
20,0,1,randomForestClassifier,None,None,None,entropy,None,None,78,auto,14,2,None,None,None,None,0.6792452830188679,ok,13.279565772973001
21,0,1,randomForestClassifier,None,None,None,entropy,None,None,68,sqrt,20,5,None,None,None,None,0.690566037735849,ok,13.84395514195785
22,0,1,randomForestClassifier,None,None,None,entropy,None,None,67,sqrt,19,3,None,None,None,None,0.6867924528301886,ok,14.414075914071873
23,1,1,randomForestClassifier,None,None,None,gini,None,None,94,sqrt,16,8,None,None,None,None,0.8867924528301887,ok,14.937389308121055
24,1,1,randomForestClassifier,None,None,None,gini,None,None,100,sqrt,15,10,None,None,None,None,0.8811320754716981,ok,15.46169256302528
25,1,1,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,16,9,None,None,None,None,0.8867924528301887,ok,15.984210642054677
26,1,1,randomForestClassifier,None,None,None,gini,None,None,90,sqrt,11,9,None,None,None,None,0.8867924528301887,ok,16.61499580508098
27,1,1,nnClassifier,tanh,None,8.0,None,None,adaptive,None,None,None,None,1.0,None,lbfgs,None,0.530188679245283,ok,19.590771443909034
28,1,1,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,17,23,None,None,None,None,0.8849056603773585,ok,20.111792341107503
29,1,1,randomForestClassifier,None,None,None,gini,None,None,86,sqrt,11,11,None,None,None,None,0.8867924528301887,ok,20.643868820974603
30,1,1,randomForestClassifier,None,None,None,gini,None,None,87,sqrt,11,13,None,None,None,None,0.8867924528301887,ok,21.177565681980923
31,1,1,nnClassifier,relu,None,12.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.5245283018867924,ok,39.14006286091171
32,1,1,randomForestClassifier,None,None,None,gini,None,None,81,sqrt,11,19,None,None,None,None,0.8867924528301887,ok,39.6743574780412
33,1,1,nnClassifier,logistic,None,16.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.5226415094339623,ok,55.402383130043745
34,1,1,randomForestClassifier,None,None,None,gini,None,None,25,sqrt,9,13,None,None,None,None,0.8849056603773585,ok,55.94062174297869
35,1,1,randomForestClassifier,None,None,None,gini,None,None,75,auto,12,20,None,None,None,None,0.8849056603773585,ok,56.474448919063434
