,feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
2,1,0,randomForestClassifier,None,None,None,gini,None,None,72,sqrt,3,4,None,None,None,None,0.6,ok,0.7566261799074709
3,0,1,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,0.539622641509434,ok,0.8374802500475198
4,1,0,nnClassifier,tanh,None,9,None,None,adaptive,None,None,None,None,5,None,adam,None,0.5509433962264151,ok,5.162433466874063
5,1,1,randomForestClassifier,None,None,None,gini,None,None,52,sqrt,3,15,None,None,None,None,0.8981132075471698,ok,5.703624294837937
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
7,0,1,nnClassifier,relu,None,12,None,None,constant,None,None,None,None,2,None,sgd,None,0.5471698113207547,ok,22.31213906290941
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
9,1,1,randomForestClassifier,None,None,None,entropy,None,None,26,sqrt,9,40,None,None,None,None,0.8943396226415095,ok,22.94934921595268
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,0,nnClassifier,relu,None,16,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.5528301886792453,ok,24.448419632855803
12,0,1,nnClassifier,logistic,None,20,None,None,constant,None,None,None,None,5,None,sgd,None,0.5471698113207547,ok,25.43267935188487
13,1,1,kneighborsClassifier,None,kd_tree,None,None,39,None,None,None,None,None,None,2,None,distance,0.8773584905660378,ok,25.45135105587542
14,1,0,nnClassifier,logistic,None,10,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,0.5490566037735849,ok,26.23518952098675
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
