activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,30,entropy,0,1,0,0,0,29,adaptive,90,auto,15,11,kneighborsClassifier,6,5,lbfgs,uniform,0.511921458625526
relu,brute,29,entropy,0,0,0,1,1,25,adaptive,56,auto,5,25,nnClassifier,6,3,adam,uniform,0.514726507713885
identity,brute,24,gini,0,0,1,1,1,30,constant,88,sqrt,18,32,nnClassifier,5,6,adam,distance,0.48667601683029454
relu,brute,11,entropy,0,1,1,0,1,10,invscaling,70,auto,17,38,kneighborsClassifier,1,4,sgd,uniform,0.6241234221598878
identity,kd_tree,28,entropy,0,0,0,0,1,31,invscaling,46,auto,14,24,nnClassifier,6,10,sgd,uniform,0.5007012622720898
tanh,ball_tree,26,gini,0,0,0,0,0,30,adaptive,56,auto,20,7,randomForestClassifier,4,2,lbfgs,distance,0.0
tanh,auto,12,entropy,1,0,1,1,0,15,adaptive,52,sqrt,14,40,nnClassifier,9,3,lbfgs,distance,0.48807854137447404
identity,auto,24,gini,0,1,0,0,0,8,adaptive,87,auto,4,22,kneighborsClassifier,10,8,adam,uniform,0.514726507713885
logistic,auto,13,entropy,1,0,0,1,1,11,constant,88,log2,9,13,randomForestClassifier,1,2,adam,uniform,0.9438990182328191
logistic,auto,18,entropy,1,1,1,1,1,37,adaptive,88,sqrt,10,23,randomForestClassifier,1,1,lbfgs,uniform,0.9467040673211781
identity,auto,17,entropy,0,1,1,1,0,19,adaptive,1,auto,13,39,kneighborsClassifier,9,10,lbfgs,distance,0.7531556802244039
tanh,kd_tree,9,gini,1,1,0,1,1,36,adaptive,17,auto,4,11,kneighborsClassifier,4,10,adam,uniform,0.9453015427769986
tanh,auto,25,gini,0,1,1,0,1,19,constant,58,auto,5,16,randomForestClassifier,7,10,adam,distance,0.6886395511921458
logistic,brute,14,gini,0,1,0,0,0,36,invscaling,46,sqrt,6,21,kneighborsClassifier,5,7,lbfgs,distance,0.5063113604488079
identity,ball_tree,12,gini,0,1,1,1,1,36,invscaling,61,sqrt,10,30,nnClassifier,3,5,adam,uniform,0.4782608695652174
identity,auto,26,entropy,0,0,0,0,0,24,constant,88,auto,4,28,kneighborsClassifier,3,3,adam,distance,0.0
logistic,auto,31,entropy,1,1,0,1,0,31,invscaling,13,sqrt,20,39,kneighborsClassifier,3,8,sgd,distance,0.9424964936886395
tanh,auto,17,entropy,1,0,0,0,0,23,adaptive,33,sqrt,15,26,kneighborsClassifier,10,3,adam,uniform,0.9256661991584852
identity,brute,9,entropy,1,0,0,0,1,13,adaptive,69,auto,15,12,kneighborsClassifier,5,9,sgd,distance,0.9130434782608695
identity,brute,12,entropy,0,0,1,0,0,39,invscaling,84,sqrt,17,34,randomForestClassifier,7,3,adam,uniform,0.576437587657784
logistic,auto,18,entropy,1,1,1,1,1,37,adaptive,88,sqrt,10,23,randomForestClassifier,1,1,lbfgs,uniform,0.9467040673211781
tanh,kd_tree,9,gini,1,1,0,1,1,36,adaptive,17,auto,4,11,kneighborsClassifier,4,10,adam,uniform,0.9453015427769986
logistic,auto,13,entropy,1,0,0,1,1,11,constant,88,log2,9,13,randomForestClassifier,1,2,adam,uniform,0.9438990182328191
logistic,auto,31,entropy,1,1,0,1,0,31,invscaling,13,sqrt,20,39,kneighborsClassifier,3,8,sgd,distance,0.9424964936886395
tanh,auto,17,entropy,1,0,0,0,0,23,adaptive,33,sqrt,15,26,kneighborsClassifier,10,3,adam,uniform,0.9256661991584852
identity,brute,9,entropy,1,0,0,0,1,13,adaptive,69,auto,15,12,kneighborsClassifier,5,9,sgd,distance,0.9130434782608695
