activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,29,gini,0,1,0,0,0,17,constant,20,log2,14,9,kneighborsClassifier,9,2,sgd,uniform,0.5021037868162693
tanh,brute,9,entropy,1,0,1,1,0,28,constant,90,auto,4,11,randomForestClassifier,2,3,sgd,distance,0.9242636746143057
tanh,kd_tree,20,gini,0,0,0,0,1,26,constant,21,sqrt,15,2,kneighborsClassifier,2,1,sgd,uniform,0.5960729312762973
relu,ball_tree,19,gini,1,1,1,0,0,15,constant,44,auto,13,3,randomForestClassifier,1,6,sgd,distance,0.9116409537166901
identity,ball_tree,31,entropy,0,1,1,1,1,37,adaptive,95,sqrt,20,31,kneighborsClassifier,3,3,sgd,uniform,0.7433380084151473
tanh,ball_tree,23,gini,1,0,0,0,0,16,constant,44,auto,2,7,randomForestClassifier,9,7,sgd,uniform,0.9102384291725105
logistic,brute,28,gini,0,0,0,1,0,12,invscaling,93,sqrt,7,37,nnClassifier,10,1,sgd,distance,0.520336605890603
identity,kd_tree,23,entropy,0,0,0,0,0,34,adaptive,90,sqrt,18,34,kneighborsClassifier,5,4,sgd,distance,0.0
identity,brute,15,gini,1,0,1,1,1,34,invscaling,75,sqrt,13,26,kneighborsClassifier,8,6,sgd,uniform,0.9270687237026648
tanh,brute,18,gini,0,1,0,1,0,36,adaptive,57,sqrt,3,2,nnClassifier,5,2,sgd,uniform,0.4670406732117812
identity,ball_tree,12,entropy,0,0,0,0,1,2,constant,70,auto,7,31,nnClassifier,5,5,sgd,uniform,0.5259467040673211
relu,kd_tree,12,gini,1,1,0,1,0,8,adaptive,32,log2,4,37,randomForestClassifier,2,7,sgd,uniform,0.9214586255259467
relu,ball_tree,31,gini,0,0,1,1,1,9,adaptive,30,auto,15,5,nnClassifier,2,9,sgd,distance,0.5035063113604488
relu,ball_tree,32,entropy,0,0,1,0,0,19,constant,20,log2,9,11,randomForestClassifier,7,6,lbfgs,uniform,0.5750350631136045
relu,kd_tree,29,gini,1,1,0,1,0,24,constant,73,log2,9,8,nnClassifier,6,2,sgd,distance,0.5035063113604488
tanh,brute,29,gini,0,0,0,1,0,16,adaptive,19,sqrt,20,12,nnClassifier,2,10,adam,uniform,0.520336605890603
logistic,ball_tree,26,entropy,0,0,1,0,1,23,constant,61,sqrt,13,10,nnClassifier,4,5,lbfgs,distance,0.520336605890603
tanh,brute,26,entropy,1,0,1,1,0,6,adaptive,27,log2,17,34,kneighborsClassifier,3,1,adam,uniform,0.8962131837307152
identity,auto,10,gini,1,1,1,0,0,17,invscaling,80,auto,10,4,nnClassifier,8,4,adam,distance,0.5007012622720898
identity,ball_tree,9,gini,0,1,1,1,0,18,invscaling,86,sqrt,15,23,kneighborsClassifier,6,2,adam,distance,0.6914446002805049
identity,brute,15,gini,1,0,1,1,1,34,invscaling,75,sqrt,13,26,kneighborsClassifier,8,6,sgd,uniform,0.9270687237026648
tanh,brute,9,entropy,1,0,1,1,0,28,constant,90,auto,4,11,randomForestClassifier,2,3,sgd,distance,0.9242636746143057
relu,kd_tree,12,gini,1,1,0,1,0,8,adaptive,32,log2,4,37,randomForestClassifier,2,7,sgd,uniform,0.9214586255259467
relu,ball_tree,19,gini,1,1,1,0,0,15,constant,44,auto,13,3,randomForestClassifier,1,6,sgd,distance,0.9116409537166901
tanh,ball_tree,23,gini,1,0,0,0,0,16,constant,44,auto,2,7,randomForestClassifier,9,7,sgd,uniform,0.9102384291725105
tanh,brute,26,entropy,1,0,1,1,0,6,adaptive,27,log2,17,34,kneighborsClassifier,3,1,adam,uniform,0.8962131837307152
identity,ball_tree,31,entropy,0,1,1,1,1,37,adaptive,95,sqrt,20,31,kneighborsClassifier,3,3,sgd,uniform,0.7433380084151473
