activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,32,gini,0,0,1,0,1,37,invscaling,15,auto,2,24,randomForestClassifier,2,1,lbfgs,distance,0.6732117812061711
tanh,kd_tree,15,gini,0,0,1,1,1,9,adaptive,32,sqrt,15,14,kneighborsClassifier,8,5,adam,uniform,0.8092566619915849
tanh,kd_tree,25,gini,1,0,0,1,0,9,adaptive,58,sqrt,15,6,randomForestClassifier,5,1,adam,uniform,0.9256661991584852
identity,auto,27,gini,0,0,1,1,0,7,constant,49,auto,3,33,nnClassifier,8,7,sgd,uniform,0.5021037868162693
logistic,auto,30,entropy,0,0,0,0,0,38,adaptive,42,sqrt,15,18,kneighborsClassifier,6,1,adam,uniform,0.0
logistic,kd_tree,15,entropy,0,1,0,1,1,35,constant,91,auto,8,3,randomForestClassifier,2,7,sgd,uniform,0.8681626928471248
relu,brute,9,gini,0,0,1,0,0,40,adaptive,1,auto,16,23,nnClassifier,7,2,lbfgs,uniform,0.4838709677419355
identity,brute,10,gini,0,0,1,0,0,14,adaptive,64,log2,15,30,kneighborsClassifier,2,4,sgd,distance,0.4992987377279102
relu,auto,20,entropy,0,1,0,0,0,31,constant,52,sqrt,3,34,randomForestClassifier,6,1,adam,uniform,0.5105189340813464
identity,brute,20,gini,0,1,1,1,1,8,constant,100,auto,7,11,nnClassifier,2,4,sgd,distance,0.5217391304347826
tanh,auto,18,gini,1,0,1,0,1,24,adaptive,84,auto,15,25,randomForestClassifier,3,1,lbfgs,distance,0.9242636746143057
logistic,ball_tree,14,entropy,0,1,0,0,1,7,adaptive,45,sqrt,5,27,nnClassifier,4,7,adam,uniform,0.5133239831697055
logistic,ball_tree,14,gini,0,0,0,1,0,24,adaptive,41,sqrt,17,30,randomForestClassifier,6,4,adam,distance,0.7952314165497896
relu,auto,23,entropy,0,1,1,0,0,8,constant,99,sqrt,15,39,kneighborsClassifier,2,7,sgd,distance,0.5259467040673211
relu,auto,18,gini,1,1,0,1,0,8,invscaling,89,log2,8,32,randomForestClassifier,2,4,lbfgs,uniform,0.9270687237026648
logistic,brute,14,gini,1,1,0,1,1,31,constant,98,sqrt,15,10,kneighborsClassifier,7,3,adam,uniform,0.9172510518934082
identity,ball_tree,13,gini,0,1,0,1,0,3,constant,81,log2,14,28,kneighborsClassifier,7,8,lbfgs,distance,0.7349228611500701
relu,kd_tree,15,entropy,1,0,1,1,0,33,invscaling,98,sqrt,3,40,randomForestClassifier,4,2,lbfgs,distance,0.9298737727910238
logistic,kd_tree,17,gini,0,0,1,0,0,10,adaptive,11,auto,4,4,randomForestClassifier,9,8,adam,distance,0.6002805049088359
