activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,8,gini,0,1,0,1,0,33,adaptive,99,log2,13,31,kneighborsClassifier,7,2,sgd,uniform,0.6774193548387096
identity,kd_tree,31,gini,1,0,0,0,1,15,adaptive,21,auto,6,40,randomForestClassifier,4,5,sgd,distance,0.9481065918653576
logistic,kd_tree,16,gini,0,0,0,1,1,8,invscaling,59,auto,19,7,nnClassifier,5,7,adam,distance,0.5371669004207573
logistic,kd_tree,28,gini,0,1,1,0,1,26,adaptive,15,sqrt,18,10,nnClassifier,4,2,sgd,uniform,0.5189340813464236
relu,brute,27,entropy,0,1,0,1,1,16,adaptive,91,sqrt,13,6,kneighborsClassifier,5,1,adam,distance,0.782608695652174
logistic,ball_tree,28,gini,0,1,1,0,0,9,invscaling,65,log2,6,37,randomForestClassifier,5,9,adam,distance,0.5890603085553997
relu,kd_tree,11,entropy,1,0,1,1,0,38,invscaling,19,sqrt,19,7,nnClassifier,10,6,sgd,uniform,0.5511921458625526
logistic,auto,13,entropy,1,1,0,0,0,29,invscaling,49,sqrt,17,21,kneighborsClassifier,8,2,lbfgs,uniform,0.8962131837307152
identity,kd_tree,31,gini,0,0,0,1,1,14,adaptive,100,auto,4,29,nnClassifier,5,3,lbfgs,uniform,0.517531556802244
identity,ball_tree,21,gini,0,1,0,1,0,11,invscaling,89,log2,11,14,randomForestClassifier,1,4,lbfgs,uniform,0.7531556802244039
identity,auto,11,entropy,1,1,0,0,1,3,constant,13,log2,18,17,randomForestClassifier,9,8,sgd,distance,0.9481065918653576
logistic,kd_tree,28,gini,0,1,0,1,0,15,invscaling,82,sqrt,17,26,kneighborsClassifier,4,1,lbfgs,uniform,0.6690042075736325
logistic,auto,32,gini,1,0,0,0,0,30,invscaling,13,auto,10,30,nnClassifier,3,1,lbfgs,uniform,0.5497896213183731
relu,ball_tree,21,gini,0,1,1,1,1,12,constant,39,sqrt,2,38,kneighborsClassifier,2,2,sgd,uniform,0.7208976157082749
relu,ball_tree,13,entropy,1,0,0,0,1,21,constant,79,auto,10,20,nnClassifier,9,10,sgd,distance,0.5483870967741935
tanh,brute,26,gini,1,0,1,0,0,10,invscaling,2,sqrt,5,40,nnClassifier,9,5,sgd,distance,0.5568022440392707
logistic,ball_tree,32,entropy,0,1,1,1,1,5,constant,72,auto,8,10,randomForestClassifier,3,9,sgd,uniform,0.8948106591865358
relu,brute,12,gini,1,1,0,1,0,23,constant,11,auto,17,11,kneighborsClassifier,7,1,adam,distance,0.9130434782608695
relu,brute,10,gini,1,1,0,0,1,34,constant,47,log2,20,32,nnClassifier,5,9,sgd,distance,0.5483870967741935
logistic,auto,13,gini,0,1,0,1,1,27,invscaling,15,log2,19,16,randomForestClassifier,8,8,lbfgs,distance,0.8807854137447405
identity,kd_tree,31,gini,1,0,0,0,1,15,adaptive,21,auto,6,40,randomForestClassifier,4,5,sgd,distance,0.9481065918653576
identity,auto,11,entropy,1,1,0,0,1,3,constant,13,log2,18,17,randomForestClassifier,9,8,sgd,distance,0.9481065918653576
relu,brute,12,gini,1,1,0,1,0,23,constant,11,auto,17,11,kneighborsClassifier,7,1,adam,distance,0.9130434782608695
logistic,auto,13,entropy,1,1,0,0,0,29,invscaling,49,sqrt,17,21,kneighborsClassifier,8,2,lbfgs,uniform,0.8962131837307152
logistic,ball_tree,32,entropy,0,1,1,1,1,5,constant,72,auto,8,10,randomForestClassifier,3,9,sgd,uniform,0.8948106591865358
logistic,auto,13,gini,0,1,0,1,1,27,invscaling,15,log2,19,16,randomForestClassifier,8,8,lbfgs,distance,0.8807854137447405
relu,brute,27,entropy,0,1,0,1,1,16,adaptive,91,sqrt,13,6,kneighborsClassifier,5,1,adam,distance,0.782608695652174
