feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,1,nnClassifier,identity,NA,23,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.520336605890603,6.866676092147827
1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9368863955119214,11.706133604049683
0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,distance,0.761570827489481,17.016615629196167
0,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5245441795231417,22.015321731567383
1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9368863955119214,26.225557327270508
1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9354838709677419,31.394081115722656
0,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5301542776998598,36.420618295669556
1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9368863955119214,41.47145318984985
0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,20,3,nan,nan,NA,NA,0.7475455820476858,47.07277727127075
0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.6605890603085554,52.55611324310303
1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9438990182328191,57.4524872303009
1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9396914446002805,61.71996259689331
1,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9453015427769986,66.70283579826355
1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9130434782608695,71.57293581962585
1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9396914446002805,76.39850211143494
1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9438990182328191,81.1285789012909
