feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,1,nnClassifier,identity,NA,12,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5021037868162693,5.404233932495117
0,0,0,0,0,nnClassifier,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.0,9.80415391921997
1,0,1,1,0,nnClassifier,tanh,NA,25,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.5231416549789621,20.861376523971558
1,1,1,0,0,nnClassifier,relu,NA,18,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.5231416549789621,41.72105669975281
1,1,0,0,0,nnClassifier,logistic,NA,26,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.5287517531556802,47.019675493240356
1,0,0,1,0,nnClassifier,logistic,NA,28,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.0,53.41279172897339
1,0,1,0,0,nnClassifier,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,9,nan,adam,NA,0.5217391304347826,76.21272230148315
1,1,1,1,1,nnClassifier,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.5245441795231417,92.34960961341858
1,0,0,0,0,nnClassifier,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.520336605890603,102.05673789978027
1,0,1,0,1,nnClassifier,tanh,NA,32,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.517531556802244,118.24269819259644
1,1,1,0,0,nnClassifier,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.5231416549789621,126.45686841011047
0,1,0,1,1,nnClassifier,relu,NA,9,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.5063113604488079,161.68669438362122
1,1,0,1,0,nnClassifier,relu,NA,26,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.5259467040673211,168.70902347564697
1,1,0,0,0,nnClassifier,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.5091164095371669,186.98348188400269
1,1,1,1,1,nnClassifier,tanh,NA,17,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5315568022440392,195.86261200904846
1,1,1,0,1,nnClassifier,identity,NA,29,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5259467040673211,200.30595064163208
1,1,0,0,0,nnClassifier,logistic,NA,14,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.5245441795231417,208.79059529304504
