feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,sqrt,1,28,nan,nan,NA,NA,0.8779803646563815,442.3373746871948
0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,56,sqrt,13,8,nan,nan,NA,NA,0.7223001402524544,447.5057454109192
0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,auto,1,13,nan,nan,NA,NA,0.884992987377279,452.7515983581543
1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,sqrt,1,36,nan,nan,NA,NA,0.94109396914446,458.10914278030396
1,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9158485273492286,462.57916951179504
0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,sqrt,13,4,nan,nan,NA,NA,0.7026647966339411,467.49557995796204
1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,auto,4,12,nan,nan,NA,NA,0.9396914446002805,472.465083360672
1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,auto,12,11,nan,nan,NA,NA,0.9354838709677419,477.4554147720337
0,1,1,1,1,nnClassifier,logistic,NA,26,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.5231416549789621,496.33132338523865
0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,61,auto,3,39,nan,nan,NA,NA,0.7138849929873773,501.51009726524353
0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,log2,11,35,nan,nan,NA,NA,0.7223001402524544,506.3871223926544
0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,2,16,nan,nan,NA,NA,0.7559607293127629,511.51031517982483
1,0,0,1,1,nnClassifier,relu,NA,32,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.5217391304347826,526.6463770866394
1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,5,12,nan,nan,NA,NA,0.9312762973352033,531.5737299919128
0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,auto,13,18,nan,nan,NA,NA,0.6942496493688639,536.4566435813904
1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,sqrt,16,10,nan,nan,NA,NA,0.9326788218793829,541.1213307380676
