activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,ball_tree,20,gini,1,1,1,1,0,16,adaptive,47,log2,14,6,randomForestClassifier,6,6,sgd,uniform,0.7629733520336606,115.81551484717056
logistic,auto,14,gini,1,0,1,1,1,36,constant,96,auto,11,31,nnClassifier,3,9,sgd,distance,0.49368863955119213,115.81556319701485
identity,ball_tree,26,gini,1,1,1,1,1,9,invscaling,32,sqrt,10,11,randomForestClassifier,5,5,sgd,uniform,0.699859747545582,115.81559821614064
tanh,auto,20,gini,1,1,1,1,1,24,invscaling,81,auto,11,31,randomForestClassifier,9,9,sgd,uniform,0.6872370266479664,115.8156324760057
logistic,ball_tree,15,gini,1,1,1,1,1,35,adaptive,75,log2,8,15,nnClassifier,8,9,adam,distance,0.4838709677419355,115.81566624506377
identity,ball_tree,27,gini,1,0,1,1,1,7,constant,29,auto,8,6,nnClassifier,9,5,sgd,uniform,0.49228611500701264,115.81569980503991
relu,ball_tree,13,gini,1,1,1,1,0,7,constant,72,auto,15,31,nnClassifier,1,8,sgd,uniform,0.485273492286115,115.81573437410407
logistic,ball_tree,16,gini,1,1,1,1,1,7,invscaling,33,sqrt,10,10,randomForestClassifier,1,6,sgd,distance,0.8990182328190743,115.81576829403639
relu,ball_tree,18,gini,1,0,1,1,1,36,invscaling,67,auto,7,22,randomForestClassifier,3,9,adam,uniform,0.9340813464235624,115.81580242305063
relu,ball_tree,12,gini,1,0,1,1,1,14,invscaling,54,auto,13,28,nnClassifier,1,9,sgd,distance,0.5343618513323983,115.8158366130665
relu,auto,13,gini,1,0,1,1,0,35,adaptive,78,log2,8,20,nnClassifier,1,9,sgd,uniform,0,115.8158701020293
tanh,ball_tree,11,gini,1,0,1,1,0,36,constant,9,log2,9,17,randomForestClassifier,6,10,sgd,distance,0.5988779803646563,115.81590218213387
tanh,ball_tree,12,gini,1,1,1,1,1,33,invscaling,75,auto,9,36,randomForestClassifier,1,8,adam,distance,0.8022440392706872,115.81593546108343
tanh,ball_tree,12,gini,1,0,1,1,1,37,invscaling,34,auto,12,31,randomForestClassifier,1,6,sgd,uniform,0.6886395511921458,115.81596862105653
relu,ball_tree,28,gini,1,0,1,1,1,15,constant,31,log2,13,21,nnClassifier,2,10,sgd,uniform,0.48807854137447404,115.81600160012022
logistic,ball_tree,25,gini,1,0,1,1,0,35,adaptive,31,sqrt,13,21,randomForestClassifier,1,5,adam,distance,0.6872370266479664,115.81603486998938
logistic,ball_tree,10,gini,1,0,1,1,0,36,adaptive,34,log2,12,31,randomForestClassifier,1,9,sgd,uniform,0.9368863955119214,115.81606911914423
tanh,ball_tree,24,gini,1,1,1,1,0,36,constant,86,log2,10,30,randomForestClassifier,1,10,sgd,uniform,0.9326788218793829,115.81610236898996
relu,ball_tree,11,gini,1,0,1,1,1,13,invscaling,29,auto,12,33,nnClassifier,1,9,sgd,uniform,0.5343618513323983,115.81614595814608
logistic,auto,23,gini,1,1,1,1,0,33,invscaling,15,log2,12,30,randomForestClassifier,6,7,sgd,distance,0.9144460028050491,115.8161791281309
relu,auto,17,gini,1,1,1,1,1,20,constant,51,auto,10,10,nnClassifier,2,7,adam,distance,0.9368863955119214,418.5459342719987
relu,auto,17,gini,1,1,1,1,1,37,constant,92,auto,12,27,nnClassifier,7,9,adam,distance,0.49228611500701264,418.545986951096
relu,auto,22,gini,1,1,1,1,1,13,constant,36,auto,7,15,nnClassifier,1,7,adam,distance,0.9424964936886395,418.5460214500781
relu,auto,16,gini,1,1,1,1,1,28,constant,77,auto,9,27,nnClassifier,5,9,adam,distance,0.938288920056101,418.5460553599987
relu,auto,13,gini,1,1,1,1,1,34,constant,71,auto,6,19,nnClassifier,4,9,adam,distance,0.48807854137447404,418.5460885090288
relu,auto,23,gini,1,1,1,1,1,11,constant,33,auto,6,10,nnClassifier,5,9,adam,distance,0.49228611500701264,418.5461309091188
relu,auto,17,gini,1,1,1,1,1,11,constant,68,auto,11,27,nnClassifier,4,10,adam,distance,0.4908835904628331,418.5461642681621
relu,auto,17,gini,1,1,1,1,1,11,constant,37,auto,7,14,nnClassifier,1,10,adam,distance,0.9424964936886395,418.54619744815864
relu,auto,18,gini,1,1,1,1,1,36,constant,65,auto,9,24,nnClassifier,2,10,adam,distance,0.9467040673211781,418.5462306870613
relu,auto,16,gini,1,1,1,1,1,18,constant,58,auto,11,24,nnClassifier,2,9,adam,distance,0.4726507713884993,418.5462643071078
relu,auto,17,gini,1,1,1,1,1,37,constant,74,auto,9,24,nnClassifier,1,9,adam,distance,0.4908835904628331,418.5462974461261
relu,auto,15,gini,1,1,1,1,1,36,constant,13,auto,8,21,nnClassifier,2,10,adam,distance,0.9368863955119214,418.54633025615476
relu,auto,16,gini,1,1,1,1,1,37,constant,71,auto,8,32,nnClassifier,2,10,adam,distance,0.938288920056101,418.54636337514967
relu,auto,16,gini,1,1,1,1,1,38,constant,38,auto,8,27,nnClassifier,1,10,adam,distance,0.9396914446002805,418.54639591509476
relu,auto,31,gini,1,1,1,1,1,19,constant,35,auto,12,18,nnClassifier,3,10,adam,distance,0.48667601683029454,418.54642877401784
relu,auto,21,gini,1,1,1,1,1,37,constant,35,auto,9,24,nnClassifier,2,9,adam,distance,0.9354838709677419,418.54646194400266
relu,auto,14,gini,1,1,1,1,1,36,constant,38,auto,11,28,nnClassifier,2,9,adam,distance,0.9368863955119214,418.5464946529828
relu,auto,20,gini,1,1,1,1,1,37,constant,82,auto,7,26,nnClassifier,5,10,adam,distance,0.9368863955119214,418.5465274229646
relu,auto,15,gini,1,1,1,1,1,17,constant,33,auto,8,29,nnClassifier,4,9,adam,distance,0.48106591865357645,418.54656008211896
relu,auto,19,gini,1,1,1,1,1,36,constant,19,auto,8,26,nnClassifier,2,10,adam,distance,0.9368863955119214,418.54659294197336
relu,auto,20,gini,1,1,1,1,1,24,constant,55,auto,10,14,nnClassifier,6,10,adam,distance,0.485273492286115,1193.5559364631772
relu,auto,21,gini,1,1,1,1,1,36,constant,88,auto,8,24,nnClassifier,8,9,adam,distance,0.4894810659186536,1193.5560003919527
relu,auto,20,gini,1,1,1,1,1,17,constant,40,auto,10,19,nnClassifier,5,5,adam,distance,0.485273492286115,1193.5560365510173
relu,auto,15,gini,1,1,1,1,1,31,constant,75,auto,8,23,nnClassifier,1,9,adam,distance,0.485273492286115,1193.5560715009924
relu,auto,17,gini,1,1,1,1,1,36,constant,67,auto,7,15,nnClassifier,6,9,adam,distance,0.48807854137447404,1193.5561058600433
relu,auto,21,gini,1,1,1,1,1,15,constant,37,auto,3,14,nnClassifier,3,5,adam,distance,0.48807854137447404,1193.5561521900818
relu,auto,19,gini,1,1,1,1,1,15,constant,72,auto,7,28,nnClassifier,2,7,adam,distance,0.48807854137447404,1193.5561867491342
relu,auto,16,gini,1,1,1,1,1,15,constant,41,auto,6,18,nnClassifier,3,6,adam,distance,0.485273492286115,1193.5562208590563
relu,auto,18,gini,1,1,1,1,1,36,constant,68,auto,6,23,nnClassifier,4,8,adam,distance,0.48807854137447404,1193.5562546481378
relu,auto,15,gini,1,1,1,1,1,22,constant,62,auto,7,21,nnClassifier,1,9,adam,distance,0.48667601683029454,1193.5562883780804
