activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,24,gini,1,1,1,1,1,10,constant,23,auto,5,15,nnClassifier,5,6,adam,distance,0.5035063113604488,926.5201778060291
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,2,16,nnClassifier,6,6,adam,distance,0.511921458625526,926.5202109960373
relu,auto,18,gini,1,1,1,1,1,13,constant,14,auto,14,17,nnClassifier,8,5,adam,distance,0.5035063113604488,926.5202442449518
relu,auto,21,gini,1,1,1,1,1,8,constant,42,auto,2,27,nnClassifier,6,6,adam,distance,0.5077138849929874,926.5202777949162
relu,auto,23,gini,1,1,1,1,1,25,constant,32,auto,6,26,nnClassifier,7,6,adam,distance,0.5077138849929874,926.5203110338189
relu,auto,19,gini,1,1,1,1,1,10,constant,27,auto,6,22,nnClassifier,5,6,adam,distance,0.511921458625526,926.5203440238256
relu,auto,22,gini,1,1,1,1,1,8,constant,43,auto,2,17,nnClassifier,6,6,adam,distance,0.5049088359046283,926.5203770529479
relu,auto,17,gini,1,1,1,1,1,24,constant,35,auto,7,14,nnClassifier,7,2,adam,distance,0.511921458625526,926.5204100029077
relu,auto,20,gini,1,1,1,1,1,18,constant,49,auto,2,18,nnClassifier,4,7,adam,distance,0.5105189340813464,926.5204431419261
relu,auto,20,gini,1,1,1,1,1,12,constant,59,auto,3,16,nnClassifier,6,7,adam,distance,0.514726507713885,926.52048646193
relu,auto,15,gini,1,1,1,1,1,22,constant,37,auto,9,13,nnClassifier,6,8,adam,distance,0.5091164095371669,926.5205197909381
relu,auto,20,gini,1,1,1,1,1,15,constant,22,auto,2,10,nnClassifier,7,6,adam,distance,0.5105189340813464,926.5205527909566
relu,auto,21,gini,1,1,1,1,1,24,constant,26,auto,12,13,nnClassifier,7,4,adam,distance,0.5105189340813464,926.520585889928
relu,auto,15,gini,1,1,1,1,1,19,constant,47,auto,4,17,nnClassifier,3,4,adam,distance,0.5063113604488079,926.5206186098512
relu,auto,18,gini,1,1,1,1,1,12,constant,20,auto,6,12,nnClassifier,5,5,adam,distance,0.5105189340813464,926.5206517488696
relu,auto,20,gini,1,1,1,1,1,19,constant,66,auto,4,21,nnClassifier,6,7,adam,distance,0.5077138849929874,926.5206845288631
relu,auto,19,gini,1,1,1,1,1,12,constant,78,auto,2,24,nnClassifier,6,7,adam,distance,0.5063113604488079,926.5207172979135
relu,auto,21,gini,1,1,1,1,1,13,constant,44,auto,2,16,nnClassifier,5,8,adam,distance,0.5091164095371669,1634.8386048718821
relu,auto,24,gini,1,1,1,1,1,11,constant,63,auto,2,15,nnClassifier,9,7,adam,distance,0.5091164095371669,1634.8386555709876
relu,auto,21,gini,1,1,1,1,1,12,constant,80,auto,2,22,nnClassifier,6,6,adam,distance,0.514726507713885,1634.8386901610065
relu,auto,20,gini,1,1,1,1,1,10,constant,19,auto,2,19,nnClassifier,4,7,adam,distance,0.514726507713885,1634.8387236099225
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,2,16,nnClassifier,6,6,adam,distance,0.511921458625526,1634.8387686698698
relu,auto,18,gini,1,1,1,1,1,11,constant,18,auto,10,16,nnClassifier,5,7,adam,distance,0.5133239831697055,1634.8388022289146
relu,auto,19,gini,1,1,1,1,1,8,constant,38,auto,2,25,nnClassifier,5,6,adam,distance,0.514726507713885,1634.8388355090283
relu,auto,20,gini,1,1,1,1,1,21,constant,36,auto,4,30,nnClassifier,5,6,adam,distance,0.5077138849929874,1634.8388687579427
relu,auto,23,gini,1,1,1,1,1,10,constant,29,auto,9,18,nnClassifier,8,5,adam,distance,0.5091164095371669,1634.8389017479494
relu,auto,19,gini,1,1,1,1,1,12,constant,39,auto,2,19,nnClassifier,6,4,adam,distance,0.5077138849929874,1634.8389347370248
relu,auto,17,gini,1,1,1,1,1,20,constant,32,auto,11,18,nnClassifier,6,4,adam,distance,0.5035063113604488,1634.8389679968823
relu,auto,21,gini,1,1,1,1,1,16,constant,45,auto,6,14,nnClassifier,3,3,adam,distance,0.5091164095371669,1634.8390010159928
relu,auto,20,gini,1,1,1,1,1,8,constant,55,auto,2,17,nnClassifier,6,4,adam,distance,0.511921458625526,1634.839034065837
relu,auto,19,gini,1,1,1,1,1,18,constant,41,auto,11,15,nnClassifier,4,6,adam,distance,0.5091164095371669,1634.8390671550296
relu,auto,21,gini,1,1,1,1,1,15,constant,22,auto,2,12,nnClassifier,4,6,adam,distance,0.5077138849929874,1634.839100084966
relu,auto,22,gini,1,1,1,1,1,20,constant,27,auto,12,12,nnClassifier,7,7,adam,distance,0.5035063113604488,1634.8391332449391
relu,auto,19,gini,1,1,1,1,1,21,constant,43,auto,2,13,nnClassifier,5,6,adam,distance,0.5105189340813464,1634.839166073827
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,3,14,nnClassifier,6,9,adam,distance,0.5049088359046283,1634.8391988240182
relu,auto,22,gini,1,1,1,1,1,15,constant,62,auto,3,25,nnClassifier,3,8,adam,distance,0.511921458625526,1634.8392316128593
relu,auto,21,gini,1,1,1,1,1,8,constant,74,auto,2,20,nnClassifier,6,6,adam,distance,0.514726507713885,1634.8392642429098
relu,auto,20,gini,1,1,1,1,1,11,constant,40,auto,2,14,nnClassifier,5,10,adam,distance,0.5105189340813464,2300.7408235708717
relu,auto,23,gini,1,1,1,1,1,10,constant,59,auto,4,15,nnClassifier,10,5,adam,distance,0.514726507713885,2300.7408729000017
relu,auto,19,gini,1,1,1,1,1,10,constant,76,auto,3,21,nnClassifier,6,6,adam,distance,0.514726507713885,2300.740907469997
relu,auto,24,gini,1,1,1,1,1,14,constant,15,auto,6,22,nnClassifier,4,6,adam,distance,0.5091164095371669,2300.740940389922
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,2,16,nnClassifier,6,6,adam,distance,0.511921458625526,2300.740973508917
relu,auto,22,gini,1,1,1,1,1,9,constant,15,auto,9,15,nnClassifier,5,8,adam,distance,0.5049088359046283,2300.741006189026
relu,auto,21,gini,1,1,1,1,1,9,constant,42,auto,2,25,nnClassifier,8,6,adam,distance,0.5091164095371669,2300.7410393978935
relu,auto,24,gini,1,1,1,1,1,25,constant,32,auto,2,26,nnClassifier,5,8,adam,distance,0.5077138849929874,2300.741072147852
relu,auto,26,gini,1,1,1,1,1,10,constant,25,auto,13,22,nnClassifier,9,6,adam,distance,0.511921458625526,2300.7411049169023
relu,auto,21,gini,1,1,1,1,1,15,constant,35,auto,2,17,nnClassifier,6,3,adam,distance,0.514726507713885,2300.741137506906
relu,auto,16,gini,1,1,1,1,1,22,constant,31,auto,15,14,nnClassifier,6,7,adam,distance,0.5091164095371669,2300.7411703160033
relu,auto,19,gini,1,1,1,1,1,18,constant,49,auto,8,10,nnClassifier,7,4,adam,distance,0.5105189340813464,2300.741202875972
relu,auto,20,gini,1,1,1,1,1,10,constant,51,auto,5,17,nnClassifier,6,6,adam,distance,0.511921458625526,2300.741235415917
relu,auto,22,gini,1,1,1,1,1,17,constant,37,auto,15,11,nnClassifier,2,6,adam,distance,0.5105189340813464,2300.741267864825
relu,auto,18,gini,1,1,1,1,1,13,constant,26,auto,3,8,nnClassifier,6,6,adam,distance,0.5091164095371669,2300.7413004350383
relu,auto,22,gini,1,1,1,1,1,24,constant,25,auto,9,10,nnClassifier,4,7,adam,distance,0.5105189340813464,2300.741332643898
relu,auto,15,gini,1,1,1,1,1,17,constant,47,auto,6,9,nnClassifier,6,3,adam,distance,0.5091164095371669,2300.741364983842
relu,auto,21,gini,1,1,1,1,1,14,constant,22,auto,7,15,nnClassifier,7,8,adam,distance,0.511921458625526,2300.7413972730283
relu,auto,18,gini,1,1,1,1,1,13,constant,58,auto,7,27,nnClassifier,2,5,adam,distance,0.5133239831697055,2300.7414298430085
relu,auto,18,gini,1,1,1,1,1,12,constant,70,auto,2,16,nnClassifier,6,5,adam,distance,0.514726507713885,2300.741462222999
