activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,28,gini,1,1,1,1,1,16,invscaling,56,sqrt,9,25,randomForestClassifier,6,4,sgd,uniform,0.5890603085553997,188.93155703390948
tanh,auto,24,gini,1,0,1,1,1,35,invscaling,78,sqrt,12,17,nnClassifier,5,9,sgd,distance,0.49368863955119213,188.93160827388056
tanh,ball_tree,29,gini,1,0,0,1,1,13,invscaling,18,sqrt,9,29,nnClassifier,6,9,sgd,uniform,0.5315568022440392,188.93164380290546
identity,ball_tree,17,gini,1,0,0,1,1,16,invscaling,10,sqrt,14,19,randomForestClassifier,4,5,sgd,uniform,0.7966339410939691,188.93167806300335
identity,ball_tree,16,gini,1,0,1,1,1,18,constant,36,sqrt,10,9,randomForestClassifier,5,10,sgd,distance,0.6802244039270687,188.931712992955
identity,ball_tree,28,gini,1,0,0,1,1,2,invscaling,77,sqrt,8,18,randomForestClassifier,5,9,sgd,uniform,0.9467040673211781,188.93174679181539
tanh,ball_tree,28,gini,1,0,1,1,1,32,invscaling,30,sqrt,11,26,randomForestClassifier,5,1,adam,distance,0.8078541374474053,188.9317806418985
relu,auto,30,gini,1,1,1,1,1,8,invscaling,12,sqrt,4,18,randomForestClassifier,3,8,sgd,uniform,0.9453015427769986,188.9318145220168
relu,ball_tree,27,gini,1,1,1,1,1,6,invscaling,11,sqrt,7,30,nnClassifier,5,9,sgd,uniform,0.011220196353436185,188.93184878095053
tanh,ball_tree,15,gini,1,1,1,1,1,4,invscaling,55,sqrt,11,28,randomForestClassifier,5,8,sgd,distance,0.8934081346423562,188.9318831609562
identity,ball_tree,25,gini,1,0,0,1,1,2,constant,80,sqrt,14,35,randomForestClassifier,3,7,adam,distance,0,188.9319171598181
identity,ball_tree,15,gini,1,0,1,1,1,2,invscaling,88,sqrt,11,29,nnClassifier,3,6,adam,distance,0.5105189340813464,188.93194995983504
relu,ball_tree,24,gini,1,1,1,1,1,23,invscaling,16,sqrt,11,18,nnClassifier,9,5,sgd,distance,0.48807854137447404,188.93198330001906
tanh,auto,28,gini,1,0,1,1,1,36,constant,85,sqrt,13,6,randomForestClassifier,5,9,sgd,distance,0.9424964936886395,188.93201735895127
identity,auto,25,gini,1,1,0,1,1,3,invscaling,29,sqrt,8,35,randomForestClassifier,5,9,sgd,uniform,0.7952314165497896,188.932050608797
identity,ball_tree,26,gini,1,0,1,1,1,29,invscaling,32,sqrt,7,7,nnClassifier,6,5,sgd,distance,0.514726507713885,188.93208379880525
tanh,ball_tree,17,gini,1,1,0,1,1,29,invscaling,73,sqrt,8,36,randomForestClassifier,5,8,adam,distance,0.94109396914446,188.93211743794382
identity,ball_tree,25,gini,1,1,1,1,1,23,invscaling,53,auto,17,6,nnClassifier,9,9,sgd,distance,0.5049088359046283,188.93215102795511
identity,ball_tree,18,gini,1,0,1,1,1,6,constant,60,auto,6,20,nnClassifier,4,7,sgd,uniform,0.5105189340813464,188.9321840268094
relu,ball_tree,27,gini,1,0,1,1,1,26,constant,45,sqrt,10,28,nnClassifier,6,9,sgd,distance,0.5091164095371669,188.93221706687473
relu,auto,30,gini,1,1,1,1,1,12,constant,52,auto,5,21,nnClassifier,2,6,adam,distance,0.9481065918653576,361.59102620580234
relu,auto,28,gini,1,1,1,1,1,33,constant,76,auto,8,16,nnClassifier,4,8,adam,distance,0.5133239831697055,361.59108455479145
relu,auto,30,gini,1,1,1,1,1,11,constant,14,auto,5,25,nnClassifier,5,5,adam,distance,0.5161290322580645,361.5911201548297
relu,auto,21,gini,1,1,1,1,1,12,constant,14,auto,10,19,nnClassifier,2,9,adam,distance,0.9481065918653576,361.5911549939774
relu,auto,20,gini,1,1,1,1,1,15,constant,32,auto,6,13,nnClassifier,3,10,adam,distance,0.9495091164095372,361.59118954394944
relu,auto,28,gini,1,1,1,1,1,6,constant,73,auto,5,18,nnClassifier,4,9,adam,distance,0.9467040673211781,361.59122409299016
relu,auto,30,gini,1,1,1,1,1,28,constant,26,auto,7,22,nnClassifier,4,5,adam,distance,0.9495091164095372,361.5912584629841
relu,auto,29,gini,1,1,1,1,1,6,constant,14,auto,4,18,nnClassifier,3,7,adam,distance,0.9509116409537167,361.59129228279926
relu,auto,28,gini,1,1,1,1,1,7,constant,14,auto,7,26,nnClassifier,5,9,adam,distance,0.40953716690042075,361.5913261619862
relu,auto,19,gini,1,1,1,1,1,8,constant,51,auto,7,24,nnClassifier,5,10,adam,distance,0.9467040673211781,361.5913612919394
relu,auto,28,gini,1,1,1,1,1,6,constant,76,auto,12,31,nnClassifier,1,10,adam,distance,0.9481065918653576,361.5913953308482
relu,auto,19,gini,1,1,1,1,1,6,constant,84,auto,9,25,nnClassifier,3,10,adam,distance,0.5133239831697055,361.5914295408875
relu,auto,28,gini,1,1,1,1,1,19,constant,17,auto,7,19,nnClassifier,5,9,adam,distance,0.5049088359046283,361.5914633909706
