activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,28,entropy,1,0,0,1,1,35,adaptive,61,log2,15,23,nnClassifier,4,10,sgd,uniform,0.49789621318373073,144.5463541049976
identity,auto,28,entropy,1,0,0,1,0,22,constant,91,log2,3,24,nnClassifier,4,10,sgd,uniform,0.514726507713885,144.54640624509193
identity,auto,26,gini,1,0,0,1,0,34,adaptive,11,sqrt,19,7,randomForestClassifier,4,9,lbfgs,uniform,0,144.54644143395126
tanh,auto,20,entropy,1,1,1,1,0,35,adaptive,77,sqrt,11,4,nnClassifier,2,5,lbfgs,uniform,0.5063113604488079,144.5464746740181
tanh,auto,16,entropy,1,0,0,1,0,36,adaptive,20,sqrt,9,5,randomForestClassifier,3,10,sgd,uniform,0,144.54650935390964
identity,auto,18,entropy,1,1,0,1,0,17,adaptive,94,auto,13,9,randomForestClassifier,4,8,lbfgs,distance,0.9340813464235624,144.54654215392657
tanh,auto,10,gini,1,0,0,1,0,28,invscaling,95,sqrt,3,31,randomForestClassifier,2,9,lbfgs,uniform,0,144.54657623288222
relu,auto,14,entropy,1,0,0,1,0,34,adaptive,5,log2,4,16,nnClassifier,5,5,lbfgs,uniform,0.5021037868162693,144.54660886293277
relu,auto,30,entropy,1,1,1,1,0,18,constant,94,sqrt,3,23,nnClassifier,5,6,adam,uniform,0.5105189340813464,144.54664245294407
identity,auto,25,entropy,1,0,0,1,0,34,adaptive,12,log2,4,4,randomForestClassifier,4,10,lbfgs,uniform,0.9424964936886395,144.54667585296556
tanh,auto,24,entropy,1,1,0,1,0,20,invscaling,17,auto,8,14,nnClassifier,4,5,sgd,uniform,0.5217391304347826,144.5467094220221
identity,auto,19,gini,1,0,0,1,1,9,adaptive,12,log2,13,33,nnClassifier,3,8,sgd,uniform,0.49789621318373073,144.54674242204055
tanh,auto,23,entropy,1,1,0,1,0,34,invscaling,29,sqrt,6,36,randomForestClassifier,2,5,sgd,distance,0.938288920056101,144.5467752320692
identity,auto,15,gini,1,1,1,1,0,10,invscaling,20,auto,4,27,nnClassifier,1,9,sgd,uniform,0.4796633941093969,144.54680793196894
relu,auto,12,gini,1,1,0,1,0,14,invscaling,88,sqrt,14,29,randomForestClassifier,3,6,sgd,distance,0.9368863955119214,144.54684150102548
identity,auto,21,entropy,1,1,0,1,1,6,invscaling,88,auto,18,18,nnClassifier,6,10,adam,uniform,0.4964936886395512,144.54687450104393
tanh,auto,23,entropy,1,0,0,1,1,35,constant,31,auto,8,29,nnClassifier,7,10,lbfgs,distance,0.5077138849929874,144.54690793086775
identity,auto,25,entropy,1,1,1,1,0,26,invscaling,52,log2,11,5,randomForestClassifier,6,4,adam,uniform,0.5918653576437588,144.54694103100337
identity,auto,26,gini,1,1,1,1,1,34,invscaling,81,sqrt,3,31,nnClassifier,4,10,sgd,uniform,0.48106591865357645,144.54697383986786
identity,auto,20,entropy,1,1,1,1,0,16,constant,24,sqrt,5,12,nnClassifier,5,5,lbfgs,distance,0.5091164095371669,144.54700650996529
relu,auto,26,gini,1,1,1,1,1,37,constant,57,auto,11,19,nnClassifier,3,10,adam,distance,0.5133239831697055,274.16261860588565
relu,auto,28,gini,1,1,1,1,1,26,constant,87,auto,5,20,nnClassifier,2,10,adam,distance,0.5133239831697055,274.16267072502524
relu,auto,24,gini,1,1,1,1,1,32,constant,11,auto,15,3,nnClassifier,2,10,adam,distance,0.9368863955119214,274.1627052749973
relu,auto,24,gini,1,1,1,1,1,34,constant,73,auto,7,2,nnClassifier,5,9,adam,distance,0.520336605890603,274.1627390549984
relu,auto,20,gini,1,1,1,1,1,35,constant,16,auto,5,3,nnClassifier,3,10,adam,distance,0.938288920056101,274.1627724049613
relu,auto,22,gini,1,1,1,1,1,21,constant,90,auto,9,5,nnClassifier,2,10,adam,distance,0.9368863955119214,274.1628054839093
relu,auto,14,gini,1,1,1,1,1,32,constant,91,auto,2,27,nnClassifier,4,10,adam,distance,0.938288920056101,274.1628387339879
relu,auto,18,gini,1,1,1,1,1,34,constant,9,auto,4,12,nnClassifier,4,9,adam,distance,0.5133239831697055,274.16287143388763
relu,auto,28,gini,1,1,1,1,1,22,constant,90,auto,3,19,nnClassifier,6,10,adam,distance,0.511921458625526,274.16290443297476
relu,auto,25,gini,1,1,1,1,1,34,constant,12,auto,4,4,nnClassifier,4,10,adam,distance,0.9424964936886395,274.1629373130854
relu,auto,25,gini,1,1,1,1,1,24,constant,20,auto,4,10,nnClassifier,7,8,adam,distance,0.511921458625526,274.1629707128741
relu,auto,23,gini,1,1,1,1,1,13,constant,11,auto,9,29,nnClassifier,3,10,adam,distance,0.5133239831697055,274.16300387308
relu,auto,26,gini,1,1,1,1,1,32,constant,25,auto,4,32,nnClassifier,6,5,adam,distance,0.9368863955119214,274.16304843197577
relu,auto,19,gini,1,1,1,1,1,14,constant,16,auto,4,23,nnClassifier,5,10,adam,distance,0.4992987377279102,274.16308200196363
relu,auto,16,gini,1,1,1,1,1,18,constant,84,auto,10,25,nnClassifier,5,9,adam,distance,0.9368863955119214,274.1631159519311
relu,auto,25,gini,1,1,1,1,1,10,constant,84,auto,14,14,nnClassifier,2,10,adam,distance,0.517531556802244,274.1631495109759
relu,auto,24,gini,1,1,1,1,1,37,constant,27,auto,4,25,nnClassifier,4,10,adam,distance,0.5091164095371669,274.1631830309052
relu,auto,24,gini,1,1,1,1,1,30,constant,48,auto,7,4,nnClassifier,4,8,adam,distance,0.938288920056101,274.16321679088287
relu,auto,22,gini,1,1,1,1,1,32,constant,77,auto,3,27,nnClassifier,4,10,adam,distance,0.5105189340813464,274.16324995993637
relu,auto,24,gini,1,1,1,1,1,20,constant,20,auto,5,8,nnClassifier,2,9,adam,distance,0.514726507713885,274.1632831899915
relu,auto,24,gini,1,1,1,1,1,35,constant,53,auto,7,15,nnClassifier,4,10,adam,distance,0.5161290322580645,936.3311304519884
relu,auto,31,gini,1,1,1,1,1,30,constant,83,auto,7,16,nnClassifier,2,10,adam,distance,0.5077138849929874,936.3311839408707
relu,auto,24,gini,1,1,1,1,1,35,constant,13,auto,11,4,nnClassifier,5,10,adam,distance,0.5091164095371669,936.3312190710567
relu,auto,21,gini,1,1,1,1,1,34,constant,69,auto,3,6,nnClassifier,4,7,adam,distance,0.511921458625526,936.3312533909921
relu,auto,24,gini,1,1,1,1,1,35,constant,17,auto,3,7,nnClassifier,3,10,adam,distance,0.514726507713885,936.3312872298993
relu,auto,21,gini,1,1,1,1,1,24,constant,86,auto,5,7,nnClassifier,6,9,adam,distance,0.5091164095371669,936.3313207100146
relu,auto,18,gini,1,1,1,1,1,34,constant,87,auto,4,23,nnClassifier,1,10,adam,distance,0.517531556802244,936.3313548199367
relu,auto,20,gini,1,1,1,1,1,34,constant,11,auto,4,8,nnClassifier,5,10,adam,distance,0.511921458625526,936.3313881889917
relu,auto,24,gini,1,1,1,1,1,26,constant,86,auto,4,15,nnClassifier,3,10,adam,distance,0.5189340813464236,936.3314211689867
