activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,11,entropy,1,0,0,1,0,21,invscaling,8,sqrt,10,11,kneighborsClassifier,2,3,lbfgs,uniform,0.94109396914446,74.2318897540681
relu,auto,12,entropy,1,0,1,1,1,32,constant,58,auto,14,21,nnClassifier,3,3,lbfgs,distance,0.48667601683029454,74.23194327298552
relu,auto,23,entropy,1,0,1,1,0,22,invscaling,95,sqrt,17,30,kneighborsClassifier,5,5,sgd,uniform,0.6157082748948106,74.2319793519564
relu,auto,28,entropy,1,0,1,1,0,22,constant,21,sqrt,11,10,nnClassifier,5,6,adam,distance,0.47685834502103785,74.23201305209659
relu,auto,24,gini,1,0,1,1,1,13,invscaling,48,sqrt,9,12,nnClassifier,2,2,adam,uniform,0.4838709677419355,74.2320466809906
relu,auto,19,gini,1,1,0,1,1,8,invscaling,82,sqrt,13,9,kneighborsClassifier,1,5,sgd,uniform,0.908835904628331,74.23207995016128
relu,auto,11,gini,1,0,0,1,0,35,invscaling,19,sqrt,11,26,kneighborsClassifier,2,2,adam,distance,0.7251051893408135,74.2321131490171
relu,auto,12,entropy,1,0,0,1,0,26,invscaling,29,sqrt,11,33,nnClassifier,6,3,sgd,uniform,0,74.232145878952
relu,auto,10,entropy,1,1,0,1,1,32,invscaling,79,sqrt,18,11,kneighborsClassifier,5,2,adam,uniform,0.9396914446002805,74.23217757814564
relu,auto,12,entropy,1,0,0,1,1,19,invscaling,52,sqrt,9,25,randomForestClassifier,4,3,sgd,distance,0.6872370266479664,74.23221080703661
relu,auto,14,gini,1,0,0,1,1,21,constant,89,sqrt,9,26,randomForestClassifier,9,4,sgd,distance,0.9396914446002805,74.23224383709021
relu,auto,11,gini,1,1,0,1,0,32,invscaling,8,sqrt,10,12,kneighborsClassifier,2,3,adam,distance,0.9172510518934082,74.23228866606951
relu,auto,17,entropy,1,0,1,1,0,31,invscaling,11,sqrt,7,12,kneighborsClassifier,1,4,adam,distance,0.9158485273492286,74.23232216504402
relu,auto,17,gini,1,0,0,1,0,26,invscaling,55,sqrt,10,24,kneighborsClassifier,4,4,sgd,distance,0,74.23235547402874
relu,auto,21,gini,1,1,1,1,0,23,invscaling,8,auto,11,7,randomForestClassifier,4,3,lbfgs,uniform,0.5834502103786816,74.23238769406453
relu,auto,28,entropy,1,0,0,1,0,9,invscaling,55,sqrt,6,18,nnClassifier,2,3,sgd,distance,0.0,74.2324206030462
relu,auto,19,gini,1,1,1,1,0,13,invscaling,35,sqrt,17,13,kneighborsClassifier,1,5,adam,uniform,0.9312762973352033,74.23245259211399
relu,auto,12,entropy,1,0,0,1,0,7,invscaling,85,auto,11,30,kneighborsClassifier,3,5,sgd,distance,0.6746143057503506,74.23248530202545
relu,auto,14,gini,1,1,1,1,1,21,constant,83,sqrt,11,24,kneighborsClassifier,4,2,sgd,distance,0.8877980364656382,74.2325179411564
relu,auto,19,gini,1,0,0,1,1,9,invscaling,21,sqrt,7,26,kneighborsClassifier,2,3,lbfgs,uniform,0.9354838709677419,74.23255054000765
relu,auto,13,gini,1,1,1,1,1,21,constant,12,auto,10,12,nnClassifier,6,3,adam,distance,0.94109396914446,189.23763940599747
relu,auto,15,gini,1,1,1,1,1,28,constant,62,auto,14,25,nnClassifier,7,7,adam,distance,0.485273492286115,189.23769367509522
relu,auto,19,gini,1,1,1,1,1,22,constant,91,auto,13,26,nnClassifier,5,2,adam,distance,0.9368863955119214,189.23772869398817
relu,auto,26,gini,1,1,1,1,1,23,constant,25,auto,8,14,nnClassifier,9,2,adam,distance,0.49368863955119213,189.23776339297183
relu,auto,20,gini,1,1,1,1,1,17,constant,50,auto,7,16,nnClassifier,3,2,adam,distance,0.485273492286115,189.2377983131446
relu,auto,15,gini,1,1,1,1,1,12,constant,86,auto,9,13,nnClassifier,3,5,adam,distance,0.9396914446002805,189.237832802115
relu,auto,11,gini,1,1,1,1,1,31,constant,23,auto,8,24,nnClassifier,6,4,adam,distance,0.9130434782608695,189.23786625103094
relu,auto,16,gini,1,1,1,1,1,22,constant,33,auto,12,29,nnClassifier,4,5,adam,distance,0.4908835904628331,189.23789979098365
relu,auto,13,gini,1,1,1,1,1,28,constant,80,auto,16,15,nnClassifier,9,3,adam,distance,0.9046283309957924,189.23793388996273
relu,auto,13,gini,1,1,1,1,1,23,constant,56,auto,11,24,nnClassifier,7,5,adam,distance,0.9467040673211781,189.2379672790412
relu,auto,12,gini,1,1,1,1,1,21,constant,87,auto,11,24,nnClassifier,9,5,adam,distance,0.9495091164095372,189.23800022806972
relu,auto,12,gini,1,1,1,1,1,28,constant,12,auto,10,16,nnClassifier,6,4,adam,distance,0.9172510518934082,189.2380335580092
relu,auto,13,gini,1,1,1,1,1,27,constant,15,auto,11,16,nnClassifier,5,2,adam,distance,0.9354838709677419,189.2380667370744
relu,auto,13,gini,1,1,1,1,1,22,constant,59,auto,12,23,nnClassifier,5,4,adam,distance,0.9298737727910238,189.23809991613962
relu,auto,17,gini,1,1,1,1,1,19,constant,12,auto,12,11,nnClassifier,8,3,adam,distance,0.9424964936886395,189.23813347611576
relu,auto,24,gini,1,1,1,1,1,13,constant,59,auto,7,22,nnClassifier,6,7,adam,distance,0.0,189.2381666849833
relu,auto,15,gini,1,1,1,1,1,17,constant,39,auto,13,17,nnClassifier,5,2,adam,distance,0.94109396914446,189.23819925403222
relu,auto,13,gini,1,1,1,1,1,11,constant,86,auto,8,26,nnClassifier,5,5,adam,distance,0.9270687237026648,189.23823234415613
relu,auto,13,gini,1,1,1,1,1,23,constant,87,auto,7,26,nnClassifier,4,4,adam,distance,0.906030855539972,189.23828945308924
relu,auto,18,gini,1,1,1,1,1,13,constant,25,auto,9,25,nnClassifier,6,5,adam,distance,0.9354838709677419,189.23832339211367
relu,auto,12,gini,1,1,1,1,1,21,constant,16,auto,9,16,nnClassifier,2,4,adam,distance,0.4964936886395512,1132.0465109280776
relu,auto,15,gini,1,1,1,1,1,24,constant,66,auto,10,27,nnClassifier,10,4,adam,distance,0.4894810659186536,1132.0465691471472
relu,auto,21,gini,1,1,1,1,1,21,constant,93,auto,9,28,nnClassifier,9,4,adam,distance,0.48667601683029454,1132.046604866162
relu,auto,22,gini,1,1,1,1,1,20,constant,29,auto,8,18,nnClassifier,10,2,adam,distance,0.4950911640953717,1132.0466406049673
relu,auto,16,gini,1,1,1,1,1,20,constant,54,auto,8,20,nnClassifier,7,2,adam,distance,0.49228611500701264,1132.0466750450432
relu,auto,16,gini,1,1,1,1,1,16,constant,87,auto,13,17,nnClassifier,7,5,adam,distance,0.4950911640953717,1132.0467092541512
relu,auto,14,gini,1,1,1,1,1,27,constant,27,auto,8,27,nnClassifier,5,4,adam,distance,0.4992987377279102,1132.0467440830544
relu,auto,16,gini,1,1,1,1,1,23,constant,37,auto,10,27,nnClassifier,8,5,adam,distance,0.4908835904628331,1132.0467782630585
relu,auto,13,gini,1,1,1,1,1,31,constant,84,auto,12,19,nnClassifier,10,7,adam,distance,0.4894810659186536,1132.0468120721634
relu,auto,13,gini,1,1,1,1,1,19,constant,60,auto,9,27,nnClassifier,6,2,adam,distance,0.4894810659186536,1132.046846521087
relu,auto,16,gini,1,1,1,1,1,21,constant,90,auto,8,28,nnClassifier,9,3,adam,distance,0.48667601683029454,1132.046880380949
relu,auto,12,gini,1,1,1,1,1,25,constant,16,auto,13,20,nnClassifier,10,3,adam,distance,0.49789621318373073,1132.0469151600264
relu,auto,17,gini,1,1,1,1,1,25,constant,19,auto,7,20,nnClassifier,9,2,adam,distance,0.4908835904628331,1132.0469491989352
relu,auto,17,gini,1,1,1,1,1,18,constant,63,auto,8,25,nnClassifier,9,4,adam,distance,0.4908835904628331,1132.0469826990739
