activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,25,entropy,1,1,1,1,1,26,invscaling,43,sqrt,11,28,nnClassifier,5,10,adam,uniform,0.5105189340813464,107.3655217110645
tanh,auto,27,entropy,1,1,1,1,1,18,invscaling,36,sqrt,15,26,nnClassifier,4,8,sgd,distance,0.4992987377279102,107.36557567003183
tanh,auto,23,gini,1,1,0,1,1,18,constant,95,auto,7,34,randomForestClassifier,8,8,sgd,distance,0.8835904628330996,107.36560990009457
tanh,auto,11,gini,1,1,0,1,1,28,constant,91,sqrt,19,6,randomForestClassifier,6,8,sgd,distance,0.5217391304347826,107.36564316903241
tanh,auto,15,entropy,1,1,0,1,1,30,invscaling,12,sqrt,6,29,kneighborsClassifier,1,10,sgd,distance,0.8036465638148668,107.36567631899379
tanh,auto,16,gini,1,1,0,1,1,30,adaptive,7,auto,5,23,nnClassifier,7,5,adam,uniform,0.4964936886395512,107.36570972809568
relu,auto,23,entropy,1,1,0,1,1,31,constant,60,sqrt,17,26,kneighborsClassifier,6,6,adam,uniform,0.9438990182328191,107.36574267805554
tanh,auto,13,entropy,1,1,1,1,1,29,adaptive,20,auto,15,10,nnClassifier,4,6,sgd,uniform,0.48246844319775595,107.36577530717477
tanh,auto,15,gini,1,1,1,1,1,26,adaptive,77,sqrt,13,20,kneighborsClassifier,1,8,adam,uniform,0.635343618513324,107.36580912698992
relu,auto,21,gini,1,1,0,1,1,35,adaptive,28,auto,16,10,nnClassifier,3,7,sgd,distance,0.5091164095371669,107.36584222619422
relu,auto,12,entropy,1,1,1,1,1,10,adaptive,15,sqrt,17,27,randomForestClassifier,4,10,sgd,distance,0.9467040673211781,107.36587477498688
relu,auto,18,entropy,1,1,0,1,1,30,invscaling,90,sqrt,17,32,nnClassifier,2,6,sgd,distance,0.5245441795231417,107.3659074450843
tanh,auto,16,entropy,1,1,1,1,1,31,invscaling,90,auto,14,31,nnClassifier,2,4,sgd,distance,0.4992987377279102,107.36594009399414
relu,auto,24,gini,1,1,0,1,1,27,invscaling,85,sqrt,9,27,nnClassifier,5,7,sgd,distance,0.49789621318373073,107.36597258411348
