feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,1,1,0,1,0,0,1,0,1,nnRegressor,identity,NA,31,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.9999999999754394,7.5186498165130615
1,1,0,1,1,0,0,0,0,1,1,1,kneighborsRegressor,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5293959529495934,12.225399017333984
0,1,1,1,0,1,0,1,1,0,0,0,nnRegressor,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.9991025256158697,21.849178314208984
1,0,0,1,1,1,1,1,0,1,0,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,45,log2,11,37,nan,nan,NA,NA,0.5523000055605152,39.00174140930176
0,1,1,1,1,0,0,1,1,0,1,0,nnRegressor,logistic,NA,14,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.9976611956236267,67.51539731025696
1,1,0,0,1,0,1,0,0,1,0,0,nnRegressor,logistic,NA,25,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.4778957193929585,81.26341319084167
1,1,1,1,0,1,1,0,0,1,1,1,nnRegressor,identity,NA,14,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9999968175340129,86.6406319141388
0,0,1,0,0,1,0,1,1,1,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,distance,0.14639303473594278,90.97770094871521
0,0,1,1,1,1,0,0,1,1,1,0,nnRegressor,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9996860604326834,99.60167288780212
1,0,1,1,0,0,1,0,1,0,1,1,nnRegressor,logistic,NA,24,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.9998934412010206,108.71734642982483
0,1,1,1,0,1,1,0,1,1,1,1,nnRegressor,tanh,NA,15,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9980751360128066,136.62634301185608
0,0,1,0,0,1,1,0,0,1,0,1,nnRegressor,tanh,NA,11,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.9991578587654324,147.53662991523743
0,0,1,1,0,0,0,0,0,1,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.39650753107963255,152.49034547805786
1,0,0,0,1,1,1,0,1,0,1,1,nnRegressor,identity,NA,16,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.06778222088866248,166.19359588623047
0,0,1,0,1,0,0,0,1,1,1,0,nnRegressor,relu,NA,23,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.999848192040875,177.8561942577362
0,1,1,1,0,0,1,1,1,0,0,1,nnRegressor,relu,NA,30,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9996372230160386,186.2813184261322
0,1,1,1,1,1,0,0,1,0,0,0,nnRegressor,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9998348417292358,195.7108325958252
1,1,1,1,0,0,1,1,0,0,1,0,nnRegressor,logistic,NA,31,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,0.0033337788234893972,202.521253824234
