activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,26,entropy,1,0,1,1,0,1,1,0,29,adaptive,45,sqrt,6,35,nnClassifier,2,10,adam,distance,0.5482295482295483
relu,brute,21,entropy,0,0,1,0,0,0,0,0,24,adaptive,26,sqrt,13,10,nnClassifier,4,2,lbfgs,uniform,0.5848595848595849
tanh,ball_tree,21,entropy,0,0,1,1,1,0,0,1,4,adaptive,51,log2,7,5,kneighborsClassifier,4,6,lbfgs,distance,0.6837606837606838
tanh,ball_tree,17,gini,1,1,1,1,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9084249084249084
tanh,brute,27,entropy,0,0,0,0,1,0,1,1,4,constant,18,auto,14,25,randomForestClassifier,6,4,adam,uniform,0.724053724053724
tanh,auto,13,gini,1,1,0,0,0,0,1,0,3,constant,50,log2,5,9,nnClassifier,9,2,sgd,distance,0.575091575091575
logistic,auto,12,gini,0,0,0,1,1,0,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.7484737484737485
relu,auto,32,gini,0,1,1,0,0,0,1,0,31,adaptive,61,log2,20,7,kneighborsClassifier,7,9,lbfgs,uniform,0.5482295482295483
tanh,brute,27,gini,0,1,0,0,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
relu,ball_tree,18,gini,0,0,0,0,0,0,1,1,38,invscaling,22,log2,17,21,kneighborsClassifier,9,6,sgd,uniform,0.5042735042735043
tanh,ball_tree,21,entropy,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7985347985347986
relu,kd_tree,19,gini,0,1,1,1,1,1,0,0,19,adaptive,95,auto,20,27,nnClassifier,7,7,sgd,distance,0.5177045177045178
identity,auto,15,gini,0,0,0,1,1,1,1,0,32,adaptive,76,sqrt,9,22,nnClassifier,6,6,sgd,distance,0.503052503052503
tanh,kd_tree,32,entropy,1,1,0,1,1,0,1,1,8,constant,33,sqrt,15,40,kneighborsClassifier,8,4,adam,distance,0.6825396825396826
logistic,auto,13,gini,0,1,0,0,0,0,0,0,8,constant,9,log2,12,32,randomForestClassifier,3,5,lbfgs,distance,0.5921855921855922
tanh,kd_tree,21,gini,0,0,0,0,1,0,1,0,39,invscaling,34,auto,10,23,randomForestClassifier,9,2,sgd,distance,0.7387057387057387
logistic,brute,14,gini,1,0,0,1,0,0,1,1,14,invscaling,52,sqrt,9,30,randomForestClassifier,3,7,sgd,distance,0.5714285714285714
relu,ball_tree,14,gini,0,1,1,0,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.7985347985347986
identity,brute,18,entropy,0,0,1,0,0,0,0,1,32,invscaling,86,sqrt,15,19,kneighborsClassifier,5,10,sgd,uniform,0.5213675213675214
tanh,ball_tree,25,gini,0,1,1,0,0,0,1,1,6,invscaling,60,sqrt,4,34,nnClassifier,3,2,sgd,distance,0.5702075702075702
tanh,brute,27,gini,0,1,0,0,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,ball_tree,17,gini,1,1,1,1,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9084249084249084
tanh,ball_tree,21,entropy,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7985347985347986
relu,ball_tree,14,gini,0,1,1,0,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.7985347985347986
logistic,auto,12,gini,0,0,0,1,1,0,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.7484737484737485
tanh,kd_tree,21,gini,0,0,0,0,1,0,1,0,39,invscaling,34,auto,10,23,randomForestClassifier,9,2,sgd,distance,0.7387057387057387
tanh,brute,27,entropy,0,0,0,0,1,0,1,1,4,constant,18,auto,14,25,randomForestClassifier,6,4,adam,uniform,0.724053724053724
tanh,ball_tree,21,entropy,0,0,1,1,1,0,0,1,4,adaptive,51,log2,7,5,kneighborsClassifier,4,6,lbfgs,distance,0.6837606837606838
tanh,kd_tree,32,entropy,1,1,0,1,1,0,1,1,8,constant,33,sqrt,15,40,kneighborsClassifier,8,4,adam,distance,0.6825396825396826
logistic,auto,13,gini,0,1,0,0,0,0,0,0,8,constant,9,log2,12,32,randomForestClassifier,3,5,lbfgs,distance,0.5921855921855922
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,ball_tree,17,gini,1,1,1,1,1,1,0,1,12,invscaling,8,log2,18,28,nnClassifier,1,9,adam,distance,0.5091575091575091
tanh,ball_tree,21,gini,1,0,1,1,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.8021978021978022
relu,ball_tree,14,gini,0,1,1,0,0,1,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.796092796092796
logistic,auto,12,gini,0,0,0,1,1,0,1,0,39,invscaling,34,auto,10,23,randomForestClassifier,9,2,sgd,distance,0.7362637362637363
tanh,brute,21,gini,0,0,0,0,1,0,1,1,4,constant,18,auto,14,25,randomForestClassifier,6,4,adam,uniform,0.724053724053724
tanh,brute,27,entropy,0,0,0,0,1,0,0,1,4,adaptive,51,log2,7,5,kneighborsClassifier,4,6,lbfgs,distance,0.6959706959706959
tanh,ball_tree,21,entropy,0,0,1,1,1,0,1,1,8,constant,33,sqrt,15,40,kneighborsClassifier,8,4,adam,distance,0.6678876678876678
tanh,kd_tree,32,entropy,1,1,0,1,1,0,0,0,8,constant,9,sqrt,12,32,randomForestClassifier,3,5,lbfgs,distance,0.7472527472527473
logistic,auto,13,gini,0,1,0,0,0,0,1,1,23,invscaling,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.590964590964591
tanh,brute,27,gini,0,1,0,0,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,ball_tree,17,gini,1,1,1,1,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9084249084249084
tanh,ball_tree,21,gini,1,0,1,1,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.8021978021978022
tanh,ball_tree,21,entropy,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7985347985347986
relu,ball_tree,14,gini,0,1,1,0,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.7985347985347986
relu,ball_tree,14,gini,0,1,1,0,0,1,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.796092796092796
logistic,auto,12,gini,0,0,0,1,1,0,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.7484737484737485
tanh,kd_tree,32,entropy,1,1,0,1,1,0,0,0,8,constant,9,sqrt,12,32,randomForestClassifier,3,5,lbfgs,distance,0.7472527472527473
tanh,kd_tree,21,gini,0,0,0,0,1,0,1,0,39,invscaling,34,auto,10,23,randomForestClassifier,9,2,sgd,distance,0.7387057387057387
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,7,adaptive,8,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.938949938949939
identity,ball_tree,21,gini,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7973137973137974
tanh,ball_tree,21,entropy,1,0,1,1,0,1,1,1,7,adaptive,89,log2,8,16,randomForestClassifier,7,8,lbfgs,distance,0.796092796092796
relu,ball_tree,14,gini,0,1,1,0,0,0,0,0,27,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.5518925518925519
relu,ball_tree,14,gini,0,1,1,0,0,1,0,0,30,invscaling,1,auto,11,14,randomForestClassifier,7,5,lbfgs,uniform,0.796092796092796
logistic,auto,12,gini,0,0,0,1,1,0,0,0,8,adaptive,9,sqrt,12,32,randomForestClassifier,3,5,lbfgs,distance,0.7472527472527473
tanh,kd_tree,32,entropy,1,1,0,1,1,0,1,0,39,invscaling,34,auto,10,23,randomForestClassifier,9,2,sgd,distance,0.7313797313797313
relu,kd_tree,21,gini,0,0,0,0,1,0,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.7301587301587301
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,7,adaptive,8,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.938949938949939
tanh,brute,27,gini,0,1,0,0,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,ball_tree,17,gini,1,1,1,1,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9084249084249084
tanh,ball_tree,21,gini,1,0,1,1,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.8021978021978022
tanh,ball_tree,21,entropy,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7985347985347986
relu,ball_tree,14,gini,0,1,1,0,0,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.7985347985347986
identity,ball_tree,21,gini,1,0,1,1,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,adam,distance,0.7973137973137974
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,23,constant,26,log2,16,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,ball_tree,19,entropy,1,1,1,1,1,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.9352869352869353
logistic,ball_tree,21,gini,1,0,1,1,1,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,sgd,distance,0.9267399267399268
tanh,ball_tree,21,entropy,0,0,1,1,0,1,1,1,10,adaptive,89,log2,19,16,kneighborsClassifier,7,8,lbfgs,distance,0.7838827838827839
relu,ball_tree,14,gini,0,1,1,0,0,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,sgd,distance,0.7985347985347986
identity,ball_tree,21,gini,1,0,1,1,0,1,1,1,7,adaptive,8,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.7985347985347986
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,7,adaptive,8,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.938949938949939
tanh,brute,27,gini,0,1,0,0,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,23,constant,26,log2,16,28,randomForestClassifier,8,1,adam,distance,0.9352869352869353
tanh,ball_tree,19,entropy,1,1,1,1,1,1,1,1,7,adaptive,89,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.9352869352869353
logistic,ball_tree,21,gini,1,0,1,1,1,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,sgd,distance,0.9267399267399268
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,ball_tree,17,entropy,1,1,1,1,1,1,1,1,23,constant,26,log2,15,28,randomForestClassifier,8,1,adam,distance,0.938949938949939
tanh,brute,27,gini,0,1,0,0,1,1,1,0,23,invscaling,26,log2,16,28,randomForestClassifier,8,1,adam,distance,0.9365079365079365
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,7,adaptive,89,log2,19,16,kneighborsClassifier,7,7,lbfgs,distance,0.9316239316239316
tanh,ball_tree,19,entropy,1,1,1,1,1,1,0,1,12,invscaling,8,log2,18,28,randomForestClassifier,1,9,sgd,distance,0.927960927960928
logistic,ball_tree,21,gini,1,0,1,1,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9120879120879121
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,14,gini,0,1,0,0,1,1,0,1,34,invscaling,64,sqrt,9,32,kneighborsClassifier,1,4,lbfgs,distance,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,4,invscaling,19,auto,9,25,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,34,invscaling,19,auto,9,32,kneighborsClassifier,1,4,lbfgs,uniform,0.9181929181929182
tanh,brute,27,gini,0,1,0,0,1,1,0,1,7,adaptive,8,log2,19,16,randomForestClassifier,7,8,lbfgs,distance,0.9267399267399268
