activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,18,gini,0,0,1,1,1,1,0,0,4,constant,26,sqrt,7,30,randomForestClassifier,4,10,adam,distance,0.9340659340659341
identity,ball_tree,11,entropy,0,1,1,0,0,1,1,0,7,constant,98,log2,20,32,nnClassifier,1,8,adam,uniform,0.5470085470085471
identity,kd_tree,29,gini,1,1,0,1,0,0,0,0,14,constant,51,auto,14,26,nnClassifier,9,7,adam,uniform,0.57997557997558
identity,brute,10,gini,1,1,0,1,0,0,0,0,18,constant,8,log2,16,7,kneighborsClassifier,10,10,lbfgs,uniform,0.5323565323565324
relu,kd_tree,14,entropy,1,0,1,1,0,0,0,1,20,adaptive,8,log2,19,17,kneighborsClassifier,5,6,adam,distance,0.5616605616605617
relu,ball_tree,31,entropy,1,1,0,0,1,0,0,1,23,invscaling,24,auto,7,38,kneighborsClassifier,4,7,adam,uniform,0.7350427350427351
tanh,auto,25,entropy,0,1,0,0,1,0,0,1,24,adaptive,92,sqrt,3,9,randomForestClassifier,9,9,lbfgs,distance,0.7411477411477412
tanh,auto,17,entropy,0,1,1,0,1,0,0,0,2,adaptive,79,log2,5,35,randomForestClassifier,8,9,lbfgs,uniform,0.7582417582417582
logistic,brute,23,gini,1,0,0,1,0,0,0,1,5,adaptive,90,sqrt,19,23,randomForestClassifier,10,7,sgd,distance,0.5934065934065934
identity,brute,23,gini,0,0,0,1,1,0,0,1,5,invscaling,23,auto,9,8,nnClassifier,8,5,sgd,uniform,0.5323565323565324
relu,ball_tree,24,gini,0,0,1,1,0,1,1,0,35,adaptive,62,log2,4,27,randomForestClassifier,8,6,lbfgs,distance,0.8315018315018315
tanh,ball_tree,31,gini,0,1,1,0,0,1,1,0,12,adaptive,92,sqrt,9,19,nnClassifier,10,5,adam,uniform,0.5299145299145299
logistic,auto,15,entropy,0,1,1,1,1,0,1,0,14,invscaling,52,log2,15,16,randomForestClassifier,9,9,sgd,uniform,0.7716727716727717
identity,kd_tree,13,gini,1,0,0,1,1,0,1,1,27,invscaling,80,auto,6,11,nnClassifier,5,8,adam,distance,0.5262515262515263
identity,auto,31,entropy,0,0,1,1,1,1,1,0,39,adaptive,14,log2,4,23,nnClassifier,1,4,lbfgs,distance,0.5409035409035409
logistic,kd_tree,23,gini,0,0,1,1,1,0,0,0,27,constant,84,auto,2,40,kneighborsClassifier,3,8,sgd,uniform,0.7228327228327228
tanh,ball_tree,10,gini,0,1,1,1,1,1,0,0,16,adaptive,78,log2,14,14,nnClassifier,10,9,sgd,distance,0.5299145299145299
logistic,auto,15,entropy,1,1,1,0,1,0,1,0,10,constant,77,auto,18,5,nnClassifier,3,7,sgd,uniform,0.5457875457875457
relu,brute,16,entropy,1,0,1,1,0,0,0,0,8,adaptive,44,log2,6,2,kneighborsClassifier,6,6,lbfgs,distance,0.5531135531135531
tanh,ball_tree,28,gini,0,0,0,0,1,1,0,1,15,constant,91,sqrt,4,8,kneighborsClassifier,9,1,sgd,uniform,0.9010989010989011
logistic,kd_tree,18,gini,0,0,1,1,1,1,0,0,4,constant,26,sqrt,7,30,randomForestClassifier,4,10,adam,distance,0.9340659340659341
tanh,ball_tree,28,gini,0,0,0,0,1,1,0,1,15,constant,91,sqrt,4,8,kneighborsClassifier,9,1,sgd,uniform,0.9010989010989011
relu,ball_tree,24,gini,0,0,1,1,0,1,1,0,35,adaptive,62,log2,4,27,randomForestClassifier,8,6,lbfgs,distance,0.8315018315018315
logistic,auto,15,entropy,0,1,1,1,1,0,1,0,14,invscaling,52,log2,15,16,randomForestClassifier,9,9,sgd,uniform,0.7716727716727717
tanh,auto,17,entropy,0,1,1,0,1,0,0,0,2,adaptive,79,log2,5,35,randomForestClassifier,8,9,lbfgs,uniform,0.7582417582417582
tanh,auto,25,entropy,0,1,0,0,1,0,0,1,24,adaptive,92,sqrt,3,9,randomForestClassifier,9,9,lbfgs,distance,0.7411477411477412
relu,ball_tree,31,entropy,1,1,0,0,1,0,0,1,23,invscaling,24,auto,7,38,kneighborsClassifier,4,7,adam,uniform,0.7350427350427351
logistic,kd_tree,23,gini,0,0,1,1,1,0,0,0,27,constant,84,auto,2,40,kneighborsClassifier,3,8,sgd,uniform,0.7228327228327228
logistic,brute,23,gini,1,0,0,1,0,0,0,1,5,adaptive,90,sqrt,19,23,randomForestClassifier,10,7,sgd,distance,0.5934065934065934
