activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
identity,brute,26,entropy,1,0,0,14,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
logistic,kd_tree,20,gini,1,0,0,9,adaptive,74,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,constant,44,log2,10,21,nnClassifier,2,1,sgd,distance,0.95995995995996
identity,auto,22,entropy,1,1,0,2,adaptive,91,auto,3,7,nnClassifier,3,9,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,adaptive,75,sqrt,8,23,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,invscaling,55,sqrt,14,38,nnClassifier,10,5,sgd,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
tanh,kd_tree,12,gini,1,1,0,32,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
logistic,ball_tree,20,gini,1,0,0,4,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
identity,brute,26,entropy,1,0,0,14,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
identity,auto,22,entropy,1,0,0,2,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
identity,brute,26,entropy,1,0,0,14,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
identity,auto,22,entropy,1,0,0,2,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,invscaling,67,auto,3,11,randomForestClassifier,3,3,lbfgs,uniform,0.955955955955956
tanh,auto,28,entropy,1,0,0,25,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,auto,30,entropy,1,1,0,11,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
logistic,auto,20,gini,1,0,1,4,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.9359359359359359
identity,brute,26,entropy,1,0,0,14,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
identity,auto,22,entropy,1,0,0,2,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
identity,brute,26,entropy,1,0,0,14,adaptive,16,log2,17,13,nnClassifier,10,7,adam,uniform,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,constant,44,sqrt,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
identity,auto,22,entropy,1,0,0,2,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,invscaling,67,auto,3,11,nnClassifier,3,1,lbfgs,uniform,0.95995995995996
tanh,auto,28,gini,1,0,0,25,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,invscaling,55,sqrt,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
