activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,25,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,39,constant,57,log2,9,30,kneighborsClassifier,1,6,lbfgs,distance,0.4590964590964591,85.81607585190795
relu,brute,27,entropy,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,11,constant,95,auto,11,24,kneighborsClassifier,4,8,adam,distance,0.5958485958485958,85.81616063090041
relu,auto,18,entropy,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,37,constant,17,auto,11,6,nnClassifier,1,6,adam,uniform,0.5054945054945055,85.81622728006914
relu,ball_tree,15,entropy,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,14,constant,52,auto,12,14,nnClassifier,2,7,lbfgs,distance,0.5115995115995116,85.816305618966
relu,brute,28,gini,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,10,constant,71,log2,6,32,kneighborsClassifier,1,7,lbfgs,distance,0.5738705738705738,85.81637126789428
relu,auto,23,gini,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,40,constant,86,log2,8,3,nnClassifier,3,9,lbfgs,uniform,0.5274725274725275,85.81643688702025
relu,brute,23,entropy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,21,constant,65,auto,7,32,nnClassifier,2,7,lbfgs,distance,0.48473748473748474,85.81650131591596
relu,brute,27,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,38,constant,51,log2,11,6,kneighborsClassifier,7,9,lbfgs,uniform,0.5213675213675214,85.81656556506641
relu,auto,13,gini,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,39,constant,75,auto,8,10,kneighborsClassifier,5,7,lbfgs,distance,0.6056166056166056,85.81662971409969
relu,kd_tree,15,gini,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,39,constant,19,sqrt,16,9,kneighborsClassifier,3,7,adam,distance,0.5054945054945055,85.81669329293072
relu,kd_tree,25,entropy,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,17,constant,54,sqrt,10,36,randomForestClassifier,2,7,sgd,uniform,0.6398046398046398,85.81675762194209
relu,ball_tree,18,entropy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,20,constant,46,auto,11,9,kneighborsClassifier,3,6,sgd,distance,0.4945054945054945,85.81682242103852
relu,auto,23,entropy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,28,constant,26,sqrt,10,32,kneighborsClassifier,6,9,lbfgs,distance,0.518925518925519,85.81688615004532
relu,auto,22,entropy,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,30,constant,22,auto,15,18,kneighborsClassifier,3,6,adam,uniform,0.5225885225885226,85.81695068906993
relu,kd_tree,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,20,constant,5,sqrt,7,21,randomForestClassifier,6,9,sgd,uniform,0.48595848595848595,85.8170144779142
relu,ball_tree,24,entropy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,15,constant,36,auto,11,35,randomForestClassifier,6,9,lbfgs,distance,0.463980463980464,85.8170785070397
relu,kd_tree,19,entropy,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,36,constant,37,auto,7,18,kneighborsClassifier,2,7,lbfgs,uniform,0.5873015873015873,85.81714280694723
relu,kd_tree,22,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,21,constant,74,sqrt,9,26,nnClassifier,3,7,lbfgs,distance,0.5103785103785103,85.81720668589696
relu,brute,23,entropy,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,39,constant,18,log2,11,6,randomForestClassifier,2,9,lbfgs,uniform,0.8522588522588522,85.81727731507272
