activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,20,gini,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,20,invscaling,27,auto,17,14,nnClassifier,5,4,lbfgs,uniform,0.4908424908424908,158.8742862411309
relu,auto,20,gini,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,14,invscaling,78,auto,17,28,kneighborsClassifier,3,2,sgd,distance,0.4822954822954823,158.87437229114585
tanh,auto,12,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,32,invscaling,95,auto,12,35,kneighborsClassifier,2,3,lbfgs,distance,0.49572649572649574,158.87443776009604
tanh,auto,11,gini,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,19,invscaling,77,sqrt,15,33,nnClassifier,1,5,adam,distance,0.3785103785103785,158.8745023100637
tanh,auto,26,gini,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,24,constant,72,sqrt,17,21,kneighborsClassifier,3,5,sgd,uniform,0.49572649572649574,158.87456719903275
tanh,auto,12,gini,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,22,invscaling,73,sqrt,10,8,nnClassifier,3,2,sgd,uniform,0.48595848595848595,158.8746317490004
tanh,auto,11,gini,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,28,invscaling,5,sqrt,7,23,randomForestClassifier,2,2,lbfgs,uniform,0.5115995115995116,158.87469593808055
tanh,auto,14,gini,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,19,constant,31,sqrt,17,15,nnClassifier,3,2,sgd,uniform,0.4725274725274725,158.8747598780319
tanh,auto,14,gini,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,34,invscaling,47,sqrt,9,10,kneighborsClassifier,5,3,adam,uniform,0.5555555555555556,158.87482381705195
tanh,auto,13,gini,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,21,invscaling,6,auto,17,27,randomForestClassifier,2,2,sgd,distance,0.5115995115995116,158.87488739704713
tanh,auto,12,gini,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,19,invscaling,5,sqrt,17,27,randomForestClassifier,2,3,lbfgs,uniform,0.6544566544566545,158.87495088600554
tanh,auto,21,gini,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,20,invscaling,30,sqrt,6,29,randomForestClassifier,2,6,adam,distance,0.5042735042735043,158.87501410604455
relu,auto,11,gini,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,29,invscaling,44,sqrt,17,35,kneighborsClassifier,2,4,adam,distance,0.5347985347985348,158.87507764506154
tanh,auto,20,gini,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,15,constant,6,auto,18,21,nnClassifier,3,2,lbfgs,uniform,0.49206349206349204,158.8751407051459
tanh,auto,25,gini,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,25,invscaling,5,auto,17,24,nnClassifier,5,1,adam,uniform,0.4713064713064713,158.87520400504582
relu,auto,24,gini,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,28,invscaling,71,sqrt,16,32,randomForestClassifier,3,3,adam,distance,0.48473748473748474,158.87527592410333
tanh,auto,23,gini,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,13,invscaling,44,sqrt,19,26,nnClassifier,1,4,adam,uniform,0.463980463980464,158.87533937417902
tanh,auto,20,gini,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,30,constant,17,sqrt,7,27,nnClassifier,6,2,sgd,distance,0.44932844932844934,158.87540235300548
tanh,auto,21,gini,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,24,invscaling,34,sqrt,8,14,nnClassifier,3,5,lbfgs,uniform,0.47985347985347987,158.87546553299762
tanh,auto,12,gini,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,19,invscaling,5,auto,18,27,randomForestClassifier,1,2,sgd,uniform,0.5018315018315018,158.87552849203348
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,31,auto,13,18,nnClassifier,2,8,adam,distance,0.47863247863247865,469.5488259100821
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,74,auto,13,29,nnClassifier,1,6,adam,distance,0.5702075702075702,469.548906438984
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,91,auto,12,33,nnClassifier,1,5,adam,distance,0.5604395604395604,469.5489713391289
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,73,auto,12,29,nnClassifier,1,3,adam,distance,0.4981684981684982,469.54903546813875
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,68,auto,13,25,nnClassifier,1,8,adam,distance,0.5934065934065934,469.54909962718375
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,69,auto,8,12,nnClassifier,3,6,adam,distance,0.4297924297924298,469.5491637371015
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,9,auto,7,27,nnClassifier,1,4,adam,distance,0.717948717948718,469.54922801605426
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,28,auto,14,19,nnClassifier,1,1,adam,distance,0.48473748473748474,469.5493024161551
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,43,auto,8,14,nnClassifier,1,3,adam,distance,0.5616605616605617,469.5493662250228
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,10,auto,13,30,nnClassifier,2,6,adam,distance,0.7228327228327228,469.5494298040867
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,9,auto,13,30,nnClassifier,2,5,adam,distance,0.6544566544566545,469.54949293402024
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,28,auto,8,29,nnClassifier,2,4,adam,distance,0.8778998778998779,469.54955610306934
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,40,auto,13,31,nnClassifier,2,5,adam,distance,0.590964590964591,469.5496195431333
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,10,auto,14,25,nnClassifier,1,5,adam,distance,0.49694749694749696,469.54968275199644
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,9,auto,15,28,nnClassifier,2,5,adam,distance,0.47741147741147744,469.5497460709885
