activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,25,gini,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,25,constant,44,auto,13,17,kneighborsClassifier,5,4,sgd,distance,0.5934065934065934,135.74952359288
relu,kd_tree,13,gini,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,22,constant,85,auto,16,28,kneighborsClassifier,7,5,sgd,distance,0.5702075702075702,135.7496263119392
relu,kd_tree,14,gini,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,36,constant,79,sqrt,9,27,kneighborsClassifier,7,6,adam,distance,0.6019536019536019,135.74969507101923
relu,ball_tree,12,entropy,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,19,constant,32,sqrt,13,30,randomForestClassifier,8,9,adam,distance,0.5128205128205128,135.74976305989549
relu,kd_tree,20,entropy,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,27,constant,9,sqrt,11,16,kneighborsClassifier,6,9,sgd,distance,0.518925518925519,135.74982998892665
relu,auto,20,gini,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,19,constant,89,auto,4,15,kneighborsClassifier,6,2,sgd,distance,0.6800976800976801,135.7498963989783
relu,auto,22,entropy,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,24,constant,12,auto,14,14,randomForestClassifier,6,7,sgd,distance,0.8473748473748474,135.74996256781742
relu,kd_tree,24,entropy,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,34,constant,40,sqrt,15,23,kneighborsClassifier,5,9,sgd,distance,0.6263736263736264,135.75002811686136
relu,kd_tree,19,entropy,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,24,constant,28,auto,12,22,randomForestClassifier,6,7,adam,distance,0.8864468864468864,135.75009407592006
relu,auto,16,gini,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,9,constant,15,sqrt,13,16,kneighborsClassifier,2,7,sgd,distance,0.6043956043956044,135.75015914579853
