activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,24,entropy,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,34,constant,53,auto,18,30,kneighborsClassifier,3,5,adam,uniform,0.5885225885225885,238.91791843483225
tanh,kd_tree,14,gini,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,32,invscaling,12,auto,18,16,kneighborsClassifier,5,3,adam,distance,0.5824175824175825,238.91802812297828
relu,ball_tree,15,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,38,adaptive,34,auto,18,37,kneighborsClassifier,5,8,lbfgs,uniform,0.5018315018315018,238.9180973318871
tanh,kd_tree,16,entropy,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,20,invscaling,81,auto,9,10,nnClassifier,6,6,adam,distance,0.518925518925519,238.91816544090398
tanh,kd_tree,15,entropy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,33,adaptive,12,auto,19,32,randomForestClassifier,5,4,sgd,uniform,0.6288156288156288,238.9182347089518
tanh,ball_tree,19,gini,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,38,adaptive,16,auto,13,8,nnClassifier,6,2,adam,uniform,0.5238095238095238,238.9183027378749
tanh,kd_tree,28,gini,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,9,adaptive,22,auto,13,39,nnClassifier,5,5,lbfgs,distance,0.5299145299145299,238.9183706769254
tanh,kd_tree,10,entropy,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34,constant,18,auto,14,8,randomForestClassifier,5,4,lbfgs,uniform,0.6312576312576312,238.91843749582767
tanh,ball_tree,26,gini,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,18,invscaling,59,auto,9,35,kneighborsClassifier,6,4,sgd,uniform,0.6056166056166056,238.91850506397896
tanh,kd_tree,25,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,17,adaptive,49,auto,13,36,randomForestClassifier,7,5,lbfgs,distance,0.5335775335775336,238.91857221303508
