activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,61,auto,9,16,nnClassifier,4,10,adam,distance,0.49694749694749696,743.7343208130915
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,83,auto,9,28,nnClassifier,4,10,adam,distance,0.8754578754578755,743.7343854920473
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,18,auto,7,12,nnClassifier,2,8,adam,distance,0.8778998778998779,743.7344494811259
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,41,auto,9,9,nnClassifier,4,10,adam,distance,0.8803418803418803,743.7345126201399
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,86,auto,12,14,nnClassifier,5,10,adam,distance,0.8363858363858364,743.7345762790646
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,27,auto,6,19,nnClassifier,5,10,adam,distance,0.8571428571428571,743.7346398981754
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,42,auto,10,12,nnClassifier,6,10,adam,distance,0.8632478632478633,743.7347030669916
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,68,auto,8,17,nnClassifier,4,10,adam,distance,0.5054945054945055,743.7347661261447
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,72,auto,7,28,nnClassifier,4,10,adam,distance,0.8803418803418803,743.73482965515
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,40,auto,8,22,nnClassifier,3,10,adam,distance,0.8803418803418803,743.7348985041026
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,77,auto,12,19,nnClassifier,4,10,adam,distance,0.63003663003663,743.7349621129688
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,54,auto,12,10,nnClassifier,3,10,adam,distance,0.5054945054945055,743.7350253020413
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,26,auto,7,11,nnClassifier,5,10,adam,distance,0.884004884004884,743.7350887011271
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,18,auto,8,22,nnClassifier,4,10,adam,distance,0.5201465201465202,743.7353263671976
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,25,auto,9,6,nnClassifier,9,6,adam,distance,0.503052503052503,743.7353892261162
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,11,auto,13,11,nnClassifier,5,7,adam,distance,0.5934065934065934,743.7354524449911
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,83,auto,6,14,nnClassifier,4,10,adam,distance,0.8803418803418803,743.7355155639816
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,36,auto,10,12,nnClassifier,5,10,adam,distance,0.5238095238095238,1499.0113738260698
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,26,auto,5,14,nnClassifier,5,10,adam,distance,0.503052503052503,1499.0114654840436
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,49,auto,7,14,nnClassifier,5,10,adam,distance,0.536019536019536,1499.0117014010902
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,57,auto,10,12,nnClassifier,3,10,adam,distance,0.5103785103785103,1499.0117755590472
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,79,auto,6,24,nnClassifier,6,10,adam,distance,0.5177045177045178,1499.011840238003
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,22,auto,7,16,nnClassifier,6,10,adam,distance,0.4993894993894994,1499.0119149771053
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,37,auto,13,13,nnClassifier,7,6,adam,distance,0.503052503052503,1499.0119794660714
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,82,auto,8,10,nnClassifier,6,10,adam,distance,0.5128205128205128,1499.0120423550252
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,27,auto,9,15,nnClassifier,5,10,adam,distance,0.4993894993894994,1499.0121060339734
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,38,auto,8,11,nnClassifier,4,10,adam,distance,0.5018315018315018,1499.0121694530826
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,64,auto,6,13,nnClassifier,2,10,adam,distance,0.5079365079365079,1499.012232501991
