activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,79,auto,10,32,nnClassifier,6,3,adam,distance,0.5518925518925519,340.14228474884294
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,45,auto,9,16,nnClassifier,4,4,adam,distance,0.5616605616605617,340.1423257389106
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,87,auto,9,24,nnClassifier,2,4,adam,distance,0.7338217338217338,340.1423667180352
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,46,auto,11,9,nnClassifier,5,5,adam,distance,0.5604395604395604,340.1424076280091
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,35,auto,7,30,nnClassifier,1,3,adam,distance,0.9084249084249084,340.14244920690544
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,21,auto,13,18,nnClassifier,5,6,adam,distance,0.557997557997558,1049.0329599380493
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,79,auto,8,17,nnClassifier,3,4,adam,distance,0.5616605616605617,1049.0330239068717
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,48,auto,8,19,nnClassifier,2,5,adam,distance,0.5616605616605617,1049.0330678860191
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,16,auto,7,21,nnClassifier,3,4,adam,distance,0.5677655677655677,1049.0331096260343
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,33,auto,7,28,nnClassifier,1,4,adam,distance,0.5641025641025641,1049.033151885029
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,34,auto,8,20,nnClassifier,2,4,adam,distance,0.5616605616605617,1049.0331940639298
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,40,auto,10,17,nnClassifier,2,5,adam,distance,0.5641025641025641,1049.0332360640168
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,43,auto,9,29,nnClassifier,3,4,adam,distance,0.5531135531135531,1049.0332777630538
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,40,auto,17,25,nnClassifier,3,5,adam,distance,0.575091575091575,1049.0333193328697
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,30,auto,7,30,nnClassifier,1,4,adam,distance,0.5641025641025641,1049.0333604218904
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,33,auto,11,16,nnClassifier,1,4,adam,distance,0.5653235653235653,1049.0334018019494
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,63,auto,7,29,nnClassifier,2,5,adam,distance,0.5567765567765568,1049.0334433009848
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,52,auto,10,15,nnClassifier,3,4,adam,distance,0.5592185592185592,1049.0334847099148
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,19,auto,4,17,nnClassifier,5,6,adam,distance,0.5628815628815629,1049.0335260599386
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,18,auto,14,31,nnClassifier,2,1,adam,distance,0.5677655677655677,1049.033567488892
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,75,auto,14,34,nnClassifier,7,7,adam,distance,0.5543345543345544,1049.0336085988674
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,41,auto,9,20,nnClassifier,3,5,adam,distance,0.5592185592185592,1049.0336497779936
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,83,auto,9,28,nnClassifier,4,4,adam,distance,0.568986568986569,1049.033700847067
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,42,auto,15,13,nnClassifier,3,4,adam,distance,0.5726495726495726,1049.033742816886
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,34,auto,10,32,nnClassifier,3,4,adam,distance,0.5567765567765568,1049.0337967360392
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,25,auto,11,21,nnClassifier,4,5,adam,distance,0.5665445665445665,1761.0122288609855
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,75,auto,8,21,nnClassifier,5,5,adam,distance,0.5604395604395604,1761.0122896099929
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,52,auto,8,15,nnClassifier,2,5,adam,distance,0.5665445665445665,1761.0123336398974
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,12,auto,5,25,nnClassifier,2,4,adam,distance,0.5653235653235653,1761.0123754688539
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,29,auto,7,24,nnClassifier,4,1,adam,distance,0.5628815628815629,1761.0124176479876
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,34,auto,9,24,nnClassifier,2,6,adam,distance,0.5665445665445665,1761.0124592380598
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,41,auto,8,21,nnClassifier,1,5,adam,distance,0.5665445665445665,1761.0125012069475
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,39,auto,13,33,nnClassifier,1,7,adam,distance,0.5641025641025641,1761.0125428568572
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,39,auto,13,21,nnClassifier,6,4,adam,distance,0.5567765567765568,1761.012584775919
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,30,auto,11,26,nnClassifier,5,4,adam,distance,0.5567765567765568,1761.0126262048725
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,34,auto,8,20,nnClassifier,3,4,adam,distance,0.5567765567765568,1761.0126680550165
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,59,auto,11,27,nnClassifier,2,4,adam,distance,0.5702075702075702,1761.012709373841
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,48,auto,14,19,nnClassifier,3,4,adam,distance,0.5604395604395604,1761.0127508540172
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,23,auto,8,20,nnClassifier,9,5,adam,distance,0.5714285714285714,1761.0128021030687
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,22,auto,13,32,nnClassifier,6,2,adam,distance,0.5677655677655677,1761.0128443718422
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,71,auto,14,37,nnClassifier,7,6,adam,distance,0.5702075702075702,1761.0128854219802
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,39,auto,11,24,nnClassifier,2,4,adam,distance,0.5677655677655677,1761.0129272108898
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,79,auto,9,29,nnClassifier,2,4,adam,distance,0.5470085470085471,1761.0129690410104
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,38,auto,13,17,nnClassifier,3,5,adam,distance,0.5604395604395604,1761.0130110199098
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,32,auto,9,33,nnClassifier,1,4,adam,distance,0.5592185592185592,1761.0130521289539
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,39,constant,21,auto,13,17,nnClassifier,2,5,adam,distance,0.5531135531135531,2479.9540655240417
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,79,auto,12,18,nnClassifier,3,5,adam,distance,0.5714285714285714,2479.9541284129955
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,48,auto,8,17,nnClassifier,1,3,adam,distance,0.5702075702075702,2479.9541721919086
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,16,auto,9,23,nnClassifier,3,4,adam,distance,0.5738705738705738,2479.954215531936
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,32,auto,9,25,nnClassifier,5,3,adam,distance,0.557997557997558,2479.954257340869
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,34,auto,11,28,nnClassifier,2,2,adam,distance,0.5665445665445665,2479.954299120931
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,37,auto,10,21,nnClassifier,2,4,adam,distance,0.5531135531135531,2479.9543408700265
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,36,auto,14,29,nnClassifier,2,4,adam,distance,0.5616605616605617,2479.954382588854
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,39,auto,17,25,nnClassifier,7,4,adam,distance,0.5421245421245421,2479.9544238389935
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,26,auto,14,26,nnClassifier,4,5,adam,distance,0.5726495726495726,2479.954465777846
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,33,auto,7,24,nnClassifier,3,4,adam,distance,0.568986568986569,2479.954507286893
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,55,auto,10,26,nnClassifier,2,4,adam,distance,0.575091575091575,2479.9545488669537
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,44,auto,14,23,nnClassifier,4,1,adam,distance,0.5604395604395604,2479.954590406036
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,27,auto,6,16,nnClassifier,5,4,adam,distance,0.568986568986569,2479.9546321260277
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,26,auto,12,36,nnClassifier,6,2,adam,distance,0.5641025641025641,2479.954673595028
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,67,auto,17,38,nnClassifier,3,6,adam,distance,0.5592185592185592,2479.9547149839345
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,43,auto,10,20,nnClassifier,5,6,adam,distance,0.5665445665445665,2479.9547565439716
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,75,auto,9,25,nnClassifier,3,4,adam,distance,0.5677655677655677,2479.954804843059
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,42,auto,17,21,nnClassifier,7,5,adam,distance,0.5604395604395604,2479.95484669297
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,32,auto,8,31,nnClassifier,2,4,adam,distance,0.5616605616605617,2479.9548882220406
