activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,25,gini,1,1,0,1,1,1,1,1,1,1,1,0,6,constant,47,sqrt,15,20,randomForestClassifier,7,4,sgd,distance,0.9072039072039072,88.17265399801545
tanh,ball_tree,16,gini,1,1,0,1,1,1,1,1,1,0,1,1,20,invscaling,79,auto,8,12,kneighborsClassifier,6,7,sgd,uniform,0.8034188034188035,88.17271408811212
tanh,ball_tree,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,32,invscaling,81,auto,12,27,randomForestClassifier,5,3,sgd,uniform,0.8803418803418803,88.17275726702064
tanh,ball_tree,25,gini,1,1,0,1,1,1,1,0,1,1,1,1,15,invscaling,45,log2,8,7,nnClassifier,7,5,sgd,uniform,0.6251526251526252,88.17279943707399
tanh,ball_tree,22,gini,1,0,1,1,1,1,1,0,1,0,1,1,23,invscaling,6,auto,13,23,randomForestClassifier,6,3,sgd,uniform,0.8461538461538461,88.17284132610075
tanh,ball_tree,25,gini,1,1,0,1,1,1,1,1,1,0,1,0,15,invscaling,67,sqrt,7,10,kneighborsClassifier,5,3,sgd,distance,0.7387057387057387,88.17288398602977
tanh,ball_tree,19,gini,1,0,0,1,1,1,1,1,1,1,1,0,20,invscaling,20,sqrt,15,34,randomForestClassifier,7,3,adam,distance,0.9120879120879121,88.17292557517067
tanh,ball_tree,18,gini,1,1,0,1,1,1,1,0,1,1,1,1,19,invscaling,63,sqrt,12,25,kneighborsClassifier,3,7,sgd,distance,0.7802197802197802,88.17296760505997
tanh,ball_tree,28,gini,1,0,0,1,1,1,1,0,1,1,1,1,19,invscaling,48,auto,4,11,kneighborsClassifier,5,4,adam,uniform,0.7557997557997558,88.17300951504149
relu,auto,25,gini,1,1,1,1,1,1,1,0,1,1,1,1,16,invscaling,15,log2,6,16,kneighborsClassifier,6,6,sgd,distance,0.8253968253968254,88.173051194055
relu,ball_tree,24,gini,1,1,1,1,1,1,1,0,1,0,1,1,14,invscaling,63,log2,15,14,nnClassifier,8,3,adam,distance,0.5946275946275946,88.17309273406863
relu,auto,20,gini,1,1,0,1,1,1,1,0,1,0,1,1,16,invscaling,50,sqrt,9,11,nnClassifier,5,4,sgd,uniform,0.5738705738705738,88.17313381307758
tanh,ball_tree,20,gini,1,1,0,1,1,1,1,1,1,1,1,1,20,constant,34,sqrt,9,30,randomForestClassifier,6,5,adam,uniform,0.8803418803418803,88.17317482316867
tanh,ball_tree,12,gini,1,1,1,1,1,1,1,0,1,1,1,1,22,invscaling,53,sqrt,15,7,randomForestClassifier,7,4,sgd,distance,0.9181929181929182,88.17321636201814
relu,ball_tree,21,gini,1,1,1,1,1,1,1,0,1,1,1,0,29,constant,75,sqrt,7,25,randomForestClassifier,9,3,adam,uniform,0.9084249084249084,88.1732576820068
tanh,ball_tree,24,gini,1,1,1,1,1,1,1,0,1,0,1,1,15,constant,79,sqrt,7,13,kneighborsClassifier,6,4,adam,distance,0.7838827838827839,88.17329883109778
tanh,ball_tree,29,gini,1,0,0,1,1,1,1,1,1,0,1,0,16,invscaling,88,sqrt,8,26,randomForestClassifier,5,5,sgd,distance,0.833943833943834,88.17333967098966
tanh,ball_tree,14,gini,1,1,0,1,1,1,1,1,1,0,1,0,13,invscaling,16,log2,16,10,kneighborsClassifier,5,4,sgd,distance,0.7594627594627594,88.17338129109703
tanh,ball_tree,20,gini,1,0,0,1,1,1,1,0,1,0,1,0,16,invscaling,83,log2,7,26,randomForestClassifier,6,3,sgd,uniform,0.9255189255189256,88.17342271003872
relu,auto,22,gini,1,0,0,1,1,1,1,1,1,0,1,1,8,invscaling,25,auto,8,25,kneighborsClassifier,5,4,adam,distance,0.78998778998779,88.17346370010637
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,51,auto,13,16,nnClassifier,8,3,adam,distance,0.9304029304029304,198.15449191606604
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,75,auto,12,8,nnClassifier,8,4,adam,distance,0.8241758241758241,198.15456814598292
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,77,auto,13,23,nnClassifier,8,5,adam,distance,0.9267399267399268,198.15461180498824
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,49,auto,12,7,nnClassifier,4,3,adam,distance,0.5921855921855922,198.15465388516895
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,10,auto,13,19,nnClassifier,7,3,adam,distance,0.9242979242979243,198.1546952140052
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,63,auto,11,6,nnClassifier,9,4,adam,distance,0.7411477411477412,198.15473666414618
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,24,auto,13,30,nnClassifier,6,5,adam,distance,0.9218559218559218,198.15477782301605
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,59,auto,16,21,nnClassifier,7,9,adam,distance,0.7619047619047619,198.15481902309693
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,52,auto,6,8,nnClassifier,8,5,adam,distance,0.7631257631257631,198.15485997195356
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,19,auto,7,12,nnClassifier,7,5,adam,distance,0.7863247863247863,198.1549008821603
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,59,auto,16,10,nnClassifier,6,4,adam,distance,0.590964590964591,198.15494280215353
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,52,auto,13,10,nnClassifier,3,4,adam,distance,0.5604395604395604,198.1549841610249
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,38,auto,10,26,nnClassifier,8,4,adam,distance,0.9316239316239316,198.15502540115267
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,55,auto,13,9,nnClassifier,9,2,adam,distance,0.9352869352869353,198.155066360021
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,71,auto,11,21,nnClassifier,5,4,adam,distance,0.9316239316239316,198.15510776010342
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,76,auto,11,9,nnClassifier,8,7,adam,distance,0.7826617826617827,198.15514907916076
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,84,auto,11,22,nnClassifier,9,2,adam,distance,0.9206349206349206,198.15519008901902
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,20,auto,19,9,nnClassifier,5,3,adam,distance,0.73992673992674,198.1552310581319
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,79,auto,11,22,nnClassifier,8,3,adam,distance,0.9255189255189256,198.15527191804722
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,29,auto,10,21,nnClassifier,6,5,adam,distance,0.8107448107448108,198.15531248808838
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,51,auto,17,12,nnClassifier,8,5,adam,distance,0.5860805860805861,1146.5876579091419
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,71,auto,16,12,nnClassifier,5,7,adam,distance,0.5763125763125763,1146.5877134681214
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,73,auto,16,19,nnClassifier,8,3,adam,distance,0.5848595848595849,1146.5877569280565
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,50,auto,8,3,nnClassifier,5,7,adam,distance,0.5982905982905983,1146.5877988471184
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,14,auto,13,15,nnClassifier,7,5,adam,distance,0.5970695970695971,1146.5878405871335
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,59,auto,12,10,nnClassifier,5,4,adam,distance,0.5897435897435898,1146.5878821159713
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,28,auto,17,29,nnClassifier,7,4,adam,distance,0.5897435897435898,1146.5879235961474
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,56,auto,12,17,nnClassifier,7,9,adam,distance,0.5995115995115995,1146.5879656351171
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,51,auto,7,7,nnClassifier,8,4,adam,distance,0.5824175824175825,1146.5880072149448
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,23,auto,10,11,nnClassifier,10,4,adam,distance,0.5946275946275946,1146.5880488541443
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,55,auto,16,6,nnClassifier,7,5,adam,distance,0.5970695970695971,1146.5880900940392
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,53,auto,17,6,nnClassifier,7,4,adam,distance,0.5885225885225885,1146.5881312731653
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,42,auto,14,25,nnClassifier,7,4,adam,distance,0.590964590964591,1146.5881721130572
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,51,auto,15,8,nnClassifier,5,2,adam,distance,0.5885225885225885,1146.5882128821686
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,67,auto,11,17,nnClassifier,7,4,adam,distance,0.5946275946275946,1146.588253592141
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,72,auto,15,6,nnClassifier,8,7,adam,distance,0.5897435897435898,1146.5882943619508
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,80,auto,15,18,nnClassifier,7,5,adam,distance,0.5897435897435898,1146.5883352409583
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,24,auto,19,6,nnClassifier,9,7,adam,distance,0.5982905982905983,1146.5883875910658
